,ZETA,U Bar of 0.7403,A of 0.7403,B of 0.7403,R tilde of 0.7403,U Bar of 0.7406,A of 0.7406,B of 0.7406,R tilde of 0.7406,U Bar of 0.7409,A of 0.7409,B of 0.7409,R tilde of 0.7409,U Bar of 0.7412,A of 0.7412,B of 0.7412,R tilde of 0.7412,U Bar of 0.7415,A of 0.7415,B of 0.7415,R tilde of 0.7415,U Bar of 0.7418,A of 0.7418,B of 0.7418,R tilde of 0.7418,U Bar of 0.7421,A of 0.7421,B of 0.7421,R tilde of 0.7421,U Bar of 0.7424,A of 0.7424,B of 0.7424,R tilde of 0.7424,U Bar of 0.7427,A of 0.7427,B of 0.7427,R tilde of 0.7427
0,0.0,0.0,-0.29534076932285547,0.0,0.5793514768790287,0.0,-0.29552580259581596,0.0,0.579357233703161,0.0,-0.29784187739930196,0.0,0.5835818587839828,0.0,-0.29961829367474185,0.0,-0.5867125718526459,0.0,-0.30453796463650823,0.0,-0.596000766977191,0.0,-0.30454213639131866,0.0,0.5956005560798936,0.0,-0.30542322570792996,0.0,0.59694915981003,0.0,-0.3073524891681895,0.0,0.6003302259578462,0.0,-0.3080530675470659,0.0,0.6012991605401885
1,0.013324450366422385,0.008948005655462382,-0.2953386189810296,1.3179226555750755e-05,0.5793514768790287,0.008948922475609286,-0.2955236491170908,1.3187026331928528e-05,0.579357233703161,0.009024622829117356,-0.29783966902218834,1.3407956305631404e-05,0.5835818587839828,0.00908109967501603,-0.29961604273605863,1.3575591436931646e-05,-0.5867125718526459,0.009247583032219587,-0.30453559108488343,1.4064330169532237e-05,-0.596000766977191,0.009241392562173944,-0.30453976373893177,1.4052487921330379e-05,0.5956005560798936,0.009266399251967216,-0.3054208320121314,1.413132994242446e-05,0.59694915981003,0.009327877572019964,-0.30735004675068317,1.4318063553089567e-05,0.6003302259578462,0.009346206294615942,-0.30805060812301044,1.437824240313352e-05,0.6012991605401885
2,0.02664890073284477,0.01789439778298436,-0.2953189892590895,3.953372861847532e-05,0.579297293960402,0.01789623117627202,-0.2955040021856745,3.955712566172586e-05,0.5793030480690362,0.01804760144099184,-0.29781963648520354,4.0219812613417645e-05,0.5835267187484586,0.01816053223933476,-0.29959571489454456,4.072263962361004e-05,-0.5866567171574233,0.018493430296815758,-0.30451440671086616,4.2188621650590816e-05,-0.5959427645244323,0.018481052010316728,-0.3045185939044486,4.2153102107104985e-05,0.595542643363858,0.018531055077607106,-0.3053995202131085,4.238959131156178e-05,0.5968909301780015,0.018653985999692247,-0.30732840207112544,4.294970226465891e-05,0.6002711989894619,0.01869063581425845,-0.3080288522512685,4.313021076692356e-05,0.6012399019177792
3,0.039973351099267154,0.02683756332935243,-0.2952862778671077,8.344723842576492e-05,0.5792070018306109,0.02684031280184047,-0.29547126211652597,8.349662470645726e-05,0.5792127514141541,0.0270672921067374,-0.2977862538872267,8.489529505729298e-05,0.5834348317763443,0.02723663108089299,-0.29956184023580434,8.595656339283977e-05,-0.5865636393514572,0.02773580655603126,-0.30447910483455554,8.90506515076521e-05,-0.5958461079308993,0.02771724575909714,-0.3044833162536773,8.897568924421691e-05,0.5954461362989726,0.02779222458402514,-0.30536400601001773,8.947482412489003e-05,0.596793895040756,0.027976556684017585,-0.3072923331995741,9.065698776787481e-05,0.6001728352641779,0.02803151233284895,-0.30799259810297347,9.103796987676592e-05,0.6011411521919899
4,0.05329780146568954,0.03577589018570906,-0.2952404922790264,0.000144903229665978,0.5790806195877055,0.035779554996694427,-0.29542543639191415,0.00014498898719310745,0.579086362838206,0.0360820520688794,-0.2977395289404628,0.00014741743184205848,0.5833062174944332,0.03630773057940692,-0.2995144266493944,0.0001492600592402758,-0.586433358459463,0.03697297762589888,-0.3044296938717585,0.00015463212534603407,-0.5957108184339742,0.03694824227464692,-0.30443393919148,0.00015450198510638997,0.5953110560736381,0.037048165939194515,-0.3053142978941749,0.00015536860782419353,0.5966580757683654,0.037293822110493195,-0.3072418488344919,0.00015742111873418105,0.600035156610582,0.03736706071583342,-0.3079418544447674,0.0001580825993227591,0.6010029333256021
5,0.06662225183211193,0.044707767663810315,-0.2951816430017699,0.00022387871573822148,0.5789181739615594,0.04471234682603888,-0.29536653553046427,0.00022401121275399702,0.5789239090727012,0.045090240031275534,-0.2976794724868504,0.00022776261801219584,0.5831409033719787,0.04537216660665996,-0.2994534852266196,0.00023060906178015258,-0.5862659025081832,0.04620321090792104,-0.30436618565374474,0.000238907602374081,-0.5955369257571467,0.04617231160505016,-0.304370474533712,0.00023870659084993857,0.5951374323426019,0.04629713890719925,-0.30525040780299223,0.0002400453266490129,0.5964835022696072,0.046604016396374244,-0.3071769612045482,0.00024321595098685997,0.5998581935796403,0.04669550747102713,-0.3078766336011701,0.00024423778973158667,0.6008252760575897
6,0.07994670219853431,0.05363158696870717,-0.2951097435330177,0.0003203441729362323,0.5787196993056443,0.05363707924870426,-0.295294573044882,0.0003205337600074692,0.5787254244736392,0.054090216645393,-0.29760609845433944,0.00032590053588717747,0.5829389247131143,0.054428277022958486,-0.29937903021569723,0.0003299726621390155,-0.5860613075178105,0.055424775916600166,-0.30428859537907804,0.00034184440771528634,-0.5953244681011408,0.05538772590672895,-0.3042929374591378,0.00034155688546306525,0.5949253032184949,0.055537405379349376,-0.30517235107134755,0.0003434720810746133,0.5962702129837594,0.05590537583359119,-0.3070976860186779,0.00034800790653562245,0.5996419854354144,0.05601508129502755,-0.30779695140421315,0.00034946975101021537,0.6006082198933053
7,0.0932711525649567,0.06254574167154683,-0.2950248103559545,0.0004342635452721374,0.5784852375874645,0.06255214558999422,-0.2952095654366969,0.00043452055137774693,0.578490951011399,0.06308034499662173,-0.2975194238514224,0.00044179416003347125,0.582700324646227,0.06347440217369268,-0.2992910790161238,0.0004473131130422703,-0.5858196174915672,0.06463594480709547,-0.30419694160748467,0.0004634026378528053,-0.5950734921327673,0.0645927599708967,-0.3042013465033098,0.0004630130311925711,0.5946747152602375,0.06476722990533487,-0.3050801464253814,0.0004656086932883387,0.5960182548686405,0.0651961394317731,-0.307004042459679,0.0004717559791862382,0.5993865801432269,0.06532401361978687,-0.30770282718697195,0.0004737372179916345,0.600351813092958
8,0.10659560293137908,0.07144862818207619,-0.2949268629335655,0.0005655942586125732,0.5782148383761604,0.07145594201428991,-0.2951115321905494,0.0005659289872364894,0.578220538258645,0.07205899109036475,-0.29741946876118186,0.0005753997718751559,0.5824251541116108,0.07250888538562066,-0.2991896521725352,0.0005825858437828668,-0.5855408844027565,0.07383499290255939,-0.30409124625315065,0.0006035351766867243,-0.5947840529707591,0.07378569174974348,-0.30409572355187664,0.0006030279895639585,0.5943857234592149,0.07398488022410842,-0.30497381597571155,0.000606407723377997,0.5957276833865659,0.07447454946099348,-0.30689605317720087,0.0006144117511489152,0.5990920343553365,0.07462053915887039,-0.30759428377647857,0.0006169914671712118,0.6000561126569982
9,0.11992005329780146,0.08033864622081476,-0.29481592370140514,0.00071428723873199,0.5779085588282317,0.08034686799728552,-0.2950004957669485,0.0007147099639642565,0.5779142433758763,0.08102452433773777,-0.2973062563337479,0.000726666978356333,0.5821134718464789,0.08153007346277387,-0.29907477336692956,0.0007357394793426436,-0.5852251681794374,0.08302019922111323,-0.303971534576238,0.0007621877160492952,-0.5944562141694769,0.08296480288222821,-0.30397609383211294,0.0007615475418501786,0.5940583912228955,0.08318862779440005,-0.3048533852088454,0.0007658144900171746,0.5953985624879677,0.0837388519940797,-0.30677374427887216,0.0007759194142620885,0.5987584133937129,0.08390289645330314,-0.30747134748475535,0.0007791763380956225,0.5997211843088947
10,0.13324450366422386,0.08921419929079658,-0.2946920180589681,0.0008802869324572256,0.5775664636709738,0.08922332679780569,-0.2948764815936302,0.0008808078951048462,0.5775721310948772,0.08997531804082068,-0.2971798127772993,0.0008955387337999362,0.5817653443676981,0.09053631718191749,-0.2989464694093904,0.0009067158627894948,-0.5848725366868096,0.092189847002326,-0.30383783517276947,0.0009392987797361301,-0.5940900476998561,0.09212837921936515,-0.3038424859028202,0.0009385103130485897,0.5936927903557178,0.09237674832470616,-0.3047188829769413,0.0009437670946964489,0.5950309645920476,0.09298729744845863,-0.30663714531972514,0.0009562157948550689,0.5983857912304753,0.09316932841690993,-0.30733404809812676,0.0009602282584193863,0.5993471024752205
11,0.14656895403064624,0.09807369514879787,-0.2945551743597699,0.0010635313317237378,0.5771886251835865,0.09808372592911448,-0.2947395180556236,0.001064160735432739,0.5771942736998662,0.09890974987741528,-0.29704016734772004,0.0010819513647773037,0.5813808459523865,0.09952597178748626,-0.2988047702274235,0.0010954500807598658,-0.5844830657072352,0.10134222423316212,-0.30369017996300424,0.0011347997508493746,-0.5936856339279913,0.10127471134898161,-0.30369493164272104,0.0011338477991622476,0.593289001037695,0.10154752230273013,-0.30457034148604284,0.00114019644929417,0.5946249705650484,0.10221814112740374,-0.30648628929004396,0.0011552303820381211,0.5979742504654911,0.10241808288107847,-0.3071824188649392,0.001160076272415694,0.5989339502631357
12,0.15989340439706862,0.10691554627599749,-0.29440542390019303,0.0012639520004954585,0.5767751231761146,0.1069264776296608,-0.29458963648408026,0.0012647000078856198,0.5767807510064766,0.10782620238520334,-0.2968873523369694,0.001285834597938982,0.5809600586160959,0.10849739748591218,-0.29864970885396896,0.0013018704919759503,-0.5840568389178399,0.11047562417326141,-0.3035286041783707,0.0013486149023988463,-0.5932430615909413,0.11040209511982885,-0.3035334662374127,0.0013474843977317903,0.5928471118003777,0.1106992355241872,-0.30440779628285336,0.0013550263069326786,0.5941806696959949,0.11142964376062904,-0.3063212126017048,0.0013728853593641666,0.5975238823013976,0.11164741313886448,-0.30701649648175694,0.001378642072885433,0.5984818194352423
13,0.173217854763491,0.11573817034802325,-0.29424280090713084,0.0014814741045340342,0.5763260449663099,0.11574999933318338,-0.29442687114390015,0.0014823508333475944,0.5763316503385089,0.11672306344525513,-0.29672140306019873,0.0015071115907921337,0.5805030720887626,0.11744895993929402,-0.2984813214141206,0.0015258987587828308,-0.583593947865857,0.1195883458795421,-0.30335314634699134,0.0015806614311457616,-0.5927624277702351,0.11950883216496055,-0.3033581281649153,0.0015793374416024164,0.5923672195002032,0.11983017962087128,-0.3042312862400851,0.0015881732961041943,0.5936981596697822,0.1206200720441305,-0.30614195507304554,0.0016090956398463613,0.5970347865159342,0.12085557848833463,-0.30683632107807196,0.0016158400364485663,0.5979908103816932
14,0.1865423051299134,0.12453999070424122,-0.29406734252444655,0.0017160164440131111,0.5758414853540257,0.12455271413808831,-0.2942512592201707,0.0017170319632788195,0.5758470665023995,0.12559872676478007,-0.29654235784163313,0.0017456989654203005,0.5800099837882385,0.1263790307582892,-0.2982996471105735,0.0017674498817012926,-0.583094491941468,0.12867869472997323,-0.30316384827782195,0.0018308494946850827,-0.5922438378626295,0.1285932304243335,-0.3031689591798363,0.0018293172359219565,0.5918494292894435,0.1289386525879238,-0.30404085354040616,0.001839546958062677,0.5931775465377612,0.12978769917921928,-0.30594855991228653,0.0018637689043277663,0.5965070714317511,0.1300408447750924,-0.30664193619955016,0.0018715772622140982,0.5974610320897458
15,0.19986675549633579,0.13331943681627487,-0.29387908879826025,0.0019674914889765576,0.575321546593528,0.13333305127604564,-0.294062840803432,0.001968655815190545,0.5753271017595295,0.13445159235907939,-0.29635025799923137,0.002001506845144649,0.5794808987916271,0.1352859879941848,-0.2981047282078118,0.00202643223699569,-0.5825585783483651,0.13774498294648888,-0.3029607550434186,0.0020990822517664093,-0.5916874055484636,0.13765360466648952,-0.30296600429616466,0.0020973270983699584,0.5912938545844504,0.13802295931017727,-0.30383654365899887,0.002109049787481395,0.5926189446856198,0.13893080541059208,-0.3057410736995185,0.0021368056432032674,0.5959408538833574,0.13920148493383364,-0.306433388789829,0.0021457536138288066,0.5968926021104383
