,Epsilons,A_0,E/M,Rounds
0.1,-0.16963007991935342,-0.016638276366950706,0.9915184960040323,20
0.2,-0.17753701943216807,-0.035307283694782254,0.9822462980567832,20
0.3,-0.18701202153927635,-0.056667563394536345,0.9719481967691086,22
0.4,-0.19878095537458101,-0.0818063271049575,0.9602438089250838,24
0.5,-0.21424649817750271,-0.11274928911061893,0.9464383754556244,27
0.6,-0.23676940907842037,-0.1541592782858564,0.9289691772764739,34
0.7,-0.2801386869590312,-0.22413540339858706,0.9019514595643391,56
