,ZETA,U Bar of 0.74,A of 0.74,B of 0.74,U Bar of 0.74014,A of 0.74014,B of 0.74014,U Bar of 0.74028,A of 0.74028,B of 0.74028,U Bar of 0.74043,A of 0.74043,B of 0.74043,U Bar of 0.74057,A of 0.74057,B of 0.74057,U Bar of 0.74071,A of 0.74071,B of 0.74071,U Bar of 0.74085,A of 0.74085,B of 0.74085,U Bar of 0.74099,A of 0.74099,B of 0.74099,U Bar of 0.74114,A of 0.74114,B of 0.74114,U Bar of 0.74128,A of 0.74128,B of 0.74128,U Bar of 0.74142,A of 0.74142,B of 0.74142,U Bar of 0.74156,A of 0.74156,B of 0.74156,U Bar of 0.74171,A of 0.74171,B of 0.74171,U Bar of 0.74185,A of 0.74185,B of 0.74185,U Bar of 0.74199,A of 0.74199,B of 0.74199,U Bar of 0.74213,A of 0.74213,B of 0.74213,U Bar of 0.74227,A of 0.74227,B of 0.74227,U Bar of 0.74242,A of 0.74242,B of 0.74242,U Bar of 0.74256,A of 0.74256,B of 0.74256,U Bar of 0.7427,A of 0.7427,B of 0.7427
0,0.0,0.0,-0.2930336081634816,0.0,0.0,-0.2930609344513429,0.0,0.0,-0.29384487943363796,0.0,0.0,-0.29457777300099125,0.0,0.0,-0.29539465899380263,0.0,0.0,-0.29602925225846677,0.0,0.0,-0.29684752407235426,0.0,0.0,-0.29751418442713945,0.0,0.0,-0.2984096748136136,0.0,0.0,-0.2991899835159732,0.0,0.0,-0.2999939038791033,0.0,0.0,-0.3007940407934699,0.0,0.0,-0.3023557747485366,0.0,0.0,-0.303320466278271,0.0,0.0,-0.3033662559701278,0.0,0.0,-0.30514309052064353,0.0,0.0,-0.305949149551687,0.0,0.0,-0.3078676635158542,0.0,0.0,-0.30867387700438303,0.0,0.0,-0.3106576816997233,0.0
1,0.013324450366422385,0.008882538368560887,-0.2930315040526323,1.299287370167067e-05,0.008883028192120843,-0.29305882917567094,1.2997013962183143e-05,0.008908726668684983,-0.2938427553480653,1.3072425515516942e-05,0.008932098476256183,-0.29457563166181727,1.3141366944662977e-05,0.008957241853530105,-0.29539249929749134,1.3214787154785998e-05,0.008958561717840006,-0.2960270828768957,1.3222779324805545e-05,0.009003271712026467,-0.2968453301063916,1.3350969457362789e-05,0.009004676053505615,-0.29751198019617037,1.3359376507595909e-05,0.00905359761865519,-0.2984074429347504,1.3500763809748392e-05,0.009078397500863773,-0.2991877328843749,1.3574636558156191e-05,0.009104346932923394,-0.29999163348488567,1.3652227190848073e-05,0.009130259568665804,-0.300791750535104,1.3729980656087017e-05,0.009159937178613409,-0.30235345246187123,1.3820837580878818e-05,0.009211038473215706,-0.3033181146483864,1.3969811990886927e-05,0.00921247908501955,-0.3033639022503895,1.3977215555414477e-05,0.009271175325254892,-0.30514069169817326,1.4152216199403533e-05,0.009273273845665944,-0.30594673752911133,1.4163451618734151e-05,0.009360826748697157,-0.30786519423557784,1.4423145919503394e-05,0.00936307169794878,-0.3086713942048131,1.443498633509219e-05,0.00945397604640698,-0.3106551377262687,1.4707549644343833e-05
2,0.02664890073284477,0.017763488978178033,-0.2930121993601764,3.897475613747503e-05,0.01776446844449926,-0.29303951684882024,3.898717563850383e-05,0.017815855175276993,-0.29382331118656285,3.9213375713519174e-05,0.01786258947607023,-0.29455606680415064,3.9420168362926125e-05,0.017912866215216268,-0.2953728059546928,3.964039510273248e-05,0.01791550541123397,-0.29600735248998405,3.966436792530907e-05,0.01800490745834132,-0.29682539778450745,4.0048879019138924e-05,0.01800771556989713,-0.29749200867631365,4.0074096262873184e-05,0.018105538910883838,-0.2983872470933874,4.0498192335056245e-05,0.018155128608150335,-0.29916740691881105,4.07197760275103e-05,0.018207016886111697,-0.2999711706479803,4.0952511498507744e-05,0.01825883154780311,-0.3007711503595022,4.118573528673423e-05,0.01831817455077439,-0.30233266535671205,4.145826236147204e-05,0.01842035609189315,-0.3032970905494474,4.1905114925448145e-05,0.01842323671379481,-0.30334286447901304,4.19273227590021e-05,0.018540604733773284,-0.30511934363475507,4.24522402490907e-05,0.018544800884392563,-0.30592533863545496,4.2485940899303224e-05,0.018719869865506247,-0.30784336389550354,4.3264897949917674e-05,0.01872435880074985,-0.30864951147214065,4.330041323254008e-05,0.018906128762978307,-0.310632798931406,4.411796961454722e-05
3,0.039973351099267154,0.02664126453332556,-0.2929800295612797,8.226746582000902e-05,0.026642733280882305,-0.2930073343281406,8.229368057216901e-05,0.026719787825657586,-0.2937909089909685,8.27711013978584e-05,0.026789865995086447,-0.2945234634936796,8.320756058901126e-05,0.026865256069719266,-0.29533998855092397,8.367237330157976e-05,0.026869213532483106,-0.29597447336156896,8.372297072681102e-05,0.027003271757953858,-0.2967921821729716,8.453452302413316e-05,0.0270074824970179,-0.29745872775139737,8.458774685586302e-05,0.02715416804407768,-0.2983535923835059,8.54828461556291e-05,0.027228527426630476,-0.29913353538529885,8.595052138400168e-05,0.027306333382941004,-0.2999370710484207,8.64417331503348e-05,0.027384028855805532,-0.3007368219153401,8.693397521989018e-05,0.027473012823519643,-0.3022980254386931,8.750916799513204e-05,0.027626232524591825,-0.30326205573268655,8.845229300648123e-05,0.02763055195344189,-0.3033078068795195,8.849916686865462e-05,0.027806542843471876,-0.3050837690051465,8.960705094060475e-05,0.027812834844294754,-0.3058896793112907,8.96781787069641e-05,0.02807534627073689,-0.3078069856646439,9.132223338613505e-05,0.028082077265905454,-0.308613045943738,9.139719088893779e-05,0.028354635390763838,-0.31059557348223255,9.312270796937882e-05
4,0.05329780146568954,0.0355142786603828,-0.2929350019381265,0.00014285484040459334,0.0355162361470561,-0.29296228889930914,0.00014290036085717818,0.035618927856672075,-0.2937455561243174,0.00014372928840109984,0.03571232196805691,-0.29447782916438764,0.00014448709562470764,0.03581279534959337,-0.29529405459610564,0.0001452941304005947,0.0358180694822215,-0.29592845302554893,0.00014538198095138033,0.03599673009404468,-0.2967456909234901,0.00014679104359994208,0.03600234174738602,-0.29741214509869857,0.00014688345406812774,0.0361978301678839,-0.29830648661436415,0.0001484375722645969,0.03629692905230702,-0.29908612617132474,0.00014924957337393216,0.03640062094751773,-0.29988934265633044,0.00015010243870098555,0.03650416542132339,-0.3006887732559625,0.00015095709203445147,0.03662275372516297,-0.30224954087863737,0.00015195576143737946,0.036826948480224574,-0.30321301851145355,0.00015359325371488414,0.036832704911968946,-0.30325873777259715,0.00015367464309049315,0.037067245335524336,-0.30503397632280976,0.00015559818600227577,0.03707563051755131,-0.3058397681048242,0.00015572167931779494,0.03742547398277938,-0.30775606835859715,0.00015857613315557907,0.03743444414988697,-0.3085620064714211,0.00015870627527010366,0.03779767430602984,-0.31054347051713066,0.0001617021545138292
5,0.06662225183211193,0.044380946372493305,-0.29287712672801447,0.00022071439857517943,0.04438339187578054,-0.2929043908045391,0.00022078472748320857,0.04451167990557146,-0.2936872629375932,0.00022206524466700646,0.04462835274242463,-0.2944191742670174,0.00022323589563194205,0.04475386941330544,-0.2952350146477539,0.00022448258956160727,0.04476045808769468,-0.29586930207301304,0.00022461830038560378,0.04498364940025706,-0.29668593479294025,0.00022679499394474188,0.044990659684716036,-0.2973522715108975,0.00022693774845050836,0.04523487190965248,-0.29824594076436867,0.00022933851419407772,0.04535867007240235,-0.29902519036529,0.00023059287253564045,0.04548820560944218,-0.29982799667630394,0.00023191035467140297,0.04561755669287197,-0.30062701570297806,0.0002332305971508704,0.045765700520504854,-0.3021872231631597,0.00023477329787943777,0.04602078623293615,-0.30314999057293773,0.00023730283656009772,0.04602797726342909,-0.3031956688557574,0.000237428573928024,0.046320969490842585,-0.30496997755630295,0.00024039997178936098,0.04633144429732116,-0.305775617033262,0.00024059073658922207,0.04676847267225144,-0.3076906243707366,0.00024500015088947636,0.046779678162733006,-0.30849640549927826,0.0002452011854190702,0.04723342559318166,-0.31047650288331774,0.0002498290425868812
6,0.07994670219853431,0.05323968453102884,-0.2928064170823278,0.0003158172654227451,0.05324261714831959,-0.29283365320152765,0.00031591789566151753,0.05339645047601441,-0.2936160427281924,0.00031774982469031504,0.05353635554839673,-0.29434751222709055,0.0003194245765572453,0.05368686551972024,-0.29516288226852466,0.00032120811121131215,0.053694766077454235,-0.29579703410972835,0.00032140226202075387,0.05396239854330784,-0.2966129276000248,0.00032451625944705635,0.05397080460681582,-0.29727912085267144,0.0003247204863235351,0.054263641866121384,-0.29817196893673886,0.0003281550313192921,0.054412089061562696,-0.298950742211683,0.0003299495176005509,0.054567415404767866,-0.29975304750205867,0.00033183430499576793,0.05472252014455256,-0.30055156380038756,0.0003337230383163045,0.0549001585220707,-0.3021110870481701,0.00033592999608732677,0.05520603014290618,-0.30307298693065743,0.0003395487265679947,0.055214652768978544,-0.303118615155775,0.00033972862257196064,0.05556597472238005,-0.30489178808050466,0.0003439794344531962,0.055578534710415864,-0.3056972415339492,0.0003442523349627098,0.056102564211723806,-0.3076106696215231,0.0003505603205941865,0.05611600021821777,-0.3084162590128896,0.000350847910949619,0.056660071613107224,-0.31039468708411133,0.0003574683529867185
7,0.0932711525649567,0.06208891230710995,-0.2927228890614626,0.00042812817714170463,0.06209233095602623,-0.29275009215837877,0.00042826458951954487,0.062271648404123005,-0.2935319117347771,0.0004307474342610909,0.062434729969091766,-0.2942628594396957,0.00043301725292143266,0.0626101733026354,-0.29507767402093144,0.00043543449788002796,0.06261938255613884,-0.29571166575083174,0.00043569763489954133,0.06293134880573537,-0.2965266862198599,0.0004399180626150413,0.06294114722852817,-0.29719271005525427,0.0004401948547151202,0.06328249109518809,-0.2980845883539488,0.0004448497038887203,0.06345552707811529,-0.2988627991054479,0.0004472817705735105,0.0636365808770176,-0.2996645127107266,0.00044983621615491266,0.06381737578186085,-0.30046243530879707,0.0004523960047914884,0.06402443560146656,-0.3020211505529703,0.0004553870436608208,0.0643809671772389,-0.30298202591842704,0.0004602914596395968,0.06439101779805362,-0.3030275950226487,0.00046053529825896113,0.06480052310749558,-0.30479942667038984,0.000466296305429096,0.06481516295009321,-0.3056046604581057,0.0004666661549658311,0.06542597322555703,-0.3075162235519895,0.00047521516233900093,0.06544163398413792,-0.3083215865327695,0.0004756049177489454,0.06607579757161483,-0.3102980432720975,0.000484577319872206
8,0.10659560293137908,0.07092705164286972,-0.2926265616293199,0.000557605494775582,0.07093095506167521,-0.2926537266480933,0.0005577831558496356,0.07113568532427954,-0.29343488913168525,0.0005610160443689391,0.07132187841041764,-0.29416523526382593,0.0005639715518660308,0.07152218524507685,-0.2949794094616045,0.0005671190084013738,0.07153269947898729,-0.2956132166150544,0.0005674616383379003,0.07188887436832275,-0.2964272305780863,0.000572956977561405,0.07190006116443873,-0.2970930591105107,0.0005733173858687958,0.07228977360743469,-0.2979838193516733,0.0005793783478262748,0.07248732816008512,-0.29876138158584836,0.0005825450716926263,0.07269403557794005,-0.29956241305663034,0.0005858711323030065,0.07290044664722158,-0.30035965119910574,0.0005892041426453015,0.07313684270039914,-0.30191743495380347,0.000593098612539461,0.0735438874305948,-0.3028771291837654,0.0005994844383764724,0.07355536184924641,-0.30292263012300247,0.0005998019721073296,0.07402287992004852,-0.3046929154942214,0.0006073030376676609,0.07403959340854627,-0.30549789606396505,0.0006077845894790239,0.07473692763945172,-0.30740730911659947,0.0006189156991057448,0.07475480643230793,-0.30821241110717046,0.0006194231648651461,0.0754787920875805,-0.3101865952416303,0.000631105448274471
9,0.11992005329780146,0.07975252771237888,-0.2925174566463227,0.0007042012217702328,0.07975691446046876,-0.2925445785415823,0.0007044255816667409,0.07998697613459957,-0.2933249970218441,0.0007085072089600593,0.08019620657063445,-0.29405466201519986,0.0007122386310928698,0.08042129715322877,-0.2948681111340135,0.0007162123760483844,0.08043311212599667,-0.2955017093174027,0.0007166449600891273,0.08083335279218541,-0.2963145836434067,0.0007235829485050368,0.0808459234112015,-0.29698019106342877,0.0007240379757751278,0.08128384685723633,-0.29786968537111785,0.0007316900336397762,0.08150583982081278,-0.2986465133286941,0.0007356880585400673,0.08173811656788885,-0.29944677246339985,0.0007398872345921947,0.08197005932512616,-0.30024323564451116,0.0007440951742949055,0.08223569434138656,-0.30179996477568777,0.00074901187881285,0.08269308464539495,-0.3027583216795508,0.0007570739523009207,0.08270597807079788,-0.302803745431731,0.0007574748973508672,0.08323131416209902,-0.3045722801049327,0.0007669448263753673,0.08325009420902464,-0.3053769740080938,0.0007675527645212196,0.08403365922955898,-0.30728395277421444,0.000781605478321846,0.084053748388121,-0.3080887593029829,0.0007822461260881784,0.08486724776064566,-0.3100603704193475,0.0007969945364781825
