,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U tilde of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U tilde of 0.2,U Bar of 0.3,A of 0.3,B of 0.3,U tilde of 0.3,U Bar of 0.4,A of 0.4,B of 0.4,U tilde of 0.4,U Bar of 0.5,A of 0.5,B of 0.5,U tilde of 0.5,U Bar of 0.6,A of 0.6,B of 0.6,U tilde of 0.6,U Bar of 0.7,A of 0.7,B of 0.7,U tilde of 0.7,U Bar of 0.71,A of 0.71,B of 0.71,U tilde of 0.71,U Bar of 0.72,A of 0.72,B of 0.72,U tilde of 0.72,U Bar of 0.73,A of 0.73,B of 0.73,U tilde of 0.73,U Bar of 0.74,A of 0.74,B of 0.74,U tilde of 0.74,U Bar of 0.7402,A of 0.7402,B of 0.7402,U tilde of 0.7402,U Bar of 0.7404,A of 0.7404,B of 0.7404,U tilde of 0.7404,U Bar of 0.7406,A of 0.7406,B of 0.7406,U tilde of 0.7406,U Bar of 0.7408,A of 0.7408,B of 0.7408,U tilde of 0.7408,U Bar of 0.741,A of 0.741,B of 0.741,U tilde of 0.741
0,0.0,0.0,-0.01662803955078878,0.0,0.0,0.0,-0.03527854506167701,0.0,0.0,0.0,-0.05660620547653245,0.0,0.0,0.0,-0.08168894959955479,0.0,0.0,0.0,-0.11252187298036179,0.0,0.0,0.0,-0.15365582100479985,0.0,0.0,0.0,-0.22224218783773422,0.0,0.0,0.0,-0.2334856720852497,0.0,0.0,0.0,-0.24696830693058744,0.0,0.0,0.0,-0.2644908105310732,0.0,0.0,0.0,-0.29390235946281024,0.0,0.0,0.0,-0.29488242543692467,0.0,0.0,0.0,-0.29590460011315034,0.0,0.0,0.0,-0.2969744500959854,0.0,0.0,0.0,-0.29809886603688207,0.0,0.0,0.0,-0.2992862407264525,0.0,0.0
1,0.01998001998001998,0.0049874052812642995,-0.01662803454575542,6.166057153793723e-07,0.004905161281957375,0.005333091056230821,-0.03527852077926192,1.3970797279548744e-06,-0.005148223791773089,0.005756618626033927,-0.056606137373696165,2.416717461332466e-06,-0.005439801332122122,0.006296681485178937,-0.08168879275906243,3.8106443606193496e-06,-0.005802745267206338,0.0070284959746127985,-0.11252153623120267,5.8545393985310215e-06,0.00628047907833793,0.008135184805096908,-0.15365508042128312,9.253744734900736e-06,-0.006976412888810673,0.01037062863237332,-0.22224014757788244,1.7110615155512413e-05,0.008303866533619813,0.010790516394099527,-0.23348331608958256,1.8719434055689965e-05,0.008543463717021913,0.011316095868206854,-0.2469655241599953,2.078811079406143e-05,0.008839591760943306,0.012036899433203295,-0.26448738576625686,2.372106258793707e-05,0.009239305451000978,0.013349666977940159,-0.29389759885338734,2.9333835233076554e-05,-0.009949929677214479,0.01339575854112291,-0.29487761405334717,2.9537025983119155e-05,0.009974501129477982,0.013443997621046979,-0.29589973531018193,2.9750118296343632e-05,-0.010000191174822351,0.01349466976526166,-0.29696952887135397,2.9974436371038494e-05,0.010027148144394156,0.01354812851110954,-0.29809388494571026,3.021162056536476e-05,-0.01005555563773862,0.013604804089416798,-0.2992811957815174,3.04636736910901e-05,-0.010085636648276325
2,0.03996003996003996,0.00997416192296376,-0.01662740292574271,1.849658591824883e-06,0.009809678721678216,0.010665436068170834,-0.035277050856502984,4.190857696685686e-06,-0.010295713771005105,0.011512361553060435,-0.056603516360669834,7.249445175176482e-06,-0.010878751099905333,0.012592305071717142,-0.08168451162643117,1.143072228126036e-05,-0.011604476875965063,0.014055656168769373,-0.11251467152586121,1.7561556836994486e-05,0.012559703721526863,0.016268543448864962,-0.15364360514100867,2.775748746275269e-05,-0.013951161679408117,0.020738168608752272,-0.22221691699001336,5.1323031335130206e-05,0.016605077595563178,0.021577664526125726,-0.23345752964936198,5.6148260757677974e-05,0.017084061690918178,0.022628453878571545,-0.2469363889699007,6.235262166279527e-05,0.01767604398518359,0.024069518057007168,-0.26445339205377294,7.114893714062525e-05,0.018475076832898917,0.026693954339933712,-0.29385398581096167,8.798183950124562e-05,-0.019895550626345668,0.026786096255693576,-0.29483364553782304,8.859120221250601e-05,0.01994466502413788,0.02688253109116472,-0.2958553934866064,8.923025839822495e-05,-0.019996015185226437,0.026983829656467177,-0.29692479350978795,8.990297912944521e-05,0.020049897581006528,0.027090698673102605,-0.2980487328484386,9.061428359094395e-05,-0.020106679174075322,0.027203998171165592,-0.2992356001214654,9.137017790263886e-05,-0.02016680566280103
3,0.05994005994005994,0.0149596214655082,-0.01662635033509938,3.904323590303181e-06,0.014712908661116771,0.015996289208453505,-0.03527460125872114,8.846135213151076e-06,-0.015441736352487344,0.01726635335106007,-0.056599148535468206,1.5302100008452756e-05,-0.01631599802778435,0.018885813208360934,-0.08167737736088801,2.4127609864445492e-05,-0.017404181549891127,0.02108014527994399,-0.11250323208435004,3.706772451232811e-05,0.01883642003245413,0.024398250507868757,-0.15362448310536925,5.858699286218391e-05,-0.020922583120834806,0.0310995328338393,-0.2221782086295672,0.0001083199876411137,0.02490097951136318,0.03235807790422416,-0.233414563070178,0.00011850258729169065,0.025618930210598405,0.03393333823465654,-0.24688784328512234,0.00013159524669752453,0.02650621949013592,0.03609357757961556,-0.264396752202417,0.00015015697402261482,0.027703782926201227,0.04002748600960375,-0.29378132128814544,0.00018567546160735415,-0.029832558044453887,0.0401655958975317,-0.2947603888602179,0.00018696121147443492,0.029906158416379235,0.04031013988289137,-0.2957815149459857,0.00018830961103562127,-0.02998310887838073,0.04046197346872755,-0.2968502594085673,0.0001897290386999639,0.030063853660616275,0.040622155854696605,-0.2979735045455761,0.00019122987325802837,-0.030148942616115462,0.040791976007553,-0.29915963293047,0.00019282478675504243,-0.030239043571743767
4,0.07992007992007992,0.01994313580919335,-0.016624876938278493,6.779965080788049e-06,0.019614207810551534,0.02132490508342157,-0.035271172398269386,1.5361378207754842e-05,-0.020585558405593785,0.0230177191277185,-0.05659303469947614,2.657182807020993e-05,-0.02175069141767542,0.02517614903811705,-0.08166739141273507,4.189640095068759e-05,-0.02320084677678317,0.028100628960378272,-0.11248722054948328,6.43646482070681e-05,0.025109375190489024,0.03252248203169556,-0.1535977195706654,0.0001017269046225806,-0.027889015658118445,0.041451637322805046,-0.22212403682567675,0.0001880649896219892,0.0331889222074195,0.04312839356357541,-0.23335443306806203,0.00020574077225319354,0.0341452096370203,0.04522701724576398,-0.24681990715883884,0.00022846733214842218,0.035326985811638685,0.04810480472123605,-0.26431749151766165,0.00026068582896570817,0.0369218982244665,0.0533448929515,-0.29367964236651867,0.0003223324997829515,-0.03975665500141963,0.05352884734238089,-0.2946578815713482,0.00032456396622227747,0.03985465599594419,0.05372137067620905,-0.2956781377344824,0.0003269041553789476,-0.03995711714791003,0.05392360229525613,-0.29674596513888574,0.0003293676070084611,0.040064629874785686,0.0541369528193113,-0.29786823916746974,0.00033197233227897326,-0.04017792621208782,0.054363138859035515,-0.2990533339376023,0.0003347403219660409,-0.04029789525167233
5,0.0999000999000999,0.02492405739391361,-0.016622982965546304,1.0475693935546872e-05,0.02451293343248736,0.026650538949751175,-0.03526676485280484,2.373444164361095e-05,-0.0257264474812335,0.028765584797080107,-0.056585175975907634,4.105464067259984e-05,-0.027181981437229462,0.031462256745268084,-0.08165455581577691,6.473024224541509e-05,-0.028993461189906058,0.03511577429460038,-0.11246664062941183,9.944061015390129e-05,0.03137731798818844,0.04063941628060004,-0.15356332191635114,0.00015715580595898794,-0.03484880027690648,0.05179140276345828,-0.22205442170782813,0.0002905072189965601,0.04146626100020788,0.05388525383871613,-0.2332771631270776,0.00031780484515719817,0.04266004642562631,0.05650576539144834,-0.2467326087651586,0.0003529011663026706,0.04413521754616615,0.06009893373655152,-0.26421564555503185,0.00040265294541293336,0.04612590576816605,0.06664081672017708,-0.29354900115010385,0.0004978386767852314,-0.0496635563399934,0.0668704511779956,-0.2945261764345936,0.0005012839604134762,0.04978584435165441,0.06711078099193991,-0.2955453153115183,0.0005048970907170624,-0.04991369691958758,0.06736322820669574,-0.29661196489791547,0.0005087005138544907,0.05004785188808871,0.06762955345329656,-0.2977329916969843,0.000512722035041587,-0.05018922253304122,0.06791189926486431,-0.2989167589670173,0.000516995602985864,-0.050338918062167066
6,0.11988011988011987,0.02990173937864381,-0.016620668712815333,1.4990367811477673e-05,0.0294084435253098,0.031972446930756036,-0.035261379364633985,3.396256974766968e-05,-0.030863672038461104,0.034509077347729615,-0.05657557380804762,5.874541379451491e-05,-0.03260901940761699,0.03774308190168519,-0.0816388731831961,9.262033042888954e-05,-0.03478101494867762,0.04212425027583451,-0.11244149708822519,0.000142280559930502,0.03763899936731725,0.048747234460824525,-0.1535212996220453,0.00022484619280431137,-0.041800281347296665,0.06211575607036382,-0.22196938912764605,0.0004155814305025683,0.04973035838503051,0.06462530812607575,-0.2331827834055515,0.00045462038157497174,0.05116059514855884,0.06776586537361795,-0.24662598428315868,0.0005048098236911262,0.05292779869315653,0.0720717089203697,-0.26409125996837124,0.0005759523491051557,0.055312299979310704,0.07990991298143409,-0.29338946453063536,0.0007120473209123264,-0.059548992578387694,0.08018502226592794,-0.2943653411877942,0.0007169729459604905,0.059695425915772496,0.08047294279633452,-0.29538311630810693,0.000722138508087673,-0.059848521139725504,0.08077537790109868,-0.2964483282633563,0.0007275760934299697,0.06000916157311757,0.081094436464274,-0.297567832720016,0.0007333254486813712,-0.06017844055743292,0.08143268479320905,-0.2987499796841398,0.0007394351022349834,-0.06035768598340917
7,0.13986013986013987,0.03487553582056705,-0.01661793454153993,2.0322591727653272e-05,0.03430009700655277,0.03728988623228585,-0.03525501684043563,4.604239741452263e-05,-0.03599650167059124,0.04024732511052237,-0.05656422995867841,7.963789071762751e-05,-0.03803095809066637,0.04401757181256592,-0.08162034670643588,0.00012555591674768998,-0.040562500118388,0.04912472828162711,-0.11241179574372048,0.00019286612247450328,0.043893172953278624,0.05684412145888873,-0.15347166426249778,0.0003047644889978942,-0.048741807464751215,0.0724216319375168,-0.22186897064162892,0.0005632079913279724,0.057978585816768555,0.07534521464499,-0.23307133071509914,0.0006160965489868255,0.05964402050742501,0.07900361016706114,-0.24650007787043796,0.0006840872199998425,0.0617016249858356,0.08401888711163012,-0.26394439047416657,0.0007804547174701273,0.06447758948121295,0.09314685503173353,-0.293201114128792,0.0009647794689383769,-0.06940871378997089,0.09346719330147638,-0.29417545848350046,0.0009714500370345745,0.06957912288512623,0.0938024461038444,-0.29519162446606134,0.0009784454960288357,-0.06975728273999972,0.09415459635206763,-0.2962551401315331,0.0009858092916080726,0.06994422102153973,0.09452609907762366,-0.29737284836240163,0.0009935952420112204,-0.07014120973136423,0.09491994178941014,-0.2985530835312939,0.0010018690557944616,-0.07034979372898344
8,0.15984015984015984,0.039844801853789406,-0.016614780878591345,2.647071878736101e-05,0.03918725389571274,0.04260211535812746,-0.03524767835093549,5.9969952007785045e-05,-0.041124207330707346,0.04597945802565946,-0.056551146509416644,0.00010372468550792985,-0.04344695197512182,0.05028467586140474,-0.08159898015392532,0.00016352431327879116,-0.04633691104870194,0.05611588254847632,-0.11237754346488019,0.00025117560943328516,0.0501385955876358,0.06492826657445319,-0.15341442950191453,0.0003968710687726643,-0.055671732287511065,0.08270597438851633,-0.22175320349148353,0.0007332929429474051,0.0662083254811671,0.08604164219596698,-0.23294284849666946,0.0008021261791992443,0.06810749933492255,0.09021530506687706,-0.2463549416328075,0.000890608199446213,0.07045360620849722,0.09593624019374943,-0.26377510281046807,0.001016007490931527,0.07361829990077844,0.10634633731273051,-0.2929840462259776,0.0012558240327561062,-0.07923849345627787,0.10671161836869972,-0.2939566258195942,0.0012645018789596639,0.07943268111517528,0.10709390257486173,-0.2949709385673851,0.0012736023118530724,-0.07963569857478334,0.10749545045182758,-0.296032500645476,0.0012831818397445577,0.07984871652725331,0.10791906072782888,-0.2971481402165954,0.0012933104620188748,-0.08007318400045138,0.10836813911906523,-0.2983261736528688,0.0013040736427957116,-0.08031086082985942
9,0.1798201798201798,0.04480889386753224,-0.016611208216109508,3.343285103288991e-05,0.044069275496492616,0.04790839432478503,-0.03523936513051796,7.57406555000288e-05,-0.04624606155642102,0.05170460790905969,-0.05653632585991829,0.00013099728716706017,-0.048856157561926516,0.056543345854023076,-0.08157477786954259,0.0002065109004289247,-0.05210324475068922,0.06309639064524523,-0.11233874816881687,0.0003171840328137826,0.05637402785834188,0.07299786425146054,-0.15334961108705375,0.0005011202839415834,-0.06258841536984505,0.09296573832365632,-0.22162213058015137,0.0009257280763831969,0.07441697205487108,0.09671127191556754,-0.23279738679134565,0.0010125858565575886,0.07654822258324787,0.10139726973206821,-0.24619063558735788,0.0011242286413106462,0.07918066849771566,0.10781955759045464,-0.2635834726868667,0.0012824350087590687,0.08273097665012626,0.1195030789194947,-0.2927383716813799,0.0015849380030235347,-0.08903413228831084,0.11991297648905658,-0.2937089554549432,0.0015958828546172317,0.08925187398191922,0.12034194910704048,-0.29472117234843687,0.0016073605909684837,-0.08947951332586758,0.12079253264777336,-0.2957805251074982,0.0016194424670949127,0.08971836253640385,0.12126786674321424,-0.2968938252525472,0.0016322167495871037,-0.08997004580801848,0.12177177190435222,-0.29806936880436674,0.0016457912046840273,-0.09023653568406567
