,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U Bar of 0.3,A of 0.3,B of 0.3,U Bar of 0.4,A of 0.4,B of 0.4,U Bar of 0.5,A of 0.5,B of 0.5,U Bar of 0.6,A of 0.6,B of 0.6,U Bar of 0.7,A of 0.7,B of 0.7,U Bar of 0.71,A of 0.71,B of 0.71,U Bar of 0.72,A of 0.72,B of 0.72,U Bar of 0.73,A of 0.73,B of 0.73,U Bar of 0.74,A of 0.74,B of 0.74,U Bar of 0.74054,A of 0.74054,B of 0.74054,U Bar of 0.74108,A of 0.74108,B of 0.74108,U Bar of 0.74162,A of 0.74162,B of 0.74162,U Bar of 0.74216,A of 0.74216,B of 0.74216,U Bar of 0.7427,A of 0.7427,B of 0.7427
0,0.0,0.0,-0.01662901057972934,0.0,0.0,-0.03527888272994166,0.0,0.0,-0.0566063053426101,0.0,0.0,-0.08168845032539401,0.0,0.0,-0.11251933049964698,0.0,0.0,-0.1536484051820683,0.0,0.0,-0.2222130201995051,0.0,0.0,-0.23344841225181243,0.0,0.0,-0.24691734705196924,0.0,0.0,-0.26442993906140244,0.0,0.0,-0.2936876899361452,0.0,0.0,-0.2964023396115238,0.0,0.0,-0.2994926606904456,0.0,0.0,-0.3031604958934594,0.0,0.0,-0.3076224962057507,0.0,0.0,-0.3157583402396338,0.0
1,0.013324450366422385,0.00332636760871078,-0.016629008353276863,2.742825836365776e-07,0.003556656212654172,-0.035278871930201704,6.213650995539841e-07,0.003839066254710576,-0.056606275054420375,1.0748359766651524e-06,0.004199189214959143,-0.08168838057393071,1.6947518369359e-06,0.004687128531448186,-0.11251918074679762,2.6036499183554277e-06,0.00542498548605008,-0.15364807587341067,4.115114724997361e-06,0.0069150561294176365,-0.22221211322985485,7.607682867224797e-06,0.007194804370124285,-0.23344736502538246,8.322481525241893e-06,0.007544847771344751,-0.24691611031939203,9.241257965226552e-06,0.008025271902029932,-0.2644284171193409,1.0544664035156171e-05,0.00889545966188692,-0.2936855778651047,1.3025401642466457e-05,0.008980775330009454,-0.2964001646474104,1.3276574000480591e-05,0.009078882981956592,-0.2994904123000942,1.3567115085568387e-05,0.009196693387978981,-0.3031581577710297,1.3918411373778403e-05,0.009341448986981027,-0.3076200452452237,1.435412044586977e-05,0.00961229178657523,-0.3157556717609907,1.5178842685664397e-05
2,0.02664890073284477,0.0066525427886484235,-0.016628727391494614,8.228163785321568e-07,0.007113091141318979,-0.03527821816671592,1.8640198352884288e-06,0.007677872775890895,-0.056605109356434855,3.2243680396427326e-06,0.008398064663941015,-0.08168647657427186,5.084016014948781e-06,0.00937386089963117,-0.11251612785445676,7.810542047137254e-06,0.010849429412425976,-0.15364297287523143,1.2344603192701705e-05,0.013829196496828577,-0.22220178479752684,2.2821305954451936e-05,0.014388610149896217,-0.23343590105842463,2.4965459475717052e-05,0.015088587510443232,-0.2469031591072329,2.7721459158608332e-05,0.01604927488047655,-0.26441330695405113,3.1631175506465077e-05,0.017789326719104194,-0.29366621676696364,3.9072324648474446e-05,0.017959924035590154,-0.29638036371986926,3.98257261961809e-05,0.018156099707066047,-0.29947010057905415,4.0697214037584104e-05,0.018391672201196713,-0.30313722559020023,4.1750936630413784e-05,0.01868112295702102,-0.3075983388830921,4.3057853917297445e-05,0.019222692183682808,-0.3157324882062029,4.5531611360302445e-05
3,0.039973351099267154,0.00997833313480149,-0.016628259143499642,1.7369556392042952e-06,0.010669083530626403,-0.03527712861500499,3.934909449058584e-06,0.011516159865494927,-0.056603166631265134,6.80654731551043e-06,0.012596312626791515,-0.08168330343050628,1.0732148250643227e-05,0.014059801004320367,-0.11251104004352665,1.6487602094734218e-05,0.01627279031676085,-0.15363446855689336,2.6058426370358914e-05,0.020741505545968278,-0.22218457257949875,4.817265066436634e-05,0.021580418982291395,-0.23341679658594797,5.2698407500259233e-05,0.022630111456704193,-0.2468815763161418,5.851555549850181e-05,0.024070740343512736,-0.264388126573683,6.676776642030563e-05,0.026680009032490064,-0.2936339529801391,8.24733939243766e-05,0.026935819972836537,-0.29634736704987513,8.406353194622798e-05,0.027229984416737615,-0.2994362527820395,8.590289846744535e-05,0.02758322238508669,-0.3031023439351368,8.812688227281254e-05,0.028017247441295474,-0.3075621672335223,9.088524598888694e-05,0.028829310405309966,-0.315693855175558,9.610628954590181e-05
4,0.05329780146568954,0.013303546289648012,-0.016627603641835874,3.016574558602351e-06,0.014224412182426085,-0.03527560335664954,6.833730385916193e-06,0.015353667896413698,-0.05660044703745386,1.1820809102999166e-05,0.016793619474945582,-0.08167886142954862,1.8638177777340717e-05,0.018744552871230863,-0.11250391783680752,2.8633169205059894e-05,0.021694526930971576,-0.15362256395811083,4.525354610890169e-05,0.027651068130650866,-0.2221604794093438,8.36544984846606e-05,0.02876923297522439,-0.2333900549131953,9.151308975550753e-05,0.030168312390661787,-0.24685136591052628,0.00010161392567127695,0.032088400359806035,-0.2643528809806833,0.00011594270193150555,0.03556591538893987,-0.2935887938204595,0.0001432123824749517,0.03590683795371687,-0.29630118221243396,0.00014597327554880868,0.03629887234342362,-0.2993888767896233,0.00014916687966530024,0.03676963091964454,-0.3030535210641545,0.00015302825576374144,0.03734804906098572,-0.3075115390359835,0.00015781741509750214,0.03843025686520761,-0.315639782357651,0.00016688226143783783
5,0.06662225183211193,0.016627989966896534,-0.016626760932080008,4.661497105300867e-06,0.0177788559843911,-0.035273642505957534,1.0560058067920336e-05,0.01919013734794238,-0.05659695079726088,1.8266363910211563e-05,0.020989671717232726,-0.0816731509738413,2.8800748106870887e-05,0.023427720715046136,-0.11249476196802946,4.4244924117701496e-05,0.027114098278581716,-0.15360726053898482,6.992572360489197e-05,0.034556969720804735,-0.22212950926910435,0.00012925679317394553,0.03595405493528372,-0.2333556806854154,0.00014139803554219304,0.03770208390616791,-0.2468125334624956,0.0001570031732503425,0.040100987991074005,-0.26430757720678055,0.00017913964901029433,0.044445455968385575,-0.2935307495725271,0.00022126671921572373,0.04487135422815518,-0.2962418198565722,0.00022553170751080727,0.045361100210523406,-0.29932798368048086,0.00023046511275684375,0.04594918634139332,-0.3029907685870565,0.00023643003533437988,0.04667175607730579,-0.3074464665768022,0.00024382810564917688,0.04802364378259611,-0.3155702833732971,0.00025783086492060304
6,0.07994670219853431,0.019951471975213526,-0.01662573107281732,6.67149702859441e-06,0.021332193938595433,-0.03527124620985805,1.511334681267258e-05,0.023025308841222118,-0.05659267819636348,2.61421971016071e-05,0.025184156045629704,-0.08166617258063186,4.1218116011348115e-05,0.028108909002341365,-0.11248357338017967,6.331988655352864e-05,0.03253096377183997,-0.1535885601758788,0.00010006951247742089,0.04145829660757396,-0.2220916672752963,0.00018496661587991996,0.043133888600284304,-0.23331367987111348,0.0002023385093623242,0.04523032068111455,-0.24676508613120074,0.0002246660895551716,0.04810723762258022,-0.26425222428605494,0.0002563376277526181,0.053317042807324945,-0.29345983344848214,0.0003166074139732534,0.05382774696247815,-0.29616929366247663,0.0003227089665683699,0.0544150067284669,-0.29925358768661,0.00032976671520470384,0.055120179261285186,-0.3029141014179744,0.0003383000841272974,0.05598659893718493,-0.30736696563896243,0.0003488835965976151,0.057607585782845416,-0.31548537571930446,0.00036891528913952313
7,0.0932711525649567,0.02327380024192006,-0.016624514135632342,9.046297907596435e-06,0.02488420519007507,-0.03526841464787636,2.0492929947709976e-05,0.026858923174627444,-0.05658762958380444,3.5447069102315756e-05,0.029376759380972214,-0.08165792688187164,5.588815185800313e-05,0.03278772251446671,-0.1124703532253002,8.585441575518264e-05,0.037944583308743604,-0.1535664651609652,0.00013567825968886294,0.04835413610837462,-0.22204695967737928,0.00025076818716370696,0.050307738871809726,-0.23326405976019848,0.0002743165132191137,0.05275191874812162,-0.24670903266050667,0.0003045816563362794,0.05610588529364628,-0.2641868332518115,0.0003475110146782431,0.062179090262434504,-0.2933760615828973,0.00042919906220674616,0.06277439671799165,-0.29608362033615165,0.0004374685845741581,0.06345893309090128,-0.2991657061877051,0.00044703397189271784,0.06428090288269452,-0.3028235377693872,0.000458599155526905,0.06529081081906152,-0.3072730554956626,0.00047294270709142796,0.06718020049829303,-0.3153850807610927,0.000500090580789302
8,0.10659560293137908,0.026594782836662986,-0.01662311020509799,1.1785573214573245e-05,0.028434669055343267,-0.035265148032106064,2.6698019967632874e-05,0.030690721359147317,-0.056581805371936085,4.617951570001937e-05,0.03356716891863408,-0.08164841462410964,7.280834014868787e-05,0.03746376641036646,-0.11245510286428088,0.00011184421145724128,0.04335441737002005,-0.1535409782017647,0.00017674410744983413,0.05524357677181579,-0.2219953938561678,0.00032664287217696035,0.05747461204758468,-0.23320682896204653,0.0003573107926702875,0.06026577576505713,-0.2466443833765396,0.00039672505306586063,0.06409566902795592,-0.26411141713324965,0.000452629552001209,0.07103001547391259,-0.29327945302723585,0.000558999858825048,0.07170968692925259,-0.29598481960361,0.0005697675008351419,0.07249122347062228,-0.29906435970502737,0.0005822223500807072,0.07342965351915332,-0.30271909914558753,0.0005972809088810674,0.07458262817836105,-0.3071647589032576,0.000615956813178088,0.07673960916872516,-0.31526942372456473,0.0006513036627800608
9,0.11992005329780146,0.02991422799506507,-0.01662151937876262,1.488894639036807e-05,0.03198336505088976,-0.035261446607175326,3.372770872253504e-05,0.03452044465370424,-0.05657520603635171,5.833784840999625e-05,0.037755072174150354,-0.08163763666836088,9.197578017829554e-05,0.04213664628933946,-0.11243782386659913,0.0001412843150824759,0.048759927115981046,-0.15351210242056137,0.0002232579955965579,0.06212570858242903,-0.22193697832180362,0.00041256918721945885,0.06463351605366995,-0.23314199740303054,0.0004512968445094472,0.0677707912853464,-0.24657115018456113,0.0005010676662070086,0.07207532916362772,-0.2640259909512243,0.0005716583594402518,0.07986823882848768,-0.293170029742825,0.0007059616158309795,0.0806320043820039,-0.2958729142035095,0.0007195560804247365,0.08151022551507366,-0.2989495718936392,0.0007352805185074635,0.08256473111166185,-0.3026008103344106,0.00075429192958712,0.08386029129258232,-0.3070421020923296,0.0007778698691488147,0.08628393724143686,-0.31513843368583755,0.0008224933580953833
