,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U tilde of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U tilde of 0.2,U Bar of 0.3,A of 0.3,B of 0.3,U tilde of 0.3,U Bar of 0.4,A of 0.4,B of 0.4,U tilde of 0.4,U Bar of 0.5,A of 0.5,B of 0.5,U tilde of 0.5,U Bar of 0.6,A of 0.6,B of 0.6,U tilde of 0.6,U Bar of 0.7,A of 0.7,B of 0.7,U tilde of 0.7
0,0.0,0.0,-0.01663142293460736,0.0,0.0,0.0,-0.03528952957879437,0.0,0.0,0.0,-0.056630665496317366,0.0,0.0,0.0,-0.08173868191345231,0.0,0.0,0.0,-0.1126183275674698,0.0,0.0,0.0,-0.15386847953464622,0.0,0.0,0.0,-0.2230384780372038,0.0,0.0
1,0.07992007992007992,0.019954615444790633,-0.016631342768315845,9.870546269374987e-06,-0.0196252942181648,0.02133956470489994,-0.03528914050846783,2.2367948628235234e-05,0.02059918147875526,0.023037181848970325,-0.05662957383900103,3.870216933401573e-05,-0.021768005169064374,0.025203209527745594,-0.08173616627698352,6.104686265215985e-05,-0.02322371923264007,0.028140009759904903,-0.11261292161023657,9.383818739149065e-05,0.025140639513001214,0.03258977348044436,-0.15385656914043286,0.00014848513937826814,-0.027938159853910127,0.041646706863898555,-0.22300542236179657,0.00027584498504447906,0.03331277760268664
2,0.15984015984015984,0.03986769793324577,-0.016621231928818238,2.9571039335269585e-05,-0.03920936497848598,0.0426313490520745,-0.035265606428953045,6.700613668084748e-05,0.041151371956302356,0.04601826152381908,-0.056587600017066884,0.0001159253019951841,-0.043481466346937524,0.050338611951638426,-0.0816675810277036,0.00018283016695596916,-0.04638248955980347,0.05619434362217141,-0.11250288650294016,0.0002809856397620117,0.050200863943263854,0.06506225403300403,-0.1536724082098989,0.000444492331680483,-0.055769530458282764,0.08309390340648008,-0.22263062041561335,0.0008252523279446534,0.06645436483618294
3,0.23976023976023975,0.059697898882183235,-0.016604408536876194,6.229714207676813e-05,-0.058711177469933123,0.06382779500725384,-0.03522645300970963,0.000141142829545537,0.06160981329775643,0.06888741272075334,-0.05651777940953434,0.0002441473129271693,-0.0650861354378187,0.07533875680548356,-0.08155351726217062,0.00038497360640172185,-0.0694117537681549,0.08407781704967603,-0.11231993965266301,0.0005914841189561886,0.07510081021084145,0.09730090947434684,-0.1533663556484395,0.0009352590099582474,-0.08338819326612651,0.1241437043753638,-0.22200835850233666,0.001734806952895648,0.09925543192328115
4,0.3196803196803197,0.07940423705685143,-0.016580914548314462,0.00010788742025581751,-0.07809007266088723,0.08488178748324311,-0.03517178546227624,0.000244388421695927,0.0819282111298316,0.09158935872371664,-0.056420316529918274,0.0004226433648973918,-0.08652835350179441,0.10013690400803832,-0.08139434522733513,0.0006662308902316735,-0.0922477343598133,0.11170622398302389,-0.11206475609331291,0.0010232006491528753,0.09976171378188067,0.12919072180158186,-0.15293975586040687,0.0016168791923476089,-0.11068996190992268,0.16460145538797444,-0.22114232777432943,0.002995170669457893,0.1315503477868511
5,0.3996003996003996,0.09894627878775732,-0.016550808401875866,0.00016611781673936705,-0.09730595139660009,0.10574687170515497,-0.03510175036563093,0.0003762025530217491,0.10206096168799245,0.11406964223859574,-0.05629549635516862,0.0006504089796614612,-0.10775533837441752,0.12466737294483568,-0.08119058089239355,0.0010248766421575475,-0.11482781322980053,0.1389968183498427,-0.11173827649523779,0.001573186118525832,0.12410644171314537,0.16061893415915277,-0.1523944815792284,0.0024839622348227022,-0.13757321814008658,0.20427733467551412,-0.2200376618593433,0.00459350023662541,0.1631789449652336
6,0.4795204795204795,0.11828431406968803,-0.01651416467239827,0.0002367034537119863,-0.11631945400776501,0.1263774656297666,-0.035016534697142936,0.0005358985054768797,0.12196337274760044,0.13627488912605815,-0.05614368222339045,0.0009261683318489572,-0.12871546420707936,0.14886588372670892,-0.08094288167798859,0.0014587209330591783,-0.13709089973213678,0.1658687849122572,-0.11134169832261501,0.0022377008534686534,0.14806000763501045,0.19147578148835362,-0.15173291331985625,0.0035296819259250777,-0.16393971530967172,0.24298791940064346,-0.2187008650467485,0.006513578837002663,0.19398819803977743
7,0.5594405594405595,0.13737952724708402,-0.016471073658346023,0.0003193009654300834,-0.1350921340159656,0.1467290658771252,-0.034916364745189034,0.0007226490411837574,0.14159187675815252,0.1581530641752203,-0.055965313591959394,0.0012483855761191158,-0.14935853031383817,0.1726698883518722,-0.08065204209460469,0.001965129763179359,-0.15897778327462506,0.19224369662188784,-0.11087646710637082,0.0030122519853443223,0.17155006243865162,0.22165520127769964,-0.15095791952952187,0.004745851358289659,-0.18969533761589905,0.2805577121465876,-0.21713974257310995,0.008736027909001982,0.2238337817392623
8,0.6393606393606394,0.15619416104431896,-0.01642164088622846,0.0004135112942739224,-0.15358662459937195,0.1667584456687712,-0.03480150480433356,0.0009354934115163716,0.16090423442611465,0.17965371703592362,-0.05576090335035421,0.0016152784720655834,-0.16963601693650446,0.1960188893103013,-0.08031898851950892,0.002541049755364569,-0.1804314670192269,0.2180459550187767,-0.11034426600079991,0.0038916386310514483,0.19450735535513144,0.25105551878304033,-0.15007283284713568,0.006123013832354819,-0.21475080557818355,0.31682061337952444,-0.2153633173284832,0.011238566293585444,0.2525814835148751
9,0.7192807192807192,0.17469167277231748,-0.01636598653574436,0.0005188829131268871,-0.17176679657068886,0.18642384334594017,-0.03467225566151234,0.0011733454366847345,0.1798597271135563,0.20072821650956865,-0.055531034702036776,0.0020248340962675613,-0.18950132571313402,0.21885474324407855,-0.07994477313521704,0.0031830366502911688,-0.20139747952543768,0.24320321024268948,-0.10974700366342269,0.004870004091927379,0.21686616054060578,0.27958010092879537,-0.14908142256123677,0.0076505481158588035,-0.2390223190532316,0.3516213241830854,-0.2133817334605233,0.013996311878488897,0.2801084478766916
