,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U Bar of 0.171,A of 0.171,B of 0.171,U Bar of 0.242,A of 0.242,B of 0.242,U Bar of 0.313,A of 0.313,B of 0.313,U Bar of 0.384,A of 0.384,B of 0.384,U Bar of 0.456,A of 0.456,B of 0.456,U Bar of 0.527,A of 0.527,B of 0.527,U Bar of 0.598,A of 0.598,B of 0.598,U Bar of 0.669,A of 0.669,B of 0.669,U Bar of 0.74,A of 0.74,B of 0.74
0,0.0,0.0,-0.01663448810999093,0.0,0.0,-0.02964385864884112,0.0,0.0,-0.043888122159325166,0.0,0.0,-0.05966967393039463,0.0,0.0,-0.07742949154297961,0.0,0.0,-0.09816574274525747,0.0,0.0,-0.12249081629593402,0.0,0.0,-0.15300736346317528,0.0,0.0,-0.19584522948870728,0.0,0.0,-0.30745783434965324,0.0
1,0.0998003992015968,0.024923021281632624,-0.01663436299805615,1.5397624365991927e-05,0.026118098655295043,-0.029643439944042622,2.8728242491575702e-05,0.027489391221168984,-0.0438871502610969,4.4724738284183246e-05,0.02909002291059721,-0.05966775970824834,6.429218297877813e-05,0.030999743244045464,-0.0774260297446732,8.88353108166935e-05,0.03338475440628352,-0.09815969475495304,0.00012121242195690737,0.03641153879508716,-0.12248043212887991,0.00016489698111216212,0.04059054117137239,-0.1529890446607847,0.00022964281434947003,0.047260432243623446,-0.19580956725240406,0.0003426871836646636,0.07014053513668102,-0.30731981296769206,0.0008068151040703935
2,0.1996007984031936,0.0497651365169883,-0.016618590538276527,4.609412307538958e-05,0.05214698166066777,-0.029613457356567407,8.599259061088694e-05,0.05487947798073539,-0.04383951419173075,0.0001338609633616053,0.05806820453076442,-0.05959773405342143,0.00019240246313293412,0.061871597305587354,-0.07732682698875434,0.0002658114767880965,0.06661987959943431,-0.09802037267595257,0.0003626221452364627,0.07264308171284037,-0.12228444818888479,0.0004931922716877882,0.08095391134389145,-0.15270457780084742,0.000686611980409484,0.09420530509421869,-0.1953602057359865,0.0010240465313414919,0.13952978291556775,-0.3061009589207754,0.0024061848310316727
3,0.29940119760479045,0.07444599971311863,-0.01659237122732262,9.699256507655636e-05,0.07799807153568142,-0.02956362252180795,0.0001809223295138459,0.08207169257738661,-0.04376034932967597,0.0002815879385132567,0.0868235683553772,-0.059481382054964775,0.000404657409231733,0.0924887101922903,-0.07716203223909267,0.0005589214466826821,0.0995570316434357,-0.0977889980432111,0.0007622646983860455,0.10851629112834875,-0.12195909511246275,0.0010363509143075,0.12086523445065873,-0.1522325846499043,0.0014420377600343481,0.14052271966467642,-0.19461527791926794,0.002148904249156573,0.20742963748227214,-0.3040872912577741,0.005033595107238088
4,0.3992015968063872,0.09888637837654671,-0.01655580689130122,0.0001677022075165494,0.10358405960222691,-0.02949413930831001,0.00031275580248798336,0.1089689320983251,-0.04364999862337769,0.00048666141733059325,0.11524685712968155,-0.05931924105034674,0.0006991698145436466,0.12272629177365674,-0.0769324638703893,0.0009653940600192919,0.1320504213662356,-0.09746682262943962,0.0013160780480278437,0.14385612500064818,-0.12150632147691652,0.0017883568532802135,0.16010419410989277,-0.15157628232133227,0.0024865857216384585,0.18590804632181712,-0.19358089208178508,0.003701001204056132,0.27312810986604075,-0.3013059935808377,0.008630754943539865
5,0.499001996007984,0.12300869392119679,-0.016509038915879386,0.00025768326318238954,0.1288195219051362,-0.029405290804120365,0.00048044148028324163,0.13547626973461552,-0.043508938294117505,0.0007473648068044522,0.14323136817840812,-0.05911205716674803,0.001073338090948456,0.1524626163392501,-0.07663925812447935,0.0014814126461724637,0.1639580579561293,-0.09705558401593536,0.002018473797719524,0.17849244358309013,-0.12092883097449993,0.0027409446227423598,0.19845726171679057,-0.15074013121583682,0.0038074544229549845,0.23006748949289255,-0.19226550362929434,0.005658101330130723,0.33595221907034095,-0.29779439716203593,0.013118699288570693
6,0.5988023952095809,0.14673754274329837,-0.01645224697261384,0.00036625369590972566,0.15362151315502034,-0.029297436601416708,0.0006826514006596173,0.16150164081293075,-0.04333777296239778,0.001061531486638127,0.17067375920352942,-0.058860777149002105,0.0015238807736702368,0.181579989970623,-0.07628385573008853,0.002102166852835018,0.19514294933036888,-0.09655748341273011,0.002862415343015752,0.21226156094066542,-0.12023004462288006,0.003883719361121826,0.2357198489820302,-0.14972976540826582,0.0053885712931748455,0.27272153221364526,-0.19067976134994027,0.007992362337196274,0.3952803560528394,-0.2935989507704698,0.018399586840179352
7,0.6986027944111777,0.17000019205552497,-0.01638564748063417,0.000492597861688651,0.17791013197517624,-0.029171009607772958,0.000917798455491079,0.18695649583298965,-0.0431372300716911,0.0014265738707661606,0.19747481559679403,-0.0585665392292818,0.0020468820401787465,0.20996567216971565,-0.075867987269351,0.002821921990852615,0.22547424652753834,-0.09597516185122669,0.003839524091724748,0.2450077254214784,-0.11941406080134657,0.005204322750697845,0.2716983640756223,-0.14855191975870483,0.00721086883478585,0.3136082291942015,-0.18883634674002336,0.010670870806991046,0.4505539852206337,-0.2887741143126771,0.024359382443224314
8,0.7984031936127745,0.19272704498692142,-0.01630949177394007,0.0006357767375244753,0.20160905113284372,-0.029026512249865365,0.0011840568687885632,0.21175641312808766,-0.042908153254087415,0.0018395178616151485,0.22354017046855296,-0.05823066227092896,0.0026378457287746615,0.23751274097144007,-0.07539365578813717,0.003634101426512625,0.25482831837000974,-0.09531167190837597,0.004940205864053972,0.2765845105224499,-0.11848560781320015,0.006688630878827123,0.3062121437042785,-0.14721434345773746,0.009252614888469353,0.352486297446376,-0.18674978372563608,0.013656284871430446,0.50128835976166,-0.28338106482344,0.030871112152452827
9,0.8982035928143712,0.21485206997464387,-0.01622406399855328,0.0007947395393677146,0.22464600698963716,-0.028864512117865823,0.0014793854557042692,0.23582166434931287,-0.042651494719089265,0.0022970419869511177,0.248780969189622,-0.05785463331517641,0.0032917567117239817,0.26412089133586375,-0.07486311685148687,0.004531380227333647,0.28308974308656587,-0.0945704452859958,0.006153794649865285,0.30685609767394667,-0.11744998952301429,0.008320979500528417,0.33909523249239354,-0.14572570105695665,0.011489789260872805,0.3891379488220757,-0.18443622142372734,0.016907569162521764,0.5470818669520889,-0.2774862471712532,0.037798599228798455
