,Epsilons,A_0,E/M,Rounds
0.1,-0.16988231818353797,-0.016660102866633848,0.9915058840908231,20
0.2,-0.17784579852052027,-0.035363834847270036,0.9822154201479479,20
0.3,-0.1874029230216454,-0.0567815923606278,0.9718895615467532,22
0.4,-0.19930091592697816,-0.08202218788149106,0.9601398168146044,24
0.5,-0.2149967757358957,-0.11316843205631825,0.9462508060660261,27
0.6,-0.2380431619821729,-0.15509323048237564,0.9285870514053481,34
0.7,-0.2839430584690599,-0.22785672445126295,0.900619929535829,60
