,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U Bar of 0.5,A of 0.5,B of 0.5,U Bar of 0.7,A of 0.7,B of 0.7,U Bar of 0.74,A of 0.74,B of 0.74,U Bar of 0.742,A of 0.742,B of 0.742
416,16.606786427145707,0.0039506148149380735,-0.003019450931347065,0.0030201588294561676,0.003048300200733654,-0.006059817344619993,0.006060666978330039,0.0009724911317320348,-0.015349468008294636,0.015350182003458434,0.000162437606369002,-0.021887091265939185,0.021888062027700158,4.523078843283481e-05,-0.023450071710877478,0.02345104403812397,3.474350314502586e-05,-0.023580865620519115,0.023581855730678804
417,16.646706586826348,0.0038700127870480916,-0.003012186471801865,0.003012896215993596,0.0029843855810784293,-0.006045195127762086,0.006046046970390764,0.0009497432721767631,-0.015312087528634026,0.015312802093299174,0.0001580399530568344,-0.02183343895024441,0.021834409734400605,4.3888504936843914e-05,-0.023392497822969205,0.023393470152051815,3.369377391937592e-05,-0.023522962966982128,0.023523953078227904
418,16.686626746506985,0.003790770574657476,-0.003004956871007457,0.0030056683824985597,0.002921602698372574,-0.006030643293302227,0.006031497248315772,0.0009274748731955084,-0.015274888676178702,0.015275603782864812,0.00015375530981546765,-0.021780049059401257,0.02178101986471209,4.2584778643584e-05,-0.023335205989412595,0.023336178320220245,3.2674835499224804e-05,-0.023465344016211084,0.0234663341284761
419,16.726546906187625,0.003712862048914486,-0.00299776187880741,0.002998475081935195,0.0028599290433606733,-0.0060161613344677034,0.006017017309286282,0.0009056750670228313,-0.015237870130324307,0.01523858575283023,0.00014958066395586272,-0.021726919672443317,0.021727890497735904,4.1318476400319604e-05,-0.023278194142223752,0.023279166474652033,3.168576581676773e-05,-0.023408006687855434,0.02340899680107693
420,16.766467065868262,0.003636261471277829,-0.002990601247427763,0.002991316069528989,0.002799342466801388,-0.006001748749332663,0.006002606655171154,0.0008843332033473506,-0.015201030583237253,0.015201746696582013,0.0001455130784728022,-0.021674048887110168,0.021675019731275655,4.008849716133052e-05,-0.023221460233589338,0.023222432567540106,3.072566951560067e-05,-0.023350948921858586,0.023351939035977636
421,16.806387225548903,0.0035609434868078276,-0.002983474731448925,0.0029841911027433396,0.002739821172938938,-0.005987405040760554,0.005988264792475702,0.0008634388446209933,-0.015164368739700788,0.015165085320067244,0.00014154969007372896,-0.02162143481962021,0.021622405681610272,3.8893771060534013e-05,-0.023165002235621204,0.023165974571002203,2.9793677159697233e-05,-0.023294168678211,0.023295158793172278
422,16.84630738522954,0.0034868831175197752,-0.002976382087777958,0.0029770999412563354,0.002681343713061892,-0.005973129716347376,0.0059739912322910645,0.0008429817614509503,-0.015127883316963296,0.015128600341644385,0.00013768770725381747,-0.02156907560444679,0.021570046483270346,3.77332585011477e-05,-0.023108818140114593,0.02310979047683911,2.8888944464029596e-05,-0.02323766393670687,0.023238654052458438
423,16.88622754491018,0.0034140557557923606,-0.0029693230756212496,0.0029700423469377424,0.002623888979129786,-0.005958922288365729,0.005959785490244124,0.0008229519280772337,-0.015091573044588764,0.015092290491936226,0.00013392440841577676,-0.02151696939409759,0.021517940288817677,3.660594927676483e-05,-0.02305290595830987,0.023053878296296397,2.8010651557582533e-05,-0.023181432696704377,0.023182422813197465
424,16.926147704590818,0.0033424371578491575,-0.002962297456457559,0.0029630180838262103,0.002567436197501847,-0.0059447822737096435,0.00594564708644799,0.0008033395179390978,-0.0150554366643094,0.015056154513684854,0.00013025714003828492,-0.02146511435889718,0.02146608526862802,3.551086171562078e-05,-0.022997263720657687,0.0229982360598296,2.7158002255269627e-05,-0.023125472976889373,0.023126463094078197
425,16.96606786427146,0.0032720034373110293,-0.0029553049940114397,0.0029560269181066927,0.0025119649226889684,-0.005930709193840182,0.005931575545453019,0.0007841348993036027,-0.015019472929880357,0.015020191161608644,0.00012668331488716237,-0.021413508686772744,0.021414479610676947,3.444704185117594e-05,-0.02294188947658754,0.022942861816872828,2.6330223349300643e-05,-0.023069782815042506,0.02307077293288408
426,17.005988023952096,0.0032027310588002966,-0.0029483454542270264,0.002949068618088081,0.002457455031225173,-0.0059167025747318,0.005917570396198388,0.0007653286309842175,-0.014983680606936533,0.014984399202261196,0.00012320041026678472,-0.021362150583042864,0.0213631215203288,3.341356260932349e-05,-0.0228867812942797,0.02288775363561067,2.5526563921629685e-05,-0.02301436026780971,0.023015350386263674
427,17.045908183632733,0.0031345968316195266,-0.002941418605242182,0.0029421429541810562,0.002403886715605342,-0.005902761946819455,0.0059036311719642045,0.0007469114581393009,-0.014948058472851406,0.014948777413892231,0.00011980596631414542,-0.021311038270209352,0.021312009220128655,3.240952302214307e-05,-0.02283193726044038,0.022832909602753405,2.4746294688126603e-05,-0.022959203410475984,0.02296019352950445
428,17.085828343313374,0.00306757790348576,-0.0029345242173629995,0.002935249698876152,0.002351240478261929,-0.005888886844946446,0.005889757410324156,0.0007288743081243832,-0.014912605316597874,0.014913324586310388,0.00011649758433879764,-0.021260169987752067,0.021261140949597277,3.1434047473598204e-05,-0.022777355480080162,0.022778327823315438,2.3988707352193893e-05,-0.022904310336742423,0.02290530045630982
429,17.12574850299401,0.0030016517543287294,-0.0029276620630386586,0.002928388626722035,0.002299497125648252,-0.005875076808312982,0.005875948653098693,0.0007112082864418583,-0.014877319938611078,0.01487803952074791,0.00011327292520147985,-0.021209543991926646,0.02121051496502899,3.0486284945561147e-05,-0.022723034076295584,0.022724006420396896,2.3253113972247837e-05,-0.022849679158506445,0.02285066927857938
430,17.16566866267465,0.0029367961901584387,-0.0029208319168366184,0.0029215595143040002,0.0022486377623841527,-0.005861331380425461,0.005862204446308739,0.0006939046727488412,-0.01484220115065315,0.014842921029727181,0.00011012970772830138,-0.02115915855556515,0.02116012953929243,2.9565408292117793e-05,-0.022668971190053847,0.02266994353496836,2.253884635286683e-05,-0.022795308005645165,0.02279629812619228
431,17.20558882235529,0.002872989336979382,-0.002914033555418155,0.002914762140222677,0.0021986437854538267,-0.005847650109046443,0.005848524340129932,0.0006769549169454854,-0.01480724777567988,0.014807967936929092,0.00010706570716360395,-0.02110901196787952,0.02110998296163412,2.86706135399684e-05,-0.022615164979980593,0.022616137325658644,2.1845255454274214e-05,-0.022741195025801835,0.022742185146793693
