,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,Rtilde of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,Rtilde of 0.2,U Bar of 0.3,A of 0.3,B of 0.3,Rtilde of 0.3,U Bar of 0.4,A of 0.4,B of 0.4,Rtilde of 0.4,U Bar of 0.5,A of 0.5,B of 0.5,Rtilde of 0.5,U Bar of 0.6,A of 0.6,B of 0.6,Rtilde of 0.6,U Bar of 0.7,A of 0.7,B of 0.7,Rtilde of 0.7
189,15.104895104895105,0.00834041442807448,-0.003320589318930353,0.0033212577017302236,-0.0005503354155878711,0.006577958122413062,-0.006666460879123234,0.006667096418205969,0.00043259136261876685,0.0049762652026582735,-0.01004032126672723,0.010041091094516051,-0.00032615568869928484,0.0035479551827205702,-0.013448719627655424,0.013449248997194302,-0.00023174983813372562,0.002307923129864785,-0.016902087203056634,0.016902819528889553,0.00015023212187835445,0.0012702918987796583,-0.02042668328955477,0.020427630898879508,-8.239752981755272e-05,0.00044220441131869847,-0.024120201197614943,0.02412116599061659,2.8577856924870345e-05
190,15.184815184815184,0.008035745438438083,-0.0033030510568502923,0.0033037372027007322,-0.0005274506324620163,0.006328452015882243,-0.006631137013263193,0.006631794704436421,0.0004140070821853394,0.0047795649050482005,-0.009986941893138472,0.00998773078401223,-0.000311631381828059,0.0034010647458293246,-0.013376978523427887,0.013377520845029994,-0.00022100167795962254,0.0022070654607945373,-0.016811612312841673,0.01681235150576703,0.00014292367362202753,0.0012108790418139722,-0.020316955006307782,0.020317905117670017,-7.813889823856078e-05,0.0004192325596487103,-0.023990152535173215,0.023991117682496645,2.695418931146999e-05
191,15.264735264735265,0.0077418110818207285,-0.003285696959594485,0.0032863995067856974,-0.0005055056141718639,0.0060881153293612855,-0.006596185380902093,0.0065968634661946295,0.00039621285168495423,0.004590430931063434,-0.009934126986116619,0.009934933368719586,-0.0002977484067625445,0.0032601181399171237,-0.013305998707821499,0.013306552867314607,-0.00021074877893787036,0.002110534225148739,-0.016722100886304467,0.016722846325399877,0.0001359691748794443,0.001154206009754942,-0.020208399398246236,0.020209351770770732,-7.409983324502824e-05,0.00039744333653777305,-0.023861498923915796,0.02386246438797196,2.5422754107647507e-05
192,15.344655344655344,0.0074582523114588625,-0.0032685241468155186,0.003269241836910239,-0.0004844624025917521,0.005856625772913055,-0.006561600135789968,0.006562296995459525,0.0003791755422474076,0.0044085829549638965,-0.009881867644829791,0.009882690076331416,-0.0002844787540873244,0.003124882159846592,-0.013235768130404743,0.013236333108858918,-0.0002009685089520521,0.002018148314617969,-0.016633537615892233,0.016634288736107252,0.00012935158131816037,0.0011001487202052657,-0.020100997764861073,0.02010195218078377,-7.026904954826018e-05,0.00037677653353493157,-0.02373421803214982,0.023735183779330465,2.397831377351364e-05
193,15.424575424575425,0.00718472113821599,-0.0032515297975530804,0.003252261467652547,-0.0004642845382857651,0.005633671637461179,-0.006527375552983676,0.006528089694764153,0.0003628633885995033,0.004233750476234152,-0.009830155154168655,0.009830992309844803,-0.00027179561985114374,0.0029951323558426884,-0.013166274993433515,0.013166849859077994,-0.0001916392588355309,0.0019297339511179965,-0.01654590751646738,0.016546663803623567,0.00012305466328422907,0.0010485885769454376,-0.019994731801141443,0.019995688063600393,-6.663583956055317e-05,0.00035717496447004076,-0.02360828800237069,0.023609254002627592,2.2615928029938964e-05
194,15.504495504495505,0.006920880338962435,-0.0032347111487360187,0.0032354557243164804,-0.000444937003258474,0.0054189514866080585,-0.006493506025750961,0.006494236074925621,0.00034724593440271643,0.004065672505333201,-0.009778980979960099,0.009779831643610088,-0.0002596733547363368,0.0028706527265610522,-0.013097507745286945,0.013098091646107323,-0.0001827403968221174,0.0018451244044661917,-0.016459195916877657,0.016459956903113287,0.00011706296725012438,0.0009994122353752218,-0.019889583587179176,0.01989054151821574,-6.319004398286047e-05,0.0003385843165160528,-0.0234836874387413,0.023484653665209868,2.133093700161912e-05
195,15.584415584415584,0.0066664031699598236,-0.003218065493727875,0.0032188219820063167,-0.00042638616578169177,0.005212173855258068,-0.00645998606256647,0.006460730752804543,0.00033229397969570845,0.003904097257802486,-0.009728336764325784,0.009729199819459015,-0.000248087415307899,0.0027512354216901935,-0.013029455074104879,0.013030047231063924,-0.00017425222498329194,0.0017641597200901621,-0.016373388451788207,0.01637415371140837,0.0001113617790619984,0.0009525113774472516,-0.0197855355780989,0.019786495016849263,-5.992202387588756e-05,0.0003209530084089314,-0.02336039539496585,0.023361361823628447,2.011894531477497e-05
196,15.664335664335665,0.0064209730853316506,-0.0032015901809145323,0.0032023576647052187,-0.00040859972722850717,0.005013056955033471,-0.006426810284196749,0.006427568449095611,0.0003179795303662085,0.003748781856602268,-0.009678214321180684,0.00967908874291178,-0.00023701431726045162,0.0026366804538375936,-0.012962105901619978,0.012962705602450024,-0.00016615593756623268,0.0016866864564450254,-0.0162884710537662,0.016289240199462453,0.0001059370889027823,0.0009077824958175159,-0.019682570594302038,0.019683531395361043,-5.682263414550907e-05,0.0003042320554931337,-0.023238391362543853,0.02323935797192865,1.8975807095520523e-05
197,15.744255744255744,0.006184283460705573,-0.0031852826123326596,0.0031860602443588223,-0.0003915466708489141,0.00482132838646893,-0.0063939734208712734,0.006394743986150677,0.00030427574957971954,0.0035994920425854193,-0.009628605631866821,0.009629490479463022,-0.0002264315905870827,0.002526795419476426,-0.01289544937717766,0.012896055970696846,-0.00015843358115200874,0.0016125574318795026,-0.016204429945609024,0.016205202625015947,0.00010077555789495678,0.0008651266868227503,-0.01958067181201335,0.019581633843954286,-5.3883198368998994e-05,0.00028837494127682703,-0.023117655259390482,0.023118622030302106,1.7897611818075936e-05
198,15.824175824175825,0.005956037322067293,-0.0031691402423376803,0.0031699272399652112,-0.00037519721242111403,0.004636724857902313,-0.006361470309536723,0.006362252285835529,0.0002911569110911357,0.003456001892939977,-0.009579502840917672,0.009580397250946601,-0.00021631773659222257,0.002421395228769937,-0.01282947487193736,0.012830087762845917,-0.00015106801655902612,0.0015416314806188907,-0.01612125163290748,0.016122027525466275,9.586448626535932e-05,0.000824449451957423,-0.019479822754119185,0.019480785898154728,-5.109548489535836e-05,0.00027333749519337753,-0.02299816741881004,0.022999134334088643,1.6880670954769843e-05
