,ZETA,U Bar of 0.01,A of 0.01,B of 0.01,U Bar of 0.02,A of 0.02,B of 0.02,U Bar of 0.03,A of 0.03,B of 0.03,U Bar of 0.04,A of 0.04,B of 0.04,U Bar of 0.05,A of 0.05,B of 0.05,U Bar of 0.06,A of 0.06,B of 0.06,U Bar of 0.07,A of 0.07,B of 0.07,U Bar of 0.08,A of 0.08,B of 0.08,U Bar of 0.09,A of 0.09,B of 0.09,U Bar of 0.1,A of 0.1,B of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U Bar of 0.3,A of 0.3,B of 0.3,U Bar of 0.4,A of 0.4,B of 0.4,U Bar of 0.5,A of 0.5,B of 0.5,U Bar of 0.6,A of 0.6,B of 0.6,U Bar of 0.7,A of 0.7,B of 0.7,U Bar of 0.71,A of 0.71,B of 0.71,U Bar of 0.72,A of 0.72,B of 0.72,U Bar of 0.73,A of 0.73,B of 0.73,U Bar of 0.74,A of 0.74,B of 0.74,U Bar of 0.7403,A of 0.7403,B of 0.7403,U Bar of 0.7406,A of 0.7406,B of 0.7406,U Bar of 0.7409,A of 0.7409,B of 0.7409,U Bar of 0.7412,A of 0.7412,B of 0.7412,U Bar of 0.7415,A of 0.7415,B of 0.7415,U Bar of 0.7418,A of 0.7418,B of 0.7418,U Bar of 0.7421,A of 0.7421,B of 0.7421,U Bar of 0.7424,A of 0.7424,B of 0.7424,U Bar of 0.7427,A of 0.7427,B of 0.7427
0,0.0,0.0,-0.0015855145160723566,0.0,0.0,-0.0031871596669404176,0.0,0.0,-0.00480521800549916,0.0,0.0,-0.006440298855015037,0.0,0.0,-0.008092512398653594,0.0,0.0,-0.009762573690139121,0.0,0.0,-0.011450503002778521,0.0,0.0,-0.013157258171900327,0.0,0.0,-0.014883035802392842,0.0,0.0,-0.016628356481518065,0.0,0.0,-0.035277193149379105,0.0,0.0,-0.056602596609500434,0.0,0.0,-0.08168861956214546,0.0,0.0,-0.11251691918983826,0.0,0.0,-0.15365087070295821,0.0,0.0,-0.2222163135647464,0.0,0.0,-0.23344200694436854,0.0,0.0,-0.2469284610239338,0.0,0.0,-0.2644117973834927,0.0,0.0,-0.29368729950953704,0.0,0.0,-0.29518202094023666,0.0,0.0,-0.29672804499420896,0.0,0.0,-0.2984362315632058,0.0,0.0,-0.3002401651701693,0.0,0.0,-0.3022991877181912,0.0,0.0,-0.30461208201839934,0.0,0.0,-0.3072808457495612,0.0,0.0,-0.3108179550853055,0.0,0.0,-0.31675494970459567,0.0
1,0.013324450366422385,0.003151279751618543,-0.0015855144970166601,2.4806133817948585e-08,0.0031694882300642236,-0.0031871595894435683,5.0145941837664176e-08,0.003187988349222271,-0.00480521782818662,7.603643278438724e-08,0.003206788397164218,-0.006440298534413843,1.0249534946909238e-07,0.0032258973674892375,-0.008092511889075438,1.295413067964425e-07,0.0032453231731686405,-0.009762572943557032,1.5719358973310706e-07,0.0032650761450894092,-0.011450501968692415,1.854726389139623e-07,0.003285165986604212,-0.013157256797196645,2.1439962499486722e-07,0.003305602395749441,-0.014883034031192802,2.439967895432863e-07,0.0033263971093592188,-0.016628354255012974,2.74287621568492e-07,0.003556691025757714,-0.03527718234934455,6.213782796853402e-07,0.003839096168473138,-0.05660256632055268,1.0748566531885975e-06,0.004199228393896224,-0.08168854980899588,1.6947831017837315e-06,0.004687177946281469,-0.11251676943225965,2.6037112122185673e-06,0.0054250729476546895,-0.15365054138022805,4.115239429497329e-06,0.006915195969646298,-0.22221540654568286,7.607975644112281e-06,0.007194957746432603,-0.23344095964042358,8.322909007023198e-06,0.007545135880359296,-0.24692722416595214,9.241897691350535e-06,0.008024643932948375,-0.26441027578595366,1.0543079986652164e-05,0.008896051015870269,-0.29368518697823537,1.3027304912755288e-05,0.008942389052794271,-0.29517987442731586,1.3163280110390497e-05,0.00899165627692548,-0.29672586191970923,1.3308865936201467e-05,0.009045305864220683,-0.29843400847469886,1.3467378185744956e-05,0.009102833304854287,-0.30023789868357914,1.363833372563375e-05,0.009169011037276891,-0.30229687086179535,1.3835578037360731e-05,0.009243802439815747,-0.3046097075799596,1.4059519425958902e-05,0.009330870514579436,-0.30727840337309387,1.432168688071646e-05,0.009447610309798089,-0.31081542024032344,1.467516456983306e-05,0.00964670835896261,-0.31675225327899004,1.528397933149176e-05
2,0.02664890073284477,0.006302387537361526,-0.00158548963371703,7.441569709807253e-08,0.006338802424881226,-0.003187109211016397,1.504323306738487e-07,0.006375800546748809,-0.004805141259828258,2.281009234970942e-07,0.006413398477498417,-0.0064401950772827185,3.074747003280925e-07,0.00645161420252031,-0.008092380819069257,3.88609502058537e-07,0.006490463546135639,-0.009762413510272783,4.715631795977854e-07,0.006529967168038048,-0.01145031339386737,5.563970505909632e-07,0.0065701444730322835,-0.013157038273557253,6.431746225414502e-07,0.006611014855125689,-0.014882784720928573,7.319626154624887e-07,0.0066526017856444455,-0.016628073288034975,8.228314913548962e-07,0.00711316076195214,-0.03527652857179489,1.8640593729527224e-06,0.0076779325978146165,-0.05660140059961663,3.2244300646419483e-06,0.00839814301480616,-0.08168664577301357,5.084109802043898e-06,0.009373959718657413,-0.11251371646443786,7.810725912849228e-06,0.010849604315767916,-0.1536454382151292,1.2344977269445675e-05,0.013829476135310884,-0.22220507767235048,2.282218417753571e-05,0.014388916847445176,-0.2334294950134594,2.4966741759929274e-05,0.015089163635955744,-0.24691427193788903,2.772337808148406e-05,0.016048019164132482,-0.2643951682381737,3.162642402862595e-05,0.017790509171579393,-0.2936658225962032,3.9078033573287346e-05,0.017883166837049203,-0.29516027213717266,3.948589678539559e-05,0.017981681539996137,-0.2967060043719584,3.9922587030049545e-05,0.018088959095161432,-0.2984138723869819,4.039805001340267e-05,0.018203990592601534,-0.30021746146173084,4.0910836475046035e-05,0.018336318921025985,-0.3022760853045891,4.150247605836225e-05,0.01848587075951134,-0.30458852535648123,4.217419319359473e-05,0.018659970453390934,-0.307256755193483,4.2960568858154316e-05,0.018893400475291866,-0.31079314121265117,4.402082859333743e-05,0.01929151021498705,-0.31672888075773664,4.584696784015497e-05
3,0.039973351099267154,0.009453151411821238,-0.0015854481966931066,1.5709109088108073e-07,0.009507768569983794,-0.003187025250658397,3.1756165773576116e-07,0.009563260462004546,-0.004805013651536221,4.815194040638867e-07,0.009619651945637879,-0.006440022656396921,6.4907668156851e-07,0.009676969994450483,-0.008092162378832242,8.203513640982893e-07,0.009735238340883232,-0.00976214780009626,9.954655683666988e-07,0.009794487969273243,-0.01144999911673416,1.1745487289146131e-06,0.009854747982046152,-0.013156674084102949,1.3577349026656748e-06,0.0099160474650863,-0.014882369222898258,1.5451649276693724e-06,0.009978421619533105,-0.016627605031381065,1.7369875408077376e-06,0.01066918794764462,-0.035275438996646105,3.934992908565196e-06,0.011516249584380666,-0.05659945783619949,6.806678242420042e-06,0.012596430135564584,-0.0816834725687149,1.0732346221607138e-05,0.01405994920625358,-0.11250862852771992,1.6487990204137212e-05,0.016273052622113586,-0.15363693361862743,2.6059215968746293e-05,0.020741924898771576,-0.22218786471943877,4.817450434095929e-05,0.021580878890972988,-0.2334103894411646,5.27011140204274e-05,0.022630975413722082,-0.24689268745394108,5.851960572648398e-05,0.024068857323454828,-0.2643699922194457,6.67577376965341e-05,0.026681782072586046,-0.2936335533374721,8.248544321285726e-05,0.026820722557952086,-0.2951276064543553,8.334628455079879e-05,0.026968445257837717,-0.29667291335648033,8.426796715016235e-05,0.027129307551670385,-0.2983803172446326,8.527148202877358e-05,0.027301796348788026,-0.30018340454519976,8.635377009060914e-05,0.02750022101269464,-0.30224144796474517,8.760248287436567e-05,0.0277244713681223,-0.3045532270623386,8.902020370746398e-05,0.027985529786720184,-0.3072206804915414,9.067991736092863e-05,0.02833555092150384,-0.3107560153528768,9.291767881294572e-05,0.028932499675919175,-0.316689932862595,9.677186797787702e-05
4,0.05329780146568954,0.012603399470494245,-0.0015853901886584184,2.728214973964906e-07,0.01267621269247829,-0.003186907713902633,5.515119372124876e-07,0.012750192006650368,-0.004804835011773936,8.362583561730972e-07,0.012825370549151551,-0.0064397812832660516,1.127255862909745e-06,0.012901784276283511,-0.00809185658304146,1.424709155534903e-06,0.012979464823763477,-0.009761775830998954,1.728830299964653e-06,0.013058453494327694,-0.01144955915869167,2.039844069942181e-06,0.013138789082300427,-0.013156164253799427,2.35798326612133e-06,0.013220510359280273,-0.014881787565780525,2.683492464773223e-06,0.013303664249194696,-0.01662694951759623,3.0166299588926513e-06,0.014224551379115227,-0.03527391370548183,6.833875320545882e-06,0.015353787495465013,-0.05659673818884913,1.1821036466793207e-05,0.016793776120600665,-0.08167903048302357,1.863852156358634e-05,0.01874475042415186,-0.1125015061449272,2.863384316507677e-05,0.02169487657875052,-0.15362502863049177,4.5254917226912137e-05,0.027651627071900126,-0.22216377052071262,8.365771717314685e-05,0.02876984592992451,-0.23338364622908084,9.151778927111728e-05,0.03016946390178037,-0.2468624746790076,0.00010162095824202936,0.03208589070114276,-0.2643347527308516,0.00011592528895260646,0.03556827825065057,-0.2935883865198157,0.0001432333030921236,0.0357534463630651,-0.2950818848364055,0.0001447279487995205,0.03595031785883024,-0.2966265964819359,0.00014632822724761196,0.036164700071502395,-0.29833335082263907,0.00014807058305623067,0.03639457605874476,-0.30013573589037845,0.00014994970415098939,0.03665901569794629,-0.302192967010691,0.0001521177729134625,0.03695787172706755,-0.3045038211101378,0.00015457927224029065,0.037305779570738676,-0.30717018797038453,0.00015746091708850513,0.03777224320556856,-0.3107040517639294,0.0001613461656585472,0.03856777206392871,-0.31663541940673307,0.00016803783736901316
5,0.06662225183211193,0.015752959870237646,-0.0015853156134115998,4.2159177571766374e-07,0.01584396088180119,-0.0031867566084950194,8.522523978665379e-07,0.01593641915569048,-0.004804605352390087,1.2922708691762044e-06,0.01603037609997479,-0.006439470974004193,1.7419486643883874e-06,0.016125876646457118,-0.008091463452246608,2.2016020752197155e-06,0.01622296032766544,-0.009761297628144374,2.671558777267553e-06,0.01632167875639983,-0.011448993549703959,3.1521660813278663e-06,0.016422080411267508,-0.013155508817606895,3.6437837004608595e-06,0.016524213741366,-0.014881039789736896,4.146789542352517e-06,0.016628137384041345,-0.01662610679225863,4.661582708596542e-06,0.017779029938473166,-0.035271952812614235,1.056028201551989e-05,0.019190286804778904,-0.05659324187983277,1.826671522009086e-05,0.020989867471744205,-0.08167331991839467,2.880127929762696e-05,0.023427967576407818,-0.1124923500498193,4.424596544455684e-05,0.02711453518938116,-0.15360972471090015,6.992784202955097e-05,0.03455766808273696,-0.222132799058484,0.00012926176580808525,0.03595482071593806,-0.23334927002287703,0.00014140529587519925,0.03770352260166955,-0.24682363918588937,0.0001570140377128853,0.040097852580204964,-0.2642894568022008,0.00017911274866830632,0.0444484076308936,-0.29353033243057186,0.00022129903692815573,0.04467972981754656,-0.295023117767186,0.0002236079469495405,0.044925671215131587,-0.2965670644446731,0.00022608002989490066,0.04519348696505409,-0.2982729840512174,0.00022877158240742655,0.045480656711894586,-0.3000744666825496,0.00023167439708338404,0.0458110029033697,-0.3021306539258429,0.0002350235561422926,0.046184340881110036,-0.3044403193266227,0.00023882597982046952,0.0466189524954754,-0.3071052898652252,0.00024327740439768816,0.04720166058809379,-0.31063726324317165,0.0002492791065149464,0.04819542452858764,-0.31656535418611653,0.0002596158995186764
6,0.07994670219853431,0.018901660849704217,-0.0015852244758355774,6.033824647648991e-07,0.019010839310493223,-0.0031865719443925455,1.2197434887388047e-06,0.019121765968576506,-0.0048043246886155305,1.8494966479757193e-06,0.0192344904958745,-0.006439091749325117,2.4930733658396775e-06,0.01934906679065025,-0.00809098301286313,3.150926268745063e-06,0.01946554227416404,-0.009760713223878642,3.82352427297012e-06,0.01958397885888048,-0.011448302328287748,4.511364392757143e-06,0.019704434698151557,-0.013154707820464195,5.214961389497131e-06,0.01982696790831857,-0.014880125946392018,5.934856060680514e-06,0.01995164882844281,-0.016625076913955414,6.6716195320305685e-06,0.021332402622225886,-0.03526955646497777,1.5113667291211818e-05,0.023025488127867193,-0.05658896919483708,2.6142699833595556e-05,0.02518439087397317,-0.08166634139209214,4.1218876141673654e-05,0.028109205118978742,-0.11248116118542142,6.332137664691784e-05,0.032531487846421514,-0.15359102373631478,0.00010007254372468045,0.04145913418059291,-0.22209495544961502,0.00018497373059120565,0.04313480693196636,-0.2333072667915982,0.00020234889713056833,0.04523204609909891,-0.2467761881346258,0.00022468163354670914,0.04810347756686472,-0.2642341134651085,0.000256299141949503,0.05332058199546437,-0.2934594042853939,0.00031665364787247736,0.05359796637588244,-0.29495131871475677,0.0003199568118158266,0.05389287912311138,-0.2964943309856556,0.0003234934009192636,0.0542140205053737,-0.2981992309716954,0.00032734394959967663,0.05455836730224188,-0.29999961129062896,0.00033149671379047115,0.05495448460919498,-0.3020545234620134,0.0003362879932470042,0.055402149985197734,-0.30436273690454196,0.0003417276795925976,0.05592328342842564,-0.30702600189340323,0.0003480957763025339,0.05662198859995322,-0.3105556662298958,0.00035668159009127567,0.05781355665484372,-0.3164797549224873,0.0003714688399382255
7,0.0932711525649567,0.022049330749744394,-0.0015851167818968855,8.181697876954035e-07,0.022176674254930098,-0.0031863537337617673,1.6539368879416425e-06,0.022306056610264594,-0.004803993039060978,2.507862026390113e-06,0.02243753574185153,-0.006438643634539096,3.380530124953899e-06,0.022571174503546596,-0.008090415297168117,4.272554851304434e-06,0.02270702819566738,-0.00976002265772545,5.184571957407538e-06,0.022845169017865635,-0.011447485541506541,6.117255289003819e-06,0.022985664786790677,-0.013153761317281807,7.0713027515321475e-06,0.023128583273729825,-0.014879046098825493,8.047447548279072e-06,0.023274006505425084,-0.016623859954273377,9.046463999496527e-06,0.02488444856985267,-0.03526672484210427,2.04933644508746e-05,0.026859132257526157,-0.05658392048291638,3.5447750691963955e-05,0.029377033241143408,-0.0816580955360873,5.588918239678949e-05,0.03278806782261055,-0.11246794070382203,8.58564358725049e-05,0.03794519442809818,-0.1535689279990288,0.00013568236894363425,0.048355112641110407,-0.22205024594398828,0.0002507778311039167,0.05030880942481949,-0.23325764382581243,0.0002743305935700145,0.05275393033467533,-0.24672013027016657,0.0003046027251594178,0.05610150192096121,-0.26416873374986993,0.0003474588514335026,0.062183215447260555,-0.29337561822314384,0.00042926172323395434,0.06250655185365378,-0.2948665041261407,0.0004337385564225549,0.06285031778382845,-0.29640841288508896,0.00043853173431157116,0.06322465541826593,-0.2981121087309851,0.00044375039937213456,0.06362603932892426,-0.29991118726146876,0.0004493786307839419,0.06408776536211482,-0.301964593633515,0.0004558722009050575,0.06460957283137954,-0.30427109239652034,0.0004632445022494915,0.06521700995829387,-0.3069323432479778,0.0004718749960984801,0.06603141560915857,-0.3104592807985254,0.00048351098231288054,0.0674202710711253,-0.31637864325585624,0.0005035512125206739
8,0.10659560293137908,0.025195798033808933,-0.0015849925386447633,1.0659256572225294e-06,0.025341292116044283,-0.0031861019909769947,2.1547755135256726e-06,0.025489115372291468,-0.0048036104257142545,3.267279983799661e-06,0.02563933397154393,-0.006438126659549098,4.404200999810985e-06,0.025792019710598676,-0.008089760343295446,5.56633793640385e-06,0.02594723575753499,-0.009759225976380147,6.754518933723556e-06,0.026105064584641933,-0.011446543244963423,7.96962175162859e-06,0.026265583658529598,-0.013152669372933506,9.212555488023478e-06,0.02642887039108055,-0.014877800321562348,1.0484275217828189e-05,0.026595018480343315,-0.016622455997788145,1.1785789572901305e-05,0.028434947092326045,-0.035263458156095065,2.6698585960452523e-05,0.030690960199173833,-0.05657809615643661,4.6180403535063094e-05,0.03356748176165207,-0.0816485830969527,7.280968248665791e-05,0.037464160835661516,-0.11245268996596575,0.00011184684268784303,0.0433551153953755,-0.1535434402067054,0.00017674945950611588,0.05524469197121484,-0.22199867792291766,0.0003266554313410924,0.0574758344375671,-0.23320040973567419,0.00035732912901512365,0.06026807287445006,-0.24665547591991877,0.00039675248926689967,0.06409066388618288,-0.264093330682131,0.0004525616265566963,0.07103472487338383,-0.29327899330034835,0.0005590814482997366,0.07140388489905933,-0.2947686934216353,0.0005649106881047564,0.07179636628326848,-0.2963093299565764,0.0005711518066319782,0.07222374937210128,-0.2980116375755643,0.0005779469064271662,0.07268200729649438,-0.2998092153136473,0.0005852752512926872,0.07320915278779684,-0.3018608857107238,0.000593730267323964,0.07380488637545492,-0.30416540770835854,0.0006033293720685642,0.07449837293841459,-0.3068243365907094,0.000614566609992991,0.07542813338746875,-0.3103481306511533,0.0006297169437747792,0.07701367405715139,-0.31626204473623104,0.0006558093584681948
9,0.11992005329780146,0.028340891308320137,-0.0015848517542101,1.3466176819149866e-06,0.028504519440023014,-0.0031858167326181564,2.7221935363417255e-06,0.028670766693783798,-0.004803176873936935,4.1276501647257585e-06,0.028839707468594863,-0.006437540858846295,5.563949975594201e-06,0.02901142248973817,-0.008089018195230042,7.03210266993006e-06,0.02918598278015826,-0.009758323233702607,8.533154279497446e-06,0.02936348106815511,-0.011445475502792658,1.0068213508637112e-05,0.02954400445505982,-0.013151432062246497,1.1638428641473022e-05,0.029727639976976018,-0.014876388700561618,1.3245006032599358e-05,0.029914492984545994,-0.016620865142051175,1.4889219681111758e-05,0.03198367770058711,-0.0352597566515873,3.372842363700943e-05,0.03452071320616995,-0.05657149669100675,5.833896982304003e-05,0.03775542394406176,-0.08163780493573061,9.197747561609408e-05,0.042137089746858127,-0.11243541054139318,0.0001412876383219647,0.04876071188884521,-0.15351456348179296,0.00022326475479771826,0.06212696211385225,-0.22194025989712063,0.00041258504626921115,0.06463488984175296,-0.2331355744484536,0.0004513199982583931,0.06777337318027615,-0.2465822369906203,0.0005011023091555517,0.07206970402004376,-0.264007919278651,0.0005715725953613593,0.07987353040827423,-0.29316955148416957,0.0007060646239846994,0.08028836746408984,-0.29465790898760313,0.0007134242265176683,0.08072940707220776,-0.2961971050397114,0.000721303795409065,0.08120966346728598,-0.29789784084385074,0.0007298827242598079,0.08172460921483377,-0.29969371932960276,0.0007391348245626845,0.0823169581030599,-0.30174342421192873,0.0007498092720931021,0.08298637126321641,-0.3040457080905525,0.0007619280274012145,0.08376561702977621,-0.30670200804318076,0.0007761147683564653,0.08481033767652367,-0.3102222431081052,0.0007952414520465858,0.08659187615122718,-0.3161299888131668,0.0008281814304846265
