,Epsilons,A_0,E/M,Rounds
0.1,-0.16971042386329335,-0.016645230535097418,0.9915144788068353,20
0.2,-0.17763534224292765,-0.035325299353781967,0.9822364657757072,20
0.3,-0.18713643381824327,-0.05670387765181622,0.9719295349272635,22
0.4,-0.19894631214155598,-0.08187502294882858,0.9602107375716888,24
0.5,-0.21448473503136992,-0.11288246995262984,0.9463788162421575,27
0.6,-0.23717226654132542,-0.15445476258398544,0.9288483200376023,34
0.7,-0.2813113398966567,-0.2252804635305796,0.9015410310361702,57
