,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U Bar of 0.3,A of 0.3,B of 0.3,U Bar of 0.4,A of 0.4,B of 0.4,U Bar of 0.5,A of 0.5,B of 0.5,U Bar of 0.6,A of 0.6,B of 0.6,U Bar of 0.7,A of 0.7,B of 0.7,U Bar of 0.71,A of 0.71,B of 0.71,U Bar of 0.72,A of 0.72,B of 0.72,U Bar of 0.73,A of 0.73,B of 0.73,U Bar of 0.74,A of 0.74,B of 0.74,U Bar of 0.74015,A of 0.74015,B of 0.74015,U Bar of 0.74029,A of 0.74029,B of 0.74029,U Bar of 0.74044,A of 0.74044,B of 0.74044,U Bar of 0.74059,A of 0.74059,B of 0.74059,U Bar of 0.74074,A of 0.74074,B of 0.74074,U Bar of 0.74088,A of 0.74088,B of 0.74088,U Bar of 0.74103,A of 0.74103,B of 0.74103,U Bar of 0.74118,A of 0.74118,B of 0.74118,U Bar of 0.74133,A of 0.74133,B of 0.74133,U Bar of 0.74147,A of 0.74147,B of 0.74147,U Bar of 0.74162,A of 0.74162,B of 0.74162,U Bar of 0.74177,A of 0.74177,B of 0.74177,U Bar of 0.74192,A of 0.74192,B of 0.74192,U Bar of 0.74206,A of 0.74206,B of 0.74206,U Bar of 0.74221,A of 0.74221,B of 0.74221,U Bar of 0.74236,A of 0.74236,B of 0.74236,U Bar of 0.74251,A of 0.74251,B of 0.74251,U Bar of 0.74265,A of 0.74265,B of 0.74265,U Bar of 0.7428,A of 0.7428,B of 0.7428
0,0.0,0.0,-0.016623148900148613,0.0,0.0,-0.03526651998969118,0.0,0.0,-0.056601291172480785,0.0,0.0,-0.0816831449269445,0.0,0.0,-0.11249267539948393,0.0,0.0,-0.15359776844217307,0.0,0.0,-0.2220556773031769,0.0,0.0,-0.23326325981904555,0.0,0.0,-0.24674144981409826,0.0,0.0,-0.26405536702425386,0.0,0.0,-0.2929805819775969,0.0,0.0,-0.29368511590832247,0.0,0.0,-0.29444837928962847,0.0,0.0,-0.2945818127234128,0.0,0.0,-0.29535473190870243,0.0,0.0,-0.2961275342250666,0.0,0.0,-0.2968987185638931,0.0,0.0,-0.29767879233434674,0.0,0.0,-0.29849562557254716,0.0,0.0,-0.29932022174029915,0.0,0.0,-0.3001891153477321,0.0,0.0,-0.30107042487547275,0.0,0.0,-0.3027018711329152,0.0,0.0,-0.3027491496831337,0.0,0.0,-0.30462503228910026,0.0,0.0,-0.3055478783897799,0.0,0.0,-0.3074354669943756,0.0,0.0,-0.30816753240059225,0.0,0.0,-0.3102247915634931,0.0,0.0,-0.31214983901886406,0.0
1,0.013324450366422385,0.003326232570577498,-0.016623146674029508,2.742617108465015e-07,0.003556476585119337,-0.035266509191774646,6.213089748441902e-07,0.003838862783582121,-0.05660126088982998,1.0747247243570794e-06,0.004199026309227538,-0.08168307518469514,1.6946246919004087e-06,0.004686688239095803,-0.11249252568958913,2.6032100836032613e-06,0.005424336471461793,-0.15359743924384386,4.1142868936203885e-06,0.006912775777470492,-0.22205477109097593,7.603568483583679e-06,0.0071921104944633356,-0.23326221358101581,8.317396641574218e-06,0.007542116306809753,-0.24674021423375755,9.235714013034106e-06,0.008018727417577308,-0.26405384825827516,1.0530174189510745e-05,0.008879633789899331,-0.2929784800670483,1.2984125147328396e-05,0.008901824963131424,-0.29368299773421,1.304936069789965e-05,0.00890786640948896,-0.2944462470897098,1.3071975902632882e-05,0.008932404520467747,-0.29457967107244654,1.3142539966547885e-05,0.008956703185065439,-0.2953525723263079,1.3214094277875123e-05,0.008981128475293032,-0.2961253565016759,1.328627158506163e-05,0.009005454161344876,-0.29689652274906675,1.3358116473804014e-05,0.009030527148985673,-0.297676577643504,1.3432756284957681e-05,0.00905675097982597,-0.29849339108031997,1.3510875856495831e-05,0.009082885780188916,-0.29931796746491485,1.3588775897761623e-05,0.009111094519803048,-0.30018683961187853,1.3672997662534903e-05,0.00913928608052307,-0.30106812757570206,1.3757416318580027e-05,0.00919109671655296,-0.30269953484073686,1.3910134558351704e-05,0.00919251895775945,-0.30274681126296954,1.3917658249680302e-05,0.009254387189813126,-0.30462264658213256,1.4101537726982885e-05,0.009285055766127629,-0.30554546836018487,1.4195153935588186e-05,0.009346457801283615,-0.30743300922600464,1.4379148918562746e-05,0.009348457473242616,-0.30816506230120744,1.43902678210026e-05,0.009439142811417877,-0.31022225970668027,1.4661720827441438e-05,0.00947572227482838,-0.3121472644600194,1.4777526060516874e-05
2,0.02664890073284477,0.0066522727308810405,-0.016622865734120147,8.227537642978889e-07,0.007112731911724588,-0.035265855489883625,1.8638514727872822e-06,0.007677465866281488,-0.05660009531971284,3.224034307158044e-06,0.00839773888078822,-0.08168117133982188,5.083634609753876e-06,0.009372980397495987,-0.11248947336594002,7.809222656676699e-06,0.010848131520347313,-0.15359233740446054,1.2342119941937448e-05,0.013824636417663655,-0.22204444904518686,2.280896431953603e-05,0.014383223168218266,-0.23325075766387746,2.4950206770958137e-05,0.015083125411351527,-0.2467272720219309,2.7704829522235757e-05,0.016036188067688886,-0.2640387621100971,3.1587712128572515e-05,0.017757681022999027,-0.2929591907232667,3.8948514558008914e-05,0.017802054572521684,-0.29366359436987577,3.9144191408464447e-05,0.017814134971673803,-0.29442677903814396,3.921202649728129e-05,0.017863201435582853,-0.29456010410648714,3.9423686928896244e-05,0.01791178906518486,-0.2953328800180851,3.963831690741854e-05,0.017960629859310788,-0.2961055375995884,3.985481549230669e-05,0.018009271455817894,-0.29687657773422604,4.007031683823992e-05,0.01805940730336607,-0.29765650136754784,4.029420158895324e-05,0.01811184433832193,-0.2984731772877458,4.0528523865121484e-05,0.01816410332826306,-0.2992976164299546,4.0762187549682064e-05,0.018220509282721422,-0.30016633998152376,4.101481321572236e-05,0.018276880865054402,-0.30104747884278055,4.126802939120972e-05,0.018380480828478915,-0.30267861642669247,4.172611113518873e-05,0.018383324720693844,-0.3027258789419708,4.1748679345822436e-05,0.018507035465567544,-0.30460138853881463,4.230022919072464e-05,0.018568359780690123,-0.30552404374182346,4.2581032908485606e-05,0.018691138049291615,-0.307411257414306,4.313292830529736e-05,0.01869513654093927,-0.3081432623827276,4.316627957174328e-05,0.01887646866306493,-0.3102000030859175,4.3980505708018615e-05,0.01894961187031723,-0.3121247639451104,4.432786342368655e-05
3,0.039973351099267154,0.009977928094375388,-0.016622397522577062,1.7368234668607441e-06,0.010668544749914174,-0.03526476604082203,3.934554054690702e-06,0.011515549582689166,-0.056598152807637934,6.805842848133072e-06,0.01259582402283026,-0.08167799845400706,1.0731343158691888e-05,0.014058480457526596,-0.11248438650272549,1.6484817083418917e-05,0.016270843821364855,-0.1535838350172012,2.605318474189127e-05,0.020734666988838062,-0.22202724746958902,4.814660103201612e-05,0.0215723404336245,-0.2332316666053864,5.266621367700072e-05,0.022621920382720758,-0.2467057042285769,5.8480455713001375e-05,0.024051115513787632,-0.2640136217501615,6.667603044924346e-05,0.026632555605380623,-0.29292704649965196,8.221208022916285e-05,0.0266990939411608,-0.29363126015467156,8.262507871688692e-05,0.026717208307097194,-0.29439433703701706,8.27682520015227e-05,0.026790783612136753,-0.2945274972829502,8.321498704342401e-05,0.026863640811848388,-0.2953000643381053,8.366798741501418e-05,0.02693687754154953,-0.29607251097780307,8.412493137953796e-05,0.027009815501663332,-0.29684334097251475,8.457977011591645e-05,0.02708499395817634,-0.297623045887412,8.505230271111465e-05,0.027163622948569752,-0.29843949266595804,8.554686436262009e-05,0.027241984911287608,-0.29926370312364553,8.604003565018523e-05,0.02732656503625068,-0.3001321790737204,8.657322740170608e-05,0.027411093567210755,-0.30101306948855466,8.710766524523279e-05,0.027566440250475003,-0.3026437577098403,8.80744889850602e-05,0.027570704613561384,-0.30269099705155317,8.812212363067421e-05,0.02775620644463273,-0.3045659639070037,8.928621806291476e-05,0.027848160829468383,-0.30548834155094934,8.987887960567598e-05,0.028032263740104906,-0.3073750100325394,9.104370038530646e-05,0.028038259347300573,-0.3081069348442938,9.11140910858999e-05,0.028310161163045754,-0.31016291456008405,9.283257983336805e-05,0.02841983668247476,-0.3120872690321979,9.356570196356496e-05
4,0.05329780146568954,0.013303006322028766,-0.01662174207193985,3.0163450280245298e-06,0.014223693926997346,-0.03526324092615745,6.833113212449372e-06,0.015352854338325785,-0.05659543351211884,1.1819585744796423e-05,0.016792968135085483,-0.08167355681412693,1.863677969356074e-05,0.018742792527411182,-0.11247726562258709,2.8628332972814632e-05,0.021691932243417845,-0.15357193312139925,4.524444414700505e-05,0.02764195296892488,-0.2220031691949639,8.360926643314865e-05,0.02875846516746678,-0.2332049437070921,9.145718965160908e-05,0.030157394830539624,-0.24667551481372552,0.00010155298057382412,0.03206224397818998,-0.26397843216832434,0.00011578342018897191,0.03550267236395028,-0.2928820546692671,0.000142758677064726,0.03559134911054048,-0.2935860024283359,0.00014347575147795355,0.035615489966989634,-0.2943489284665503,0.0001437243369767011,0.03571354485613591,-0.29448185803700233,0.00014449999018869013,0.03581064254427173,-0.2952541327955081,0.00014528651626472276,0.035908245867853045,-0.296026284220437,0.00014607988866659834,0.03600545088210255,-0.2967968201230721,0.00014686960474526249,0.036105641582410856,-0.2975762189405556,0.0001476900413185789,0.036210430667057675,-0.29839234503481965,0.00014854872480304178,0.03631486378919854,-0.2992162354483826,0.0001494049934152963,0.03642758353109365,-0.3000843648807543,0.000150330745705079,0.036540234414199756,-0.30096490759577355,0.00015125866090091926,0.03674726393009047,-0.30259496693850774,0.00015293729628621463,0.03675294699450204,-0.30264217384743,0.0001530200069838397,0.03700016280121455,-0.30451638114432245,0.00015504114524021912,0.03712270876687662,-0.30543837034843285,0.00015607014468653368,0.03736805896224373,-0.3073242758469736,0.00015809253658453974,0.037376049129749365,-0.30805608848508187,0.00015821475097949517,0.03773840504867176,-0.31011100321515955,0.00016119842855630994,0.03788456575130524,-0.3120347889680626,0.00016247128181657314
5,0.06662225183211193,0.01662731514601931,-0.016620899427779126,4.66114243950107e-06,0.017777958356087833,-0.03526128026017962,1.0559104433648229e-05,0.019189120645089788,-0.056591937655374715,1.826447364334379e-05,0.020988857754652146,-0.08166784682257007,2.8798587895936113e-05,0.023425520904284992,-0.11246811145903197,4.423745171338823e-05,0.027110855946920604,-0.15355663317662077,6.991166075163041e-05,0.03454558045135326,-0.2219722181994296,0.00012918691308124833,0.03594060094440357,-0.2331705936090512,0.00014131167531123047,0.037688443176859425,-0.246636709343332,0.00015690902061190565,0.040068308673773964,-0.26393320037861134,0.00017889358428701497,0.04436644751079481,-0.29282422545658593,0.00022056584769749807,0.04447722751885561,-0.29352783150909395,0.00022167357734098316,0.044507384902597195,-0.2942905637017355,0.0002220575876198677,0.044629880386459965,-0.2944231968210496,0.00022325581558090842,0.044751179807351806,-0.2951950959467115,0.00022447082914269263,0.04487311062271739,-0.29596686798933225,0.00022569641725182763,0.04499454363203571,-0.29673702595322715,0.00022691635492650308,0.045119706110267666,-0.2975160314044307,0.0002281837478826264,0.04525061282972284,-0.2983317453876485,0.00022951022160258986,0.04538107471563415,-0.29915522451353016,0.00023083296317702586,0.045521888027233774,-0.3000229086383812,0.0002322630376457586,0.04566261515811812,-0.30090300452739066,0.00023369645205728406,0.04592124236881487,-0.30253225570845904,0.00023628954006514157,0.045928341776374684,-0.3025794209357549,0.00023641731939436403,0.04623716879959724,-0.3044526521408158,0.00023953948025745152,0.046390255055161145,-0.3053741421694903,0.00024112903367762344,0.04669674944795744,-0.3072590671816224,0.0002442531161196577,0.04670673077062389,-0.30799073567518775,0.0002444419068676376,0.04715938675637974,-0.3100442818246819,0.00024905091779983554,0.04734196983824472,-0.3119673367520789,0.0002510171286719942
6,0.07994670219853431,0.01995066239346717,-0.01661986964867232,6.670989480272023e-06,0.02133111706468372,-0.03525888418979418,1.5111982120087015e-05,0.023024089156695165,-0.056587665523030496,2.6139492085665752e-05,0.025183179601753262,-0.08166086899651485,4.121502475606637e-05,0.02810627013709171,-0.11245692495476098,6.330919385981972e-05,0.032527074480852874,-0.15353793705854185,0.0001000493899704163,0.04144463634995922,-0.22193439959446057,0.00018486663342597275,0.04311775226928321,-0.23312862227309905,0.00020221494969066198,0.04521396092657933,-0.24658929496864207,0.0002245313837568036,0.048068046133682964,-0.26387793539236365,0.0002559855890295123,0.05322229910407043,-0.2927535719965223,0.0003156047479695073,0.053355138465766366,-0.2934567606522693,0.0003171894874643381,0.05339129993102392,-0.2942192560707961,0.00031773885619474534,0.05353818730496744,-0.29435152706275025,0.000319453075384262,0.05368364004606848,-0.29512296735296073,0.0003211912897168553,0.0538298495080087,-0.2958942759811346,0.000322944629408645,0.05397546172105179,-0.2966639722951061,0.0003246898816545732,0.05412554542866265,-0.2974424972525984,0.00032650302180880396,0.05428251674420877,-0.29825770784681505,0.0003284006793196277,0.05443895443494877,-0.29908068459049963,0.00033029299460996664,0.05460780379610361,-0.2999478247803397,0.0003323388539691062,0.05477654958336443,-0.30082737488050637,0.0003343894892362303,0.055086668139118056,-0.30245563891579536,0.00033809912043570304,0.05509518094407462,-0.30250275322597175,0.0003382819391003598,0.05546549082322516,-0.30437479217052843,0.00034274843310357485,0.05564905329936978,-0.3052956724746085,0.0003450224175905185,0.05601656312012109,-0.3071793998678702,0.00034949163424260733,0.05602853134444421,-0.30791089230516666,0.00034976171344244756,0.05657129498705497,-0.3099627667973453,0.00035635519859162024,0.05679022199889078,-0.31188492908295784,0.00035916795674063374
7,0.0932711525649567,0.02327285601012485,-0.01661865280619439,9.045609765736107e-06,0.0248829492232097,-0.035256052894497736,2.049107970212398e-05,0.026857500704059317,-0.05658261746406505,3.5443401713640765e-05,0.029375620625442363,-0.08165262396782812,5.588396090760938e-05,0.03278464508946141,-0.1124437072614663,8.583991967313264e-05,0.037940047879769276,-0.15351584705849533,0.0001356509809587305,0.04833820860382464,-0.22188971962335977,0.00025063266183018027,0.050288924809410475,-0.23307903698099952,0.00027414903253981856,0.05273284493784104,-0.24653328042386738,0.0003043990720417869,0.056060194540984654,-0.2638126482151212,0.00034703386733756685,0.06206864750899962,-0.29267011032936374,0.00042784015162208655,0.062223493577217764,-0.2933728060451571,0.00042998798124790785,0.06226564420118484,-0.2941350218500186,0.0004307325457830841,0.062436865066733446,-0.2942668651598013,0.00043305587950100507,0.06260641307994444,-0.2950377635750473,0.0004354117044743617,0.062776842621763,-0.2958085249219435,0.00043778802467088,0.06294657553656614,-0.29657767604021346,0.000440153377652576,0.063121519864868,-0.2973556335492368,0.0004426107364203989,0.06330449218221748,-0.29817024965817407,0.0004451826356907902,0.06348684217930964,-0.29899263310710467,0.0004477472898202254,0.06368365862288572,-0.29985913093262173,0.000450520031792994,0.06388035401408175,-0.3007380364805534,0.00045329924298760866,0.06424183640158694,-0.30236513475098337,0.00045832683591520555,0.06425175907191824,-0.30241218892483707,0.00045857463790496366,0.06468339790385134,-0.3042828198853344,0.0004646279596733793,0.06489735978242978,-0.3052029801432752,0.00046770983843976723,0.06532573063926413,-0.30708529323800376,0.0004737668078964272,0.0653396806653419,-0.30781657777952687,0.00047413283814130066,0.06597232127146226,-0.30986647817021973,0.00048306871293104695,0.06622749815585942,-0.31178758635179926,0.0004868806747222354
8,0.10659560293137908,0.026593704084061042,-0.01661724898490696,1.178467681102942e-05,0.028433234173548903,-0.035252786586350074,2.6695609795845893e-05,0.030689096330670435,-0.05657679389075521,4.617473857092266e-05,0.03356586804926891,-0.08164311248295901,7.280288116704448e-05,0.03746025100248806,-0.11242845973962451,0.00011182533009051668,0.04334923676073432,-0.1534903658830103,0.00017670857851670823,0.055225386381994125,-0.22183818565967198,0.00032646637974094277,0.057453125626666664,-0.23302184633251147,0.00035709269036913316,0.060243993692256956,-0.2464686760237367,0.00039648728888524347,0.06404349405817591,-0.26373735184330344,0.00045200822801102906,0.07090391585861809,-0.2925738593952741,0.0005572304640229493,0.07108070727001876,-0.2932759868014585,0.0005600271401936844,0.07112882965945046,-0.294037880258135,0.0005609966241990986,0.07132431594996565,-0.294169230474275,0.0005640218496200427,0.07151789157725852,-0.2949395041675687,0.0005670893369187717,0.07171247293669895,-0.2957096345614938,0.0005701835041807306,0.07190625836666532,-0.2964781571335354,0.0005732633818709017,0.07210599267385502,-0.29725546044316287,0.0005764630536150754,0.07231489187161567,-0.2980693911849999,0.0005798118564536177,0.07252308016553348,-0.2988910906414091,0.0005831512183344541,0.0727477833085005,-0.2997568479072254,0.0005867615097785898,0.07297234782141118,-0.3006350103749535,0.0005903802192428872,0.07338504542179675,-0.302260764692334,0.0005969263991174007,0.0733963738407874,-0.3023077495298913,0.000597249096879334,0.07388916225041756,-0.30417675730818927,0.0006051307778850147,0.07413343399992284,-0.3050960874671189,0.000609143525569508,0.07462248595025,-0.3069767701181262,0.0006170298924644517,0.07463841183415001,-0.3077078150095942,0.0006175064779296758,0.07536066053538701,-0.3097554396013096,0.0006291412111935921,0.07565197767134575,-0.31167533263445063,0.0006341044035011455
9,0.11992005329780146,0.02991301486928567,-0.016615658282345343,1.4887814106405534e-05,0.03198175145751192,-0.035249085509940346,3.372466439137494e-05,0.0345186173278991,-0.0565701952786072,5.833181446787389e-05,0.037753609416894957,-0.08163233540280744,9.196888519199963e-05,0.04213269355747898,-0.11241118395823657,0.00014126046792113916,0.048754102420144,-0.15346149665322759,0.00022321312546560722,0.062105260288018896,-0.22177980620515889,0.00041234632223960876,0.06460936340943725,-0.23295706024292215,0.0004510214441208898,0.06774630756491837,-0.2463954936603746,0.0005007674483480676,0.07201668715641144,-0.26365206125998514,0.0005708738675049592,0.07972653051414234,-0.29246484102732245,0.0007037277396955623,0.07992519721605672,-0.29316632495422346,0.0007072586456064779,0.07997927151497625,-0.29392785344920136,0.0007084826417588545,0.0801989455256107,-0.29405864532543846,0.0007123021371591505,0.08041647152889234,-0.2948282116716522,0.0007161749257029585,0.08063512677837513,-0.2955976276657819,0.0007200813890149114,0.08085288688258056,-0.29636543856606784,0.0007239697980072267,0.08107733052526306,-0.2971420011602573,0.0007280094425868617,0.08131207198813227,-0.2979551559003025,0.000732237354281492,0.0815460140915242,-0.2987760809139337,0.0007364533362480697,0.0817985121712435,-0.2996409996942419,0.0007410113475117033,0.08205085393026465,-0.3005183208250834,0.0007455799789308393,0.08251459708677147,-0.30214255349774516,0.0007538444568028926,0.08252732655484384,-0.3021894598211926,0.0007542519264266301,0.08308105977755287,-0.3040566298245891,0.0007642023882748995,0.08335553919446947,-0.30497502014122685,0.000769268416516577,0.0839050668286206,-0.3068538568191915,0.0007792247031745357,0.083922961785111,-0.3075846304044861,0.0007798263807480485,0.08473451166433833,-0.30962967836014266,0.0007945147743747148,0.08506184391923338,-0.3115481956818486,0.0008007804987622401
