,ZETA,U Bar of 0.74,A of 0.74,B of 0.74,U Bar of 0.74014,A of 0.74014,B of 0.74014,U Bar of 0.74028,A of 0.74028,B of 0.74028,U Bar of 0.74043,A of 0.74043,B of 0.74043,U Bar of 0.74057,A of 0.74057,B of 0.74057,U Bar of 0.74071,A of 0.74071,B of 0.74071,U Bar of 0.74085,A of 0.74085,B of 0.74085,U Bar of 0.74099,A of 0.74099,B of 0.74099,U Bar of 0.74114,A of 0.74114,B of 0.74114,U Bar of 0.74128,A of 0.74128,B of 0.74128,U Bar of 0.74142,A of 0.74142,B of 0.74142,U Bar of 0.74156,A of 0.74156,B of 0.74156,U Bar of 0.74171,A of 0.74171,B of 0.74171,U Bar of 0.74185,A of 0.74185,B of 0.74185,U Bar of 0.74199,A of 0.74199,B of 0.74199,U Bar of 0.74213,A of 0.74213,B of 0.74213,U Bar of 0.74227,A of 0.74227,B of 0.74227,U Bar of 0.74242,A of 0.74242,B of 0.74242,U Bar of 0.74256,A of 0.74256,B of 0.74256,U Bar of 0.7427,A of 0.7427,B of 0.7427
0,0.0,0.0,-0.29368738412782713,0.0,0.0,-0.29436230676400504,0.0,0.0,-0.2950565197523195,0.0,0.0,-0.2958232280775869,0.0,0.0,-0.2965634295184095,0.0,0.0,-0.29732766161930646,0.0,0.0,-0.29812105898317115,0.0,0.0,-0.2989452554260571,0.0,0.0,-0.299866633199442,0.0,0.0,-0.30076762005082675,0.0,0.0,-0.30171379561641315,0.0,0.0,-0.30271345488013107,0.0,0.0,-0.3038547156470557,0.0,0.0,-0.30499864683888406,0.0,0.0,-0.3062377867867239,0.0,0.0,-0.30759956021595997,0.0,0.0,-0.3091285635822983,0.0,0.0,-0.3110439845044199,0.0,0.0,-0.31276421756460815,0.0,0.0,-0.3157545710273934,0.0
1,0.013324450366422385,0.008895448813415037,-0.2936852720641676,1.302537116119079e-05,0.008916586033077743,-0.29436017920212515,1.30874694244655e-05,0.008938379020256194,-0.29505437615388186,1.3151583725758297e-05,0.008962507288444187,-0.29582106665540275,1.3222675769131006e-05,0.008985865479037963,-0.29656125077462303,1.3291601160828876e-05,0.009010040264695039,-0.2973254648757552,1.3363050487943611e-05,0.009035210145221073,-0.29811884342480904,1.3437553816214087e-05,0.009061429426641699,-0.2989430201853469,1.3515292268772659e-05,0.00909082742873225,-0.29986437578925124,1.360261183292837e-05,0.009119665593273594,-0.3007653407903935,1.3688427286685343e-05,0.009150046036481176,-0.30171149322650576,1.3779002974220304e-05,0.009182253821619515,-0.30271112784695114,1.3875214448837623e-05,0.009219161583311517,-0.3038523602190245,1.3985703871170161e-05,0.009256301629447603,-0.3049962626688907,1.4097146905150046e-05,0.009296699224498916,-0.3062353711625628,1.4218656966184736e-05,0.009341294984973613,-0.3075971096375028,1.435314759899579e-05,0.009391619198704291,-0.3091260732687016,1.450535648865435e-05,0.009455039149006566,-0.3110414436764467,1.4697840858770015e-05,0.00951171689220508,-0.3127616308948337,1.4871027062724878e-05,0.009612161544135451,-0.3157519026541403,1.5178445453039307e-05
2,0.02664890073284477,0.017789305026503433,-0.29366591101864814,3.907223321893973e-05,0.017831571075806144,-0.2943407095691158,3.9258499579461495e-05,0.017875148373315428,-0.2950347943025422,3.9450813039435754e-05,0.017923395271655842,-0.29580136024707826,3.966405641293742e-05,0.017970102290805083,-0.2965414234822453,3.9870800719627074e-05,0.018018442140246584,-0.2973055121411681,4.0085115553574555e-05,0.018068771743760887,-0.2980987597491921,4.030859085001348e-05,0.01812119968720573,-0.2989227997313051,4.054176987972669e-05,0.018179983737939255,-0.2998440015152068,4.0803687604731016e-05,0.018237648293250232,-0.3007448151580948,4.1061093536744206e-05,0.01829839672482522,-0.30169080763852996,4.133277774782353e-05,0.018362799033363873,-0.3026902721267154,4.162136645104068e-05,0.018436599286616805,-0.30383130883528037,4.1952781955118055e-05,0.018510863933727372,-0.3049750136268873,4.228705756092631e-05,0.01859164223393337,-0.3062139062597375,4.265152909753882e-05,0.018680815000626728,-0.30757540539429784,4.3054935698174505e-05,0.01878144212698969,-0.30910409762624413,4.351148797739297e-05,0.018908254974841346,-0.3110191240258085,4.408884627095882e-05,0.019021586105900913,-0.3127390005502761,4.460831902937367e-05,0.019222431755872293,-0.31572871981271383,4.5530419864025145e-05
3,0.039973351099267154,0.026679976504423678,-0.29363364731950625,8.247320095303558e-05,0.026743354607021305,-0.2943082649315506,8.286633732060571e-05,0.02680869886500412,-0.29500216267666296,8.327223648185544e-05,0.026881045121682705,-0.29576852107328017,8.372231022376356e-05,0.026951082249471892,-0.2965083828808713,8.415866660746544e-05,0.02702356772328295,-0.2972722625172026,8.461100104873001e-05,0.02709903673924342,-0.2980652919402284,8.508266922408798e-05,0.027177652110672346,-0.2988891040108,8.557481771743538e-05,0.02726579830853944,-0.2998100494873364,8.612762167559696e-05,0.027352265712402537,-0.3007106109250972,8.667090249099588e-05,0.027443357228318366,-0.3016563368749912,8.724431844898205e-05,0.027539927542821745,-0.3026555178759565,8.785341232167026e-05,0.027650589754353475,-0.30379622855562877,8.855289538818273e-05,0.02776194811923155,-0.30493960399499953,8.925841405927762e-05,0.02788307335260483,-0.30617813694573387,9.002766291757013e-05,0.028016785625741603,-0.30753923727556537,9.087908635504099e-05,0.028167673072513378,-0.30906747728498374,9.184267660768879e-05,0.028357824725180905,-0.3109819304776839,9.306123523691127e-05,0.028527760545012305,-0.3127012893065109,9.415762026734247e-05,0.028828919906243693,-0.31569008797070436,9.610377482147597e-05
4,0.05329780146568954,0.035565872038425476,-0.293588488282539,0.00014321204742860644,0.035650337038945885,-0.2942628526688744,0.00014389463546262652,0.0357374222421104,-0.294956488721699,0.00014459938231692023,0.035833838960005235,-0.2957225566530091,0.00014538082689066393,0.03592717812687816,-0.29646213656115955,0.00014613845368592873,0.036023780076692616,-0.2972257236691662,0.00014692382158507794,0.036124358050559656,-0.2980184477414644,0.0001477427567686931,0.036229129010750705,-0.2988419408494481,0.00014859724988011523,0.03634660151684702,-0.2997625276239703,0.00014955705476279077,0.0364618364691599,-0.3006627361013931,0.00015050032374763002,0.03658323372740438,-0.30160808904321557,0.00015149591328727596,0.036711932286740905,-0.3026068733060514,0.0001525534467179782,0.03685941067400163,-0.3037471277117792,0.00015376791543870923,0.03700781644949402,-0.3048900422272185,0.00015499286114963083,0.03716923797746442,-0.30612807180891377,0.00015632845481902496,0.037347433529055146,-0.3074886140196623,0.00015780671940319113,0.03754851743268852,-0.3090162211546444,0.0001594797271017297,0.03780192678278563,-0.3109298721609609,0.0001615954107721357,0.03802839427152551,-0.3126485064919937,0.00016349896995851256,0.038429736465996345,-0.315636016816238,0.00016687789537512697
5,0.06662225183211193,0.04444540181273798,-0.2935304441923046,0.000221266201644981,0.04455092018784854,-0.2942044831551395,0.00022232065607276694,0.044659711666919774,-0.294897782904518,0.00022340933971267364,0.04478016033633416,-0.29566347755654393,0.00022461650321758996,0.04489676413552518,-0.2964026951941456,0.0002257868716001174,0.04501744371696558,-0.29716590637305634,0.00022700009212525083,0.045143090063772824,-0.29795823803890675,0.00022826516470086076,0.04527397418255134,-0.2987813212486522,0.00022958516419522586,0.04542072523667263,-0.29970144705687285,0.00023106784403493182,0.04556468069534532,-0.3006012019476297,0.00023252497696098608,0.04571633393283394,-0.3015460755407073,0.00023406293015369183,0.04587710775023564,-0.30254434996080554,0.00023569656889053605,0.04606134130231864,-0.30368401801673095,0.00023757263131280983,0.046246732778576286,-0.3048263402084774,0.0002394648736574773,0.046448383119351455,-0.30606372292314166,0.00024152803494779162,0.04667098701929305,-0.30742354791135207,0.00024381158117957216,0.04692218227474311,-0.30895034176093705,0.0002463959484989245,0.04723874123840981,-0.3108629619095008,0.00024966412446679454,0.047521643090062744,-0.31258066522118017,0.0002526046148288155,0.04802299371126053,-0.3155665199694702,0.00025782412059493283
6,0.07994670219853431,0.05331697786820741,-0.29345952826088684,0.0003166066735363484,0.05344350774125826,-0.2941331697173711,0.0003181151947401456,0.053573962188213385,-0.2948260586713526,0.00031967268225184016,0.05371839470387103,-0.29559129736293255,0.00032139966578830024,0.053858216407948044,-0.296330072488283,0.0003230740066191607,0.0540029250978721,-0.29709282447213303,0.00032480964896398516,0.05415358912030922,-0.2978846768171039,0.00032661946770478733,0.05431053339551796,-0.2987072593411671,0.0003285078613542481,0.054486503337594284,-0.29962682208622515,0.0003306289811782417,0.05465912053975068,-0.3005260229295147,0.00033271354885060813,0.05484096759484101,-0.3014703110089411,0.00033491373250672276,0.05503375048198006,-0.3024679626695897,0.0003372507973682055,0.05525466298747493,-0.30360691451715066,0.0003399346634493876,0.05547696308026759,-0.30474851320625673,0.00034264166836615504,0.055718757939979054,-0.3059851057985405,0.00034559317753090707,0.055985676590822334,-0.3073440547316112,0.00034885995311682947,0.056286876891287654,-0.30886985519428123,0.0003525570607639084,0.05666645045905568,-0.31078121620946964,0.00035723238055399703,0.05700566512765238,-0.3124977823405909,0.00036143891090108915,0.057606806324195785,-0.31548161492636206,0.0003689056411482447
7,0.0932711525649567,0.062179014565782335,-0.2933757566227893,0.00042919805869328,0.06232650572522912,-0.29404892863040427,0.00043124258533788095,0.06247857121234791,-0.2947413324425766,0.000433353472736135,0.06264692989461323,-0.2955060326547011,0.00043569407581769894,0.06280991347617464,-0.2962442851840868,0.0004379633265334743,0.06297859309422266,-0.29700649487149317,0.00044031565467347845,0.06315421400522837,-0.2977977811536478,0.00044276850892748193,0.06333715488643685,-0.29861977238552506,0.000445327849961428,0.06354227218331385,-0.2995386701749641,0.0004482025975052175,0.06374348067178776,-0.3004372167120693,0.00045102779836955894,0.06395544701241362,-0.30138081332752403,0.0004540096846041317,0.06418015960950617,-0.30237772954140285,0.00045717707525788653,0.06443765969130667,-0.30351583558732104,0.0004608144688988704,0.06469677597742286,-0.3046565798644165,0.0004644832094760925,0.06497861428901797,-0.3058922393751946,0.00046848330642458255,0.0652897354694194,-0.3072501537511875,0.0004729106573910063,0.06564081335601284,-0.308774781103196,0.00047792120054857945,0.06608323965637447,-0.31068465519251426,0.00048425744181892794,0.06647862141364262,-0.3123998784217899,0.0004899583295379071,0.06717929199380013,-0.31538132305129896,0.0005000775055879639
8,0.10659560293137908,0.07102992904999553,-0.29327914832939384,0.000558998552179733,0.07119832297136418,-0.29395177911127657,0.0005616607139677204,0.07137193897407874,-0.2946436236070299,0.0005644092772634335,0.0715641565944196,-0.29540770301210234,0.0005674569433768605,0.07175023675090186,-0.2961453530483074,0.0005704116950241257,0.07194281948536485,-0.29690693753216685,0.0005734746126231002,0.07214332643523233,-0.2976975712131883,0.0005766684146564664,0.0723521898521771,-0.29851888075996397,0.0005800008613773024,0.07258637112976121,-0.29943701194261246,0.0005837439789858371,0.0728160887848806,-0.30033480415336095,0.0005874225719213713,0.07305808754230418,-0.30127760360782396,0.0005913051669173741,0.07331463735419967,-0.30227367195838967,0.000595429285870555,0.07360861851126624,-0.3034108029225284,0.0006001653571942897,0.07390444327097431,-0.3045505621964508,0.000604942224725508,0.07422620724089143,-0.30578514601625795,0.0006101505115096901,0.07458140015773977,-0.3071418677235434,0.0006159150736244673,0.07498220707908372,-0.3086651426870537,0.0006224389382471919,0.07548729745475574,-0.31057330262827115,0.0006306888471057925,0.07593867645930696,-0.3122869777536683,0.0006381114753597218,0.07673857201636468,-0.3152656695689633,0.00065128663901771
9,0.11992005329780146,0.07986814171182517,-0.29316972534193375,0.0007059599661772655,0.08005737158347087,-0.29384174331211915,0.0007093210367680514,0.0802524690070152,-0.2945329545148239,0.0007127911832057501,0.08046846881771301,-0.29529633100582586,0.0007166389455606659,0.08067757100034086,-0.2960332988665473,0.0007203693900153348,0.08089397943831067,-0.2967941754636359,0.0007242363855249092,0.0811192915463058,-0.2975840702398489,0.0007282686130676481,0.08135399294205661,-0.2984046079547345,0.000732475868679165,0.08161714302279949,-0.299321871157463,0.0007372015854485664,0.08187527609944473,-0.3002188092965656,0.0007418458227992004,0.08214720810764342,-0.30116070618490165,0.0007467475958240644,0.08243548954593394,-0.3021558145676323,0.000751954272684836,0.08276583020200226,-0.30329184153069194,0.0007579335106289893,0.08309824046855424,-0.30443048557695085,0.0007639642259879003,0.0834597956311703,-0.3056638514992328,0.0007705395696413972,0.08385891098037486,-0.3070192228759279,0.0007778171602294142,0.08430927736209291,-0.3085409666869141,0.000786053299791041,0.08487681645895948,-0.3104471859148937,0.0007964684336911789,0.08538399883700525,-0.3121591083326896,0.0008058391091451156,0.08628277189547608,-0.3151346835540655,0.000822471866948562
