,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U tilde of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U tilde of 0.2,U Bar of 0.3,A of 0.3,B of 0.3,U tilde of 0.3,U Bar of 0.4,A of 0.4,B of 0.4,U tilde of 0.4,U Bar of 0.5,A of 0.5,B of 0.5,U tilde of 0.5,U Bar of 0.6,A of 0.6,B of 0.6,U tilde of 0.6,U Bar of 0.7,A of 0.7,B of 0.7,U tilde of 0.7
0,0.0,0.0,-0.016632844589671476,0.0,0.0,0.0,-0.03529098804281687,0.0,0.0,0.0,-0.05663227744000326,0.0,0.0,0.0,-0.08173909899823686,0.0,0.0,0.0,-0.11261954465303366,0.0,0.0,0.0,-0.15387149263475708,0.0,0.0,0.0,-0.22304359132898516,0.0,0.0
1,0.07992007992007992,0.0199555354953347,-0.01663276440460558,9.871459849134251e-06,-0.019626183013252457,0.02134000913325538,-0.035290598929219194,2.2368890374710975e-05,-0.02059959456261668,0.023037483396823977,-0.056631185700914445,3.870320681044936e-05,-0.021768273403730533,0.025203033038812314,-0.08173658335675034,6.104608186989076e-05,0.02322357012032987,0.02814008043421815,-0.11261413855872293,9.38387435716398e-05,0.025140695569682132,0.03259026230392051,-0.15385958154773013,0.000148489622710594,0.027938516245744865,0.04164755493991296,-0.2230105333180742,0.0002758561765698529,0.03331331441948143
2,0.15984015984015984,0.03986953332131562,-0.016622652595277974,2.957377356607032e-05,-0.03921113789338427,0.0426322354888926,-0.03526706377832689,6.7008954851013e-05,-0.04115219574997623,0.04601886285581529,-0.05658921059656558,0.0001159284061498541,-0.043482001112201275,0.05033826009937675,-0.08166799887326268,0.00018282783126501233,0.04638219239972904,0.056194484467728054,-0.11250410248484718,0.0002809873030690933,0.05020097559539602,0.06506322762866443,-0.15367541406018292,0.00044450573408613415,0.05577023970568807,0.08309559037280052,-0.2226357131956305,0.000825285754317261,0.06645543121381092
3,0.23976023976023975,0.059700640216423406,-0.016605827591580757,6.230289342544688e-05,-0.058713825190181076,0.06382911863105858,-0.035227908578882354,0.00014114875627885452,-0.061611043072967275,0.068888310323282,-0.05651938785865815,0.00024415383950538176,-0.06508693334108039,0.07533823183187427,-0.08155393637957627,0.0003849686969629476,0.0694113106786516,0.08407802706473472,-0.11232115403011989,0.000591487613513141,0.07510097654124426,0.09730235977889877,-0.15336935062120516,0.0009352871501297393,0.0833892483443687,0.12414621197141071,-0.22201342117439585,0.0017348770397895017,0.09925701347919179
4,0.3196803196803197,0.07940787033658299,-0.016582331356261335,0.00010789735940387945,-0.07809358130462965,0.08488354110739334,-0.03517323855056633,0.0002443986610373035,-0.08192983984347285,0.09159054736074823,-0.056421922011212815,0.0004226546366432446,-0.08652940949280086,0.10013620925308213,-0.08139476611586738,0.0006662224149143275,0.09224714849163869,0.11170650167592588,-0.11206596823830299,0.0010232066780492958,0.0997619334279131,0.12919263681783497,-0.15294273571262104,0.001616927695885804,0.11069135240069854,0.16460475649836892,-0.2211473486918455,0.0029952912343557993,0.13155242326862931
5,0.3996003996003996,0.09895078550555904,-0.016552222337681166,0.000166133078720137,-0.09731030262119945,0.10574904583201496,-0.03510320028367203,0.000376218270210805,-0.1020629800406035,0.11407111499258234,-0.056297098045779884,0.0006504262737877621,-0.10775664579105407,0.12466651281920144,-0.0811910040418992,0.0010248636456848784,0.11482708873447792,0.1389971617520714,-0.11173948579341667,0.0015731953559564795,0.12410671288222203,0.1606212980727858,-0.15239744217544934,0.002484036462196757,0.13757493037157148,0.20428139366002102,-0.220042629770767,0.004593684265355346,0.16318148662761958
6,0.4795204795204795,0.11828967134647722,-0.016515575122911186,0.0002367251284680277,-0.11632462515001908,0.12638004852207424,-0.03501798076995241,0.0005359208167020999,-0.12196576926020228,0.13627663745185717,-0.056145279319011726,0.0009261928680648626,-0.12871701483547188,0.14886486367563892,-0.08094330756632362,0.001458702506740545,0.13709004172046194,0.1658691915956935,-0.11134290417695589,0.0022377139372770716,0.148060328124902,0.19147857482244965,-0.15173585066082243,0.0035297869038660983,0.16394173253926772,0.24299269253156228,-0.21870576919836726,0.006513838271977262,0.1939911721339231
7,0.5594405594405595,0.13738570799825964,-0.01647248002516548,0.00031933008890892454,-0.1350980982643,0.1467320436458327,-0.034917806315116345,0.0007226790039442276,-0.14159463786649304,0.1581550779665266,-0.0559669053106143,0.0012484185054035394,-0.14936031446197062,0.17266871481066084,-0.08065247118517753,0.001965105054066288,0.15897679776593132,0.19224416372012146,-0.11087766894062104,0.0030122695101343733,0.17155042966224374,0.22165840108401497,-0.15096082977917893,0.004745991716292429,0.18969764025234312,0.2805631481510818,-0.21714457280456445,0.008736373456024337,0.22383714910291724
8,0.6393606393606394,0.1562011341752265,-0.016423042588102735,0.00041354884016389453,-0.15359335119603892,0.16676180237647095,-0.03480294123386515,0.0009355320157070683,-0.16090734459117284,0.17965598470357202,-0.055762488935984234,0.001615320866329763,-0.16963802352038546,0.19601756965175737,-0.08031942125894452,0.002541017974713279,0.18043036088214243,0.21804647925231047,-0.11034546326271237,0.0038916611419747716,0.19450776636925962,0.2510590988686177,-0.15007571235779982,0.006123193745346707,0.2147533714389883,0.3168266540831169,-0.21536806415961002,0.011239007251336338,0.2525852002499087
9,0.7192807192807192,0.17469940340098147,-0.016367383010835946,0.0005189297853241599,-0.17177425104166194,0.18642756112482842,-0.03467368633591115,0.0011733935965081781,-0.17986316894696333,0.20073072507093584,-0.0555326134278633,0.0020248869390328992,-0.18950354235437736,0.21885328571843637,-0.07994520995116117,0.00318299708122575,0.2013962604109609,0.24320378794780656,-0.10974819582772888,0.004870032079238554,0.21686661207850005,0.27958403211612715,-0.14908426789660853,0.007650771253966853,0.23902512365280662,0.3516279052490047,-0.2133863881682251,0.013996855994358461,0.2801124660983448
