,Epsilons,A_0,E/M,Rounds
0.1,-0.16951240812718155,-0.016628086939643762,0.9915243795936409,20
0.2,-0.17739306460816434,-0.035280887027666546,0.9822606935391835,20
0.3,-0.1868275653657338,-0.056613255901756795,0.9719758651951399,21
0.4,-0.19853919427381211,-0.08170576739778777,0.9602921611452375,24
0.5,-0.21389878326318673,-0.11255466404941028,0.9465253041842033,27
0.6,-0.2361826163650008,-0.15372818612510997,0.9291452150904997,33
0.7,-0.2784790424107936,-0.22251688790563026,0.9025323351562222,55
