,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U Bar of 0.5,A of 0.5,B of 0.5,U Bar of 0.7,A of 0.7,B of 0.7,U Bar of 0.74,A of 0.74,B of 0.74,U Bar of 0.742,A of 0.742,B of 0.742,U Bar of 0.7427,A of 0.7427,B of 0.7427
0,0.0,0.0,-0.016627168235520053,0.0,0.0,-0.03527662138837654,0.0,0.0,-0.11251734390233394,0.0,0.0,-0.22220796958871908,0.0,0.0,-0.29367142591225237,0.0,0.0,-0.3062998024950677,0.0,0.0,-0.3165493785957955,0.0
1,0.013324450366422385,0.003326034415718747,-0.01662716600985574,2.7422777905674986e-07,0.0035564544751388117,-0.03527661059082704,6.212949300500489e-07,0.004687063923025115,-0.11251719415742885,2.6035781093725306e-06,0.006914915571891814,-0.2222070626827399,7.607375061573233e-06,0.00889494931978703,-0.2936693142168338,1.3023939347857006e-05,0.009298725756846612,-0.3062973852911305,1.4224796285223336e-05,0.009639687745577719,-0.3165466879162627,1.526250250141519e-05
2,0.02664890073284477,0.00665187645011133,-0.016626885105242524,8.226519756894532e-07,0.007112687696814109,-0.03527595690408185,1.8638093413871433e-06,0.009373731695554393,-0.11251414136072854,7.81032663889041e-06,0.013828915423848736,-0.22219673474921428,2.282038265035878e-05,0.01778830623891891,-0.2936499557077187,3.906793845008423e-05,0.018595694450776096,-0.30627590951024647,4.2669944101856325e-05,0.019277472076067552,-0.31652335410777577,4.578254829203768e-05
3,0.039973351099267154,0.009977333745596093,-0.016626416952521605,1.736608601485166e-06,0.010668478440170747,-0.03527486748026113,3.934465120288894e-06,0.01405960723011449,-0.11250905370918171,1.6487147404540735e-05,0.020741084041658205,-0.22217952336238245,4.817070183382765e-05,0.02667847882215609,-0.2936176962349471,8.246413640431905e-05,0.027889149558644855,-0.30624012207046525,9.00665294174293e-05,0.028911450185668423,-0.3164844707175603,9.663590679678339e-05
4,0.05329780146568954,0.013302213992059336,-0.016625761584225556,3.015971892990953e-06,0.014223605537567937,-0.03527334240092922,6.83295877072388e-06,0.018744294565178593,-0.11250193172556176,2.863237962666329e-05,0.027650506321162643,-0.22215543135559912,8.365111457053679e-05,0.035563876060144564,-0.2935725431128017,0.00014319630911012167,0.037177335630729946,-0.30619003156690755,0.00015639593611432525,0.03853972047992146,-0.3164300475332001,0.00016780178201669757
5,0.06662225183211193,0.016626324950597977,-0.016624919045915093,4.660565879692066e-06,0.017777847907161245,-0.035271381780371217,1.0558865797107666e-05,0.023427397928174432,-0.11249277614356103,4.424370415145053e-05,0.0345562677742762,-0.22212446271059966,0.0001292515652741952,0.04444290833629148,-0.29351450662371165,0.00022124188950223132,0.04645849883237291,-0.3061256500829414,0.000241632276976956,0.048160383187287555,-0.3163600983146898,0.00025925126180624774
6,0.07994670219853431,0.01994947447722288,-0.01662388939615493,6.67016438915599e-06,0.021330984581488795,-0.03526898576548684,1.5111640622891748e-05,0.0281085217984109,-0.1124815879061182,6.33181408367302e-05,0.04145745473407785,-0.22208662254350547,0.00018495913593387462,0.05331398789022096,-0.2934435999770262,0.0003165718925679626,0.05573088748136104,-0.30604699314089523,0.0003457423039408701,0.05777154096562191,-0.31627464073757633,0.0003709472142951735
7,0.0932711525649567,0.023271470546550592,-0.01662267270650451,9.044491096113266e-06,0.024882794736006478,-0.035266154535765495,2.049061670490651e-05,0.032787270969957295,-0.11246836816521616,8.58520490924703e-05,0.04835315455984531,-0.22204191710329452,0.00025075804813819066,0.062175529281282706,-0.2933598393039105,0.0004291509200676797,0.06499275258538953,-0.30595407969575406,0.0004686854136450782,0.06737129950879708,-0.31617369638547743,0.0005028442942460561
8,0.10659560293137908,0.026592121275467475,-0.0166212690615071,1.1783219585772492e-05,0.028433057717620103,-0.0352628883032584,2.6695006690460727e-05,0.03746325061446014,-0.11245311828167473,0.00011184112885079752,0.055242455841960476,-0.22199035377021253,0.0003266296682518981,0.07102594985181375,-0.2932632436518055,0.0005589371743486352,0.07424234837926409,-0.3058469321282604,0.0006104136638413063,0.076957768153006,-0.31605729074183947,0.0006548889619281165
9,0.11992005329780146,0.029911234946769717,-0.016619678558676857,1.4885973429168828e-05,0.03198155307316368,-0.03525918731254487,3.372390260570289e-05,0.042136066343895,-0.11243583982489068,0.000141280421762247,0.062124448606637996,-0.22193194105374567,0.000412552513972931,0.07986367019005366,-0.2931538349774032,0.0007058824759851941,0.08347793286167232,-0.305725576236184,0.0007708717943612476,0.08652906048258457,-0.31592545317952475,0.0008270195072411076
10,0.13324450366422386,0.03322862003276518,-0.01661790130848375,1.835232627016008e-05,0.03552806057784455,-0.03525505184069293,4.1576276073467767e-05,0.04680532427322708,-0.11241653457252783,0.00017416431258668598,0.06899822452044138,-0.22186668859019057,0.0005085022619975678,0.08868711459264676,-0.2930316381382634,0.0008699322844390545,0.0926977683314836,-0.3055900412239139,0.0009499972516780797,0.09608329493527996,-0.31577821694841046,0.001019166077978073
11,0.14656895403064624,0.036544085218839235,-0.01661593743433644,2.2181801923946643e-05,0.03907236026363062,-0.03525048219721433,5.025097856008172e-05,0.05147063108299121,-0.11239520451016088,0.00021048653077170655,0.07586287709456557,-0.2217946071398551,0.0006144517567332298,0.09749471152663407,-0.2928966808831754,0.0010510257215639784,0.10190012192346014,-0.30544035969049926,0.001147720216853481,0.10561859540689303,-0.3156156191611447,0.0012312507119871606
12,0.15989340439706862,0.03985743942695388,-0.01661378707256315,2.6373874487112138e-05,0.04261423244760463,-0.03524547872401427,5.974674165102129e-05,0.05613159408174487,-0.11237185183087496,0.00025024015221617,0.08271750188881857,-0.22171570858390735,0.0007303710200415179,0.10628489409089606,-0.2927489938413207,0.0012490955979080993,0.11108326614333831,-0.30527656761620575,0.0013639636368150717,0.11513309185513379,-0.3154377007771392,0.001463187373170091
13,0.173217854763491,0.043168491839138866,-0.01661145037239051,3.092796845907759e-05,0.04615345776023781,-0.03524004179533574,7.006217735522974e-05,0.060787821268413963,-0.1123464789348218,0.0002934176012177298,0.08956119671533817,-0.22163000592088244,0.00085622726200486,0.11505610047696596,-0.29258861051026663,0.0014640684417996127,0.12024547940215813,-0.3050987043476244,0.0015986432589486464,0.12462492090266121,-0.31524450658484,0.001714881991300287
14,0.1865423051299134,0.04647705192089714,-0.0166089274959204,3.584345887498241e-05,0.04968981717360988,-0.03523417181769854,8.119577843800723e-05,0.06543892139451667,-0.11231908842873328,0.00034001065260354354,0.09639306184194091,-0.22153751326285281,0.0009919848927133948,0.12380677442916158,-0.29241556724280876,0.001695864531211618,0.12938504654977115,-0.3049068125813547,0.0018516676690012955,0.1340922264391843,-0.3150360851823038,0.0019862325056576443
15,0.19986675549633579,0.04978292944454881,-0.0166062186181048,4.1119671449889894e-05,0.05322309202955821,-0.035227869229833134,9.314591878237833e-05,0.07008450402621726,-0.11228968312539278,0.00039001043404346554,0.10321220019510335,-0.2214382458312654,0.0011376055350695116,0.13253536570389787,-0.2922299032326741,0.0019443979284048437,0.1385002594074429,-0.3047009383462765,0.0021229383322954602,0.14353316022249235,-0.3148124889560957,0.002277128912481299
16,0.21319120586275817,0.05308593451253467,-0.01660332392671866,4.675588273433777e-05,0.05675306406774225,-0.03522113450260916,0.00010591085377873791,0.07472417960624828,-0.11225826604306444,0.0004434074285448838,0.11001771756253849,-0.22133221995244834,0.0012930480386076878,0.14124033052817472,-0.2920316604990946,0.002209576517348168,0.1475894172994583,-0.30448113098442275,0.0024123496382553967,0.15294588247835325,-0.3145737740585237,0.002587453316243494
17,0.22651565622918055,0.05638587758062897,-0.016600243622330795,5.2751320281081764e-05,0.060279515453643275,-0.03521396813895881,0.00011948872074271103,0.07935755951565869,-0.11222484040488075,0.000500191477128453,0.11680872279534542,-0.22121945305278923,0.0014582684943273405,0.14992013205711988,-0.29182088387025784,0.002491302043917108,0.15665082758359844,-0.30424744313046265,0.002719788948247791,0.16232856249913047,-0.31432000038322105,0.002917079984748135
18,0.23984010659560293,0.05968256948108894,-0.0165969779182728,5.910516282308446e-05,0.06380222880644489,-0.03520637067379501,0.00013387753936105538,0.08398425613538019,-0.11218940963818867,0.000560351781683943,0.12358432800965437,-0.2210999636535869,0.0016332202505361481,0.15857324083050772,-0.29159762096564307,0.002789470158870372,0.1656828061804423,-0.3039999306898043,0.0030451366467382996,0.17167937924102558,-0.31405123153908837,0.0032658754080577383
19,0.25316455696202533,0.06297582144571832,-0.016593527040606012,6.581654046259187e-05,0.06732098722685914,-0.03519834267392441,0.0001490752121654532,0.0886038829076019,-0.1121519773738544,0.0006238769080051607,0.13034364878779553,-0.22097377136557844,0.0018178539297011341,0.16719813522816226,-0.2913619221772493,0.0031039704636042715,0.17468367810132468,-0.30373865281532636,0.0033882661957655136,0.18099652191978832,-0.31376753482260666,0.0036336983612520737
20,0.2664890073284477,0.06626544512886476,-0.016589891228086538,7.288453487131793e-05,0.07083557432481365,-0.035189884737955285,0.0001650795250340216,0.0932160543969513,-0.11211254744552707,0.0006907547890031411,0.1370858043788898,-0.2208408968831433,0.0020121174463046177,0.17579330192416934,-0.2911138406497225,0.0034346865586844513,0.18365177797491458,-0.303463671882748,0.003749044192733455,0.19027819060480472,-0.31346898118853256,0.0040203999710214655
21,0.2798134576948701,0.06955125263029481,-0.016586070732128314,8.030817950157305e-05,0.07434577424706433,-0.035180997496200246,0.0001818881477203752,0.09782038635144549,-0.1120711238888615,0.0007609727280964904,0.1438099178988656,-0.22070136197818602,0.0022159560257018628,0.18435723633977458,-0.2908534322593894,0.0037814960951539434,0.19258545057221108,-0.30317505346464624,0.004127330431523253,0.19952259681139192,-0.3131556452189882,0.004425823786097195
22,0.2931379080612925,0.0728330565180206,-0.01658206581676424,8.808645980835412e-05,0.07785137170468556,-0.035171681610573935,0.00019949863441007533,0.10241649576322542,-0.11202771094070044,0.000834517402777859,0.15051511652985233,-0.22055518949369993,0.0024293122239769874,0.1928884430948861,-0.29058075559220586,0.004144270828615899,0.20148305132990732,-0.3028728663031317,0.00452297796692388,0.20872796409116795,-0.3128276050909575,0.004849805851520559
