,U Bar of 0.1,U Bar of 0.22,U Bar of 0.33999999999999997,U Bar of 0.45999999999999996,U Bar of 0.58,U Bar of 0.7,A of 0.1,A of 0.22,A of 0.33999999999999997,A of 0.45999999999999996,A of 0.58,A of 0.7,B of 0.1,B of 0.22,B of 0.33999999999999997,B of 0.45999999999999996,B of 0.58,B of 0.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01663448810999093,-0.03932594855188824,-0.0661602595872768,-0.09941943343200474,-0.14446722741369916,-0.22352487318488945,0.0,0.0,0.0,0.0,0.0,0.0
0.0998003992015968,0.024923021281632624,0.02704262979889406,0.02977433778287948,0.03353463903206662,0.039375831622898726,0.05213165205701674,-0.01663436299805615,-0.03932518240470477,-0.06615784406019924,-0.09941319861036338,-0.14445144808748833,-0.22347293233947702,1.5397624365991927e-05,3.9435303808156236e-05,7.293994085782253e-05,0.00012330787846793939,0.0002103160854456192,0.0004321304991783131
0.1996007984031936,0.0497651365169883,0.05398930784150356,0.059431221115197136,0.06691821862702317,0.07853884285942977,0.10387261082647564,-0.016618590538276527,-0.03928345203293366,-0.06607766946878398,-0.09927122183493808,-0.14419390378480615,-0.22288549538494695,4.609412307538958e-05,0.00011803377050283388,0.000218270398717695,0.00036888662735062264,0.0006288881509828382,0.0012908017221509819
0.29940119760479045,0.07444599971311863,0.08074478591711598,0.08885411956842036,0.10000098151391455,0.11727830746725484,0.15483716784791798,-0.01659237122732262,-0.039214098138367966,-0.0659444649771148,-0.09903544278014008,-0.14376651428866474,-0.22191233530360724,9.699256507655636e-05,0.0002483073397141189,0.00045902464937290765,0.0007754190525441323,0.0013210052869138877,0.0027069571018270306
0.3992015968063872,0.09888637837654671,0.10721521457964647,0.11792833968994156,0.13263575873675212,0.15538766029510354,0.2046495097782372,-0.01655580689130122,-0.03911741568933696,-0.0657588622463157,-0.09870714371355822,-0.14317208857912553,-0.22056246197426616,0.0001677022075165494,0.00042917574479522957,0.0007930136347852727,0.0013387548482087185,0.002278374762009102,0.004657895405439046
0.499001996007984,0.12300869392119679,0.13330882231452473,0.146541917762499,0.16467922967532944,0.19266652923816643,0.2529485819854028,-0.016509038915879386,-0.03899381428098879,-0.06552173835099137,-0.09828810451528984,-0.14241452214268005,-0.2188483298822581,0.00025768326318238954,0.0006591482894920705,0.0012172206486989927,0.0020531845654090906,0.0034896178427678047,0.0071126323643114645
0.5988023952095809,0.14673754274329837,0.15893657053227028,0.1745864810815959,0.19599313829375245,0.22892269807144966,0.29939278596284347,-0.01645224697261384,-0.03884381402799654,-0.065234205910862,-0.09778057984957886,-0.14149873800885976,-0.21678558792823777,0.00036625369590972566,0.000936343122270765,0.0017278416871105997,0.0029115196084592574,0.004940441256612604,0.01003245155864044
0.6986027944111777,0.17000019205552497,0.18401277700898047,0.20195806823753887,0.22644545272325453,0.26397398086525575,0.3436644687499392,-0.01638564748063417,-0.03866804082815923,-0.06489760215772591,-0.09718727468440067,-0.1404306248923164,-0.21439281691341863,0.000492597861688651,0.0012585122361840528,0.0023203389582225503,0.003905201057452617,0.006613877694674455,0.01337170938981955
0.7984031936127745,0.19272704498692142,0.2084557007517912,0.22855789893428652,0.25591145421634615,0.2976499833078011,0.3854741262981481,-0.01630949177394007,-0.03846722072614347,-0.06451347593867782,-0.09651131521715559,-0.1392169638053723,-0.21169121916981368,0.0006357767375244753,0.001623071099780269,0.002989504411317046,0.005024429177724436,0.008490573153627563,0.017078804802924414
0.8982035928143712,0.21485206997464387,0.23218808184290063,0.2542930844686157,0.2842747419413557,0.3297937256847774,0.42456423287443873,-0.01622406399855328,-0.03824217344715882,-0.06408357280813029,-0.09575621553918306,-0.13786534401738118,-0.20870426519599908,0.0007947395393677146,0.0020271323137570187,0.003729531923798735,0.006258310720125766,0.010549114450390135,0.021097290254100582
0.998003992015968,0.23631319007030424,0.2551376304857332,0.2790772707006375,0.3114281406633729,0.36026310189526395,0.4607125997431678,-0.016129678769031264,-0.03799380519341108,-0.06360981842909448,-0.0949258405540126,-0.13638406976730705,-0.2054573047406139,0.0009683365137349552,0.0024675426581551863,0.0045340967601857525,0.007595021132649741,0.012766390344675133,0.025367099269257995
1.0978043912175648,0.2570526284454749,0.2772374602370743,0.3028312061928352,0.33727449918824237,0.3889321491596192,0.49373516168499915,-0.01602667861669172,-0.037723100805549636,-0.06309430052786029,-0.09402436572467127,-0.1347820593236737,-0.20197715096567087,0.0011553326712759584,0.0029409228465521386,0.005396440805751597,0.009021978538289618,0.01511797888716888,0.029825860289814637
1.1976047904191618,0.27701720709331745,0.29842646124868566,0.3254832291824199,0.3617273685797692,0.4156921042392571,0.5234880914246671,-0.01591543126401921,-0.037431115398268204,-0.06253924966398132,-0.09305623427231784,-0.13306873814038264,-0.19829164734088664,0.0013544222192274466,0.0034437092671898875,0.006309461984379546,0.010526026085370644,0.017578552771287132,0.03441026054126374
1.2974051896207586,0.2961585964710355,0.3186496102478349,0.3469696681772114,0.38471155062726586,0.4404522242213425,0.5498691512925163,-0.015796326761196553,-0.03711896558423222,-0.06194701909095124,-0.09202611248602728,-0.13125392798544316,-0.19442922773050345,0.0015642434441040694,0.003972196970574793,0.0072658062102957,0.012093619092566682,0.020122293768685642,0.039057418543078384
1.3972055888223553,0.31443351459509017,0.3378582149427595,0.36723515221775554,0.40616350885275937,0.46314035333179165,0.5728182092809924,-0.01566977452150784,-0.03678782040347361,-0.061320063991643275,-0.09093884382963158,-0.1293477340123276,-0.19041848062557964,0.0017833937961632374,0.004522583159725908,0.008257960201146086,0.013711013309230243,0.022723306855027724,0.04370622043149748
1.4970059880239521,0.33180387487173874,0.3560100915288497,0.38623282821089916,0.4260316364935221,0.48370322184635917,0.5923168729743559,-0.015536200292495419,-0.03643889207623698,-0.06066092037604762,-0.0897994025442591,-0.12736043179107176,-0.1862877285498006,0.0020104449329458314,0.005091010452860955,0.009278343497109933,0.015364450603499839,0.025356024445817943,0.04829857418481066
1.596806387225549,0.3482368827036483,0.37306967497499405,0.40392448418807275,0.44427637834087425,0.5021064688880381,0.6083872284357411,-0.015396043099238326,-0.036073426695979356,-0.0599721839268684,-0.0886128474433207,-0.12530235631116127,-0.18206463325633876,0.002243957490166302,0.005673609218221127,0.01031939808756117,0.017040338482682518,0.02799559131002367,0.05278053761664851
1.6966067864271457,0.36370508164415793,0.3890080627666587,0.42028057884377273,0.4608702060003658,0.5183343875388737,0.6210897097527804,-0.015249752194990755,-0.03569269497588087,-0.05925648907110786,-0.08738427657947022,-0.12318379490606207,-0.1777758364079607,0.00248249536388655,0.006266538325770645,0.011373674141947756,0.01872542004503603,0.030618221239646477,0.05710328083465495
1.7964071856287425,0.3781863505598926,0.40380299375191625,0.4352801792297524,0.4757974489794489,0.532389397966603,0.6305201654049423,-0.01509778405272563,-0.03529798315693791,-0.058516488543024776,-0.08611878343044174,-0.12101488592842242,-0.17344664401136833,0.002724639307621396,0.006866023719037826,0.012433910472390602,0.020406931256780683,0.03320151742990244,0.06122385159069601
1.8962075848303392,0.3916638538975754,0.41743876465788143,0.44891080997753907,0.48905398690610136,0.5442912618021017,0.6368062262376494,-0.014940599428933282,-0.03489058417865218,-0.0577548336861323,-0.08482141520319779,-0.11880552482737432,-0.16910076102917204,0.002968999671063754,0.0074683942803769575,0.013493108517990238,0.02207274283523719,0.03572474974358561,0.06510572204920767
1.996007984031936,0.40412594772099436,0.4299060876977901,0.46116821885306086,0.500646811023169,0.554076058382435,0.6401031129037305,-0.014778660528399714,-0.03447178920471379,-0.05697415571968194,-0.08349713379472473,-0.11656527905041003,-0.16476008043418863,0.0032142281326975348,0.008070114542100038,0.014544598829711021,0.023711484485587627,0.038169083543715156,0.06871910713453891
2.095808383233533,0.41556604468052916,0.44120189345504235,0.4720560647701992,0.5105934657717143,0.5617949502628288,0.64058904496576,-0.014612428295712184,-0.034042879586152604,-0.05617704816899681,-0.08215077987490828,-0.11430331292075199,-0.1604445286499603,0.0034590283058692196,0.008667813881709058,0.015582099243698959,0.02531264976749332,0.04051775650580468,0.07204105674567986
