,ZETA,U Bar of 0.74,A of 0.74,B of 0.74,U Bar of 0.74005,A of 0.74005,B of 0.74005,U Bar of 0.7401,A of 0.7401,B of 0.7401,U Bar of 0.74016,A of 0.74016,B of 0.74016,U Bar of 0.74021,A of 0.74021,B of 0.74021,U Bar of 0.74026,A of 0.74026,B of 0.74026,U Bar of 0.74031,A of 0.74031,B of 0.74031,U Bar of 0.74037,A of 0.74037,B of 0.74037,U Bar of 0.74042,A of 0.74042,B of 0.74042,U Bar of 0.74047,A of 0.74047,B of 0.74047
0,0.0,0.0,-0.3074571833221495,0.0,0.0,-0.30804866111733237,0.0,0.0,-0.30867579843667386,0.0,0.0,-0.3094849992748783,0.0,0.0,-0.3102195692897346,0.0,0.0,-0.31102097392954453,0.0,0.0,-0.3119177639043181,0.0,0.0,-0.31317842949955815,0.0,0.0,-0.3144994105481401,0.0,0.0,-0.3164494530728095,0.0
1,0.0998003992015968,0.07014036891830684,-0.30731916290322364,0.0008068114085080524,0.07028697214112467,-0.30790977599148933,0.0008101213680155936,0.07044274957375458,-0.3085359916501505,0.0008136427344523288,0.07064425781239438,-0.309343995904736,0.0008182044235702343,0.07082768474525848,-0.3100774724587793,0.0008223631492603393,0.07102832383335642,-0.31087767631992297,0.0008269193122137725,0.07125352420436645,-0.31177311276399267,0.000832041810908967,0.07157129526861868,-0.3130318580133887,0.000839285659092801,0.07190577990330742,-0.31435080454919534,0.0008469302415186927,0.07240238469565202,-0.31629780157208987,0.0008583172938872264
2,0.1996007984031936,0.13952945445142753,-0.30610031542040145,0.0024061738469131526,0.13981916525477545,-0.30668504280342646,0.002416012705101653,0.1401269954596073,-0.3073049917637719,0.0024264796979015517,0.14052517815434834,-0.3081048701895381,0.002440038553567494,0.14088761654700296,-0.30883093113772164,0.0024523992566646835,0.1412840481380383,-0.3096230024159754,0.0024659407913207947,0.14172898800201922,-0.3105092851171698,0.0024811649906741865,0.14235678675521338,-0.31175506736284414,0.0025026928866828586,0.14301755754971132,-0.31306031046124566,0.002525410436886076,0.14399850432313316,-0.31498685140963306,0.0025592471168799755
3,0.29940119760479045,0.20742915461175576,-0.304086658547685,0.005033572250226111,0.2078550749331251,-0.30466170994633046,0.005054048769117518,0.20830760819409316,-0.3052713570254828,0.005075831668730669,0.2088929274675305,-0.3060578780155545,0.005104047702205856,0.20942566525516346,-0.3067717496875049,0.005129769039230729,0.21000832712438952,-0.30755045390721614,0.005157946119231214,0.2106622328400939,-0.30842169205608877,0.005189622644770516,0.21158478359134422,-0.30964617074560086,0.0052344118014114056,0.21255566838230755,-0.3109288955797082,0.005281671888985678,0.21399677026635158,-0.3128218260092777,0.005352055558611204
4,0.3992015968063872,0.2731274840861324,-0.3013053756577389,0.00863071605019033,0.27367949767495275,-0.3018671653329654,0.008665565134983394,0.2742659560606717,-0.30246269380910235,0.008702635369452386,0.2750244262219173,-0.3032309100705608,0.008750650198035156,0.27571468966558227,-0.30392807928830956,0.008794416539982287,0.276469562695987,-0.3046884687698814,0.008842357904618263,0.277316640520152,-0.30553909577233185,0.008896248832352153,0.278511552274682,-0.3067343920259143,0.008972440048751402,0.2797688493137493,-0.30798627504116655,0.009052824309989424,0.2816346645838413,-0.3098331800206026,0.009172519725798774
5,0.499001996007984,0.33595146522304903,-0.29779379771008213,0.013118640759865765,0.3366165128426127,-0.29833901852877825,0.013171095876047836,0.33732298423473195,-0.2989169092182157,0.013226889960649593,0.3382365545858168,-0.2996622606405382,0.013299150048866257,0.3390678591564596,-0.3003385689228275,0.013365009842052822,0.3399768538028173,-0.301076086449951,0.013437145175590389,0.3409967269917376,-0.3019009770577817,0.013518223659279835,0.34243511624463885,-0.30305984034507955,0.013632836761381214,0.34394825741336454,-0.3042732264766794,0.013753737066528451,0.3461930887897968,-0.3060626970727821,0.013933723878877535
6,0.5988023952095809,0.39527949191470235,-0.29359837308957204,0.018399505767861327,0.3960419326264704,-0.29412406046617273,0.018472186482881195,0.39685175669512635,-0.29468115995897337,0.018549486138866308,0.39789881400920274,-0.2953995623295288,0.018649587134388045,0.3988514249269072,-0.2960512870860613,0.018740810627158003,0.3998928884123811,-0.29676185520209586,0.01884071430081239,0.40106117082342935,-0.29755642633842183,0.018952988402698073,0.402708478746186,-0.29867237782951245,0.01911167224515543,0.40444089965656677,-0.2998404327607475,0.01927902576705925,0.4070101050868522,-0.3015622946872585,0.019528101806790227
7,0.6986027944111777,0.4505530310013096,-0.28877356125925835,0.02435927671040616,0.4513950832749702,-0.28927714602622073,0.024454098940184306,0.45228932268987765,-0.28981072306440026,0.02455493549835381,0.45344530458178556,-0.2904986413018632,0.02468549822642937,0.45449679892183453,-0.2911225627928335,0.02480446425488736,0.45564613421273087,-0.2918026573705364,0.024934731119176816,0.4569351302209425,-0.29256295110789454,0.02508110394626748,0.45875211962373263,-0.293630401485552,0.025287938244737292,0.4606623209031052,-0.29474723657032564,0.025506017851012208,0.46349391190672584,-0.2963927373812543,0.02583048602235849
8,0.7984031936127745,0.5012873375225073,-0.2833805387655761,0.030870980502945823,0.5021895904870439,-0.2838598872504405,0.03098909439946072,0.5031475769763712,-0.28436767540697616,0.031114682767178124,0.504385682578544,-0.28502217891216863,0.03127726776314455,0.5055116004283251,-0.28561563077028546,0.03142538590872071,0.5067419831330705,-0.28626233642597604,0.031587546096877306,0.508121498107391,-0.2869850823667106,0.03176972012483044,0.5100654075707223,-0.2879994201752067,0.03202708036608462,0.5121081830544656,-0.2890601858381795,0.03229835233335794,0.5151346736583085,-0.2906221343443729,0.032701809231586734
9,0.8982035928143712,0.5470807999603843,-0.2774857499596404,0.037798441300689836,0.5480227810041239,-0.2779391899858118,0.03794020076053545,0.5490227214697584,-0.2784194152750889,0.03809090720437926,0.5503147000697711,-0.27903821361841286,0.038285973320357464,0.5514892669204994,-0.27959911530313836,0.03846364651345425,0.5527724403961353,-0.2802101608619764,0.038658124844582135,0.5542106793168297,-0.280892815895659,0.038876556749480415,0.5562365023340906,-0.28185046354618964,0.03918505118332363,0.5583642996432949,-0.2828514081013875,0.03951010981949084,0.56151475335494,-0.284324261416648,0.03999335051059203
