,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U Bar of 0.3,A of 0.3,B of 0.3,U Bar of 0.4,A of 0.4,B of 0.4,U Bar of 0.5,A of 0.5,B of 0.5,U Bar of 0.6,A of 0.6,B of 0.6,U Bar of 0.7,A of 0.7,B of 0.7
0,0.0,0.0,-0.016628400460791056,0.0,0.0,-0.03527978316643514,0.0,0.0,-0.0566099650809017,0.0,0.0,-0.08169864169247411,0.0,0.0,-0.11254019330618267,0.0,0.0,-0.15369585523865636,0.0,0.0,-0.22239537330000433,0.0
1,0.03992015968063872,0.009965574002425794,-0.016628380476550582,2.4618509986476312e-06,0.010656147254120674,-0.03527968620972125,5.577785501233787e-06,0.011502730803724404,-0.05660969312647987,9.649165848474933e-06,0.01258252376360457,-0.08169801527272182,1.5216171870446018e-05,0.01404553186654286,-0.11253884812893465,2.337957768443178e-05,0.016258818955397384,-0.1536928959180686,3.6961379927069826e-05,0.020736406833233908,-0.22238720879473992,6.840573279959068e-05
2,0.07984031936127745,0.01992597365257756,-0.01662585868562499,7.383025941901607e-06,0.021306343331799735,-0.03527381762124643,1.672727666626671e-05,0.02299847566984832,-0.056599228303697305,2.8936225613723378e-05,0.025156606991431733,-0.08168092037105172,4.5629213951127925e-05,0.028080404873298406,-0.11251143431979856,7.010586792634559e-05,0.03250306232195324,-0.15364706000692674,0.00011082438458231979,0.04144813412353813,-0.22229432244606598,0.00020507642064614083
3,0.11976047904191617,0.029876030329865157,-0.01662165744401794,1.5578243964356003e-05,0.03194464396448843,-0.035264040998996264,3.529352945500427e-05,0.03448025722777185,-0.05658179537734236,6.105119707022221e-05,0.037713820214575235,-0.08165244410039287,9.626596253950305e-05,0.04209397539010198,-0.11246577228531869,0.00014789493788070396,0.048718178036887896,-0.15357072155202162,0.00023376896492794877,0.06211055218336533,-0.2221396602165643,0.0004324820543453247
4,0.1596806387225549,0.039810586866041796,-0.01661577937087828,2.7037390832678133e-05,0.042565118685284446,-0.035250362909692155,6.125213629561623e-05,0.04594111522116119,-0.056557407110117,0.00010594867281153868,0.05024575606736044,-0.08161260956075815,0.00016704835068807276,0.056075630192122174,-0.11240190412269087,0.00025661321412580025,0.06488966097364195,-0.15346396430052076,0.00040555072072996374,0.08269913064083834,-0.22192345072538033,0.0007500411339270309
5,0.1996007984031936,0.04972450324457592,-0.016608228129688082,4.174634065242037e-05,0.053161857698478046,-0.03523279254243227,9.456902413231585e-05,0.05737411502876922,-0.056526081369345865,0.00016356529728231623,0.06274404029754763,-0.0815614491057111,0.0002578675226841152,0.0700148016185791,-0.11231988881833325,0.0003960745909988609,0.08100307637811333,-0.15332690564493404,0.0006258295040235347,0.10318948819702435,-0.22164601450166713,0.0011569458896251376
6,0.23952095808383234,0.05961266226763635,-0.01659900842177777,5.9686982277334074e-05,0.06372897870989962,-0.03521134168818417,0.0001352005130067293,0.06877235613599235,-0.0564878410782041,0.00023381986485612052,0.07520034271132574,-0.08149900423628902,0.0003685839808786931,0.08390098263746175,-0.11221980201744935,0.0005660406370913765,0.09704408314666826,-0.15315969607353433,0.0008941696935456222,0.12355744197478458,-0.22130776209733535,0.0016521625866975655
7,0.27944111776447106,0.06946997518017127,-0.016588125979764796,8.083725653813024e-05,0.07426063370608434,-0.03518602472247155,0.00018309340865196782,0.08012898054413971,-0.056442714180006494,0.0003166134982508702,0.08760638804019122,-0.08142532553154933,0.0004990279056962225,0.09772374180807178,-0.11210173588526262,0.0007662211731545483,0.11299845695995178,-0.15296251885586742,0.0012100413361719508,0.1437790566151143,-0.22090919299505452,0.0022344346618216626
8,0.3193612774451098,0.07929138724061986,-0.016575587559606083,0.0001051712017782295,0.08475101566968553,-0.03515685858450065,0.00023818511647122676,0.09143718110177862,-0.05639073359532581,0.0004118298696655087,0.09995396670971873,-0.08134047256544033,0.0006489995552771741,0.11147273811409361,-0.11196579894129269,0.0009962749999728052,0.12885211323058818,-0.15273558966739748,0.0015728215989687796,0.16383069302912856,-0.22045089430173723,0.002902286765293083
9,0.3592814371257485,0.08907188322785954,-0.01656140093123766,0.00013265900737703066,0.09519436521865207,-0.0351238627525441,0.0003004037756289814,0.10269020974293068,-0.056331937171358454,0.0005193354611994371,0.11223494549075541,-0.08124451380852031,0.0008182697366623159,0.1251377356408654,-0.11181211586319496,0.0012558107577663848,0.1445911298252365,-0.1524791561447798,0.001981796486978573,0.18368905672305302,-0.21993353920025285,0.0036540295594669325
10,0.3992015968063872,0.0988064928742324,-0.016545574867825152,0.00016326707506755773,0.10558497715699462,-0.03508705921565141,0.0003696684127001101,0.1138813856169889,-0.05626636762369309,0.0006389798633359656,0.12444127801367237,-0.0811375265148554,0.0010065803460551695,0.13870861807067278,-0.11164082726088445,0.0015443879121739754,0.16020176952107618,-0.15219349737354887,0.0024361628160766815,0.20333124560955165,-0.2193578851663394,0.004487765243447348
