,Epsilons,A_0,E/M
0.1,-0.1694997399338581,-0.01662736289166146,0.9915250130033071
0.2,-0.17737122124612847,-0.0352771186320031,0.9822628778753871
0.5,-0.21383845647828384,-0.11252096759060437,0.946540385880429
0.7,-0.27819243900596563,-0.22223731214612885,0.9026326463479121
0.74,-0.3298808114068069,-0.29388406666480715,0.8779440997794814
0.742,-0.34009663569871856,-0.3067511546872686,0.8738241481557754
0.7427,-0.3501108940441615,-0.3190068599707512,0.8699863194967006
