,Epsilons,A_0
0.01,-0.16334697728242353,-0.0015840780665241966
0.1,-0.169589320203715,-0.01663494229463341
0.2,-0.17748348324679966,-0.035297470156617404
0.3,-0.1869443098909989,-0.05664778933073936
0.4,-0.1986909979778753,-0.08176892980193837
0.5,-0.21411704192324188,-0.11267687207575093
0.6,-0.23654965335551664,-0.153997703426452
0.7,-0.2795140285736583,-0.22352603721037664
0.74,-0.34152883647178356,-0.30745619429452326
