# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 2500
# Delta: 0.009996001599360257
# Epsilon convergence tolerance: 1e-06
# Zeta_s: 0.7
# Zeta_s_array: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
#  0.7 ]
# 
# u_bar,  A,  B
#     
5.150763592115166212e-01 -1.978619563970197004e-01 3.303201320895294418e-02
5.179315059257396658e-01 -1.974919937426463379e-01 3.349001250810629271e-02
5.207533688080345780e-01 -1.971202466267685804e-01 3.394871863564154213e-02
5.235418635549137223e-01 -1.967467430698499053e-01 3.440806998300785513e-02
5.262969100099141873e-01 -1.963715111095723775e-01 3.486800511102470385e-02
5.290184321645398091e-01 -1.959945787966429487e-01 3.532846276271123243e-02
5.317063581582992526e-01 -1.956159741906146887e-01 3.578938187603280391e-02
5.343606202779045411e-01 -1.952357253557243655e-01 3.625070159656023500e-02
5.369811549555686403e-01 -1.948538603567472882e-01 3.671236129003725007e-02
5.395679027664438410e-01 -1.944704072548704143e-01 3.717430055485165113e-02
5.421208084251912807e-01 -1.940853941035851349e-01 3.763645923440579050e-02
5.446398207816499637e-01 -1.936988489446000994e-01 3.809877742938216211e-02
5.471248928156278168e-01 -1.933107998037756625e-01 3.856119550989955264e-02
5.495759816308264378e-01 -1.929212746870807849e-01 3.902365412755543633e-02
5.519930484478775545e-01 -1.925303015765734982e-01 3.948609422735044339e-02
5.543760585964853105e-01 -1.921379084264057124e-01 3.994845705949066211e-02
5.567249815067103480e-01 -1.917441231588536132e-01 4.041068419106351450e-02
5.590397906993408439e-01 -1.913489736603745384e-01 4.087271751758307647e-02
5.613204637754369841e-01 -1.909524877776914153e-01 4.133449927440074889e-02
5.635669824049476251e-01 -1.905546933139055377e-01 4.179597204797735194e-02
5.657793323144696407e-01 -1.901556180246387062e-01 4.225707878701265297e-02
5.679575032741347451e-01 -1.897552896142058187e-01 4.271776281342828940e-02
5.701014890836203497e-01 -1.893537357318186010e-01 4.317796783320032583e-02
5.722112875573081014e-01 -1.889509839678218395e-01 4.363763794703755944e-02
5.742869005085666778e-01 -1.885470618499625328e-01 4.409671766090204892e-02
5.763283337331681633e-01 -1.881419968396930431e-01 4.455515189636813367e-02
5.783355969918659856e-01 -1.877358163285093029e-01 4.501288600081634200e-02
5.803087039921032142e-01 -1.873285476343246603e-01 4.546986575745873282e-02
5.822476723688899680e-01 -1.869202179978805556e-01 4.592603739519223599e-02
5.841525236648434927e-01 -1.865108545791945849e-01 4.638134759827670928e-02
5.860232833093668159e-01 -1.861004844540468384e-01 4.683574351583446455e-02
5.878599805970433634e-01 -1.856891346105054852e-01 4.728917277116811285e-02
5.896626486651616039e-01 -1.852768319454922152e-01 4.774158347089362681e-02
5.914313244704797468e-01 -1.848636032613884261e-01 4.819292421388571279e-02
5.931660487651163605e-01 -1.844494752626828493e-01 4.864314410003262729e-02
5.948668660717251200e-01 -1.840344745526614201e-01 4.909219273879753681e-02
5.965338246578031356e-01 -1.836186276301401132e-01 4.954002025758393046e-02
5.981669765092713087e-01 -1.832019608862414106e-01 4.998657730990241355e-02
5.997663773032492207e-01 -1.827845006012150941e-01 5.043181508333640511e-02
6.013320863800877270e-01 -1.823662729413040584e-01 5.087568530730442184e-02
6.028641667146394933e-01 -1.819473039556558924e-01 5.131814026061662370e-02
6.043626848867954537e-01 -1.815276195732806463e-01 5.175913277882352587e-02
6.058277110512734209e-01 -1.811072456000555331e-01 5.219861626135489235e-02
6.072593189067042596e-01 -1.806862077157772306e-01 5.263654467844672974e-02
6.086575856640029647e-01 -1.802645314712622016e-01 5.307287257785473639e-02
