# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 1500
# Delta: 0.016655562958027982
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.7
# Zeta_s_array: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
#  0.7 ]
# Epsilon array: [-0.16340164 -0.16601524 -0.16950475 -0.17327514 -0.17737296 -0.18185627
#  -0.18679855 -0.19230023 -0.19849603 -0.20557908 -0.21383644 -0.2237292
#  -0.23607626 -0.2525821  -0.27809189]
# 
# u_bar,  A,  B
#     
5.207180080387808774e-01 -1.971504877974746273e-01 3.394324670570707941e-02
5.253474966749294151e-01 -1.965271074970326159e-01 3.470904443633515690e-02
5.298839661395026157e-01 -1.958989774848866883e-01 3.547635365892574250e-02
5.343270835137684527e-01 -1.952662276124158547e-01 3.624489180956113471e-02
5.386765478527668627e-01 -1.946289877571164284e-01 3.701437795517863172e-02
5.429320901563424728e-01 -1.939873877694886228e-01 3.778453295423828129e-02
5.470934733213165257e-01 -1.933415574203376508e-01 3.855507961523801930e-02
5.511604920748857106e-01 -1.926916263485265179e-01 3.932574285292003702e-02
5.551329728891047921e-01 -1.920377240092167315e-01 4.009624984201459047e-02
5.590107738765340839e-01 -1.913799796226330618e-01 4.086633016836977578e-02
5.627937846670020283e-01 -1.907185221233881622e-01 4.163571597731841739e-02
5.664819262655856891e-01 -1.900534801104017957e-01 4.240414211913636627e-02
5.700751508918106003e-01 -1.893849817974491423e-01 4.317134629144966235e-02
5.735734418002302881e-01 -1.887131549643722150e-01 4.393706917845168619e-02
5.769768130824369790e-01 -1.880381269089870522e-01 4.470105458679549115e-02
5.802853094506600362e-01 -1.873600243997191328e-01 4.546304957803043445e-02
5.834990060031295389e-01 -1.866789736289986013e-01 4.622280459745684023e-02
5.866180079713525508e-01 -1.859951001674457760e-01 4.698007359927706961e-02
