# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 1500
# Delta: 0.016655562958027982
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.74
# Zeta_s_array: [0.01  0.05  0.1   0.15  0.2   0.25  0.3   0.35  0.4   0.45  0.5   0.55
#  0.6   0.65  0.7   0.705 0.71  0.715 0.72  0.725 0.73  0.735 0.74 ]
# Epsilon array: [-0.27817853 -0.28177202 -0.28571246 -0.29007634 -0.29498559 -0.30062958
#  -0.30732953 -0.31570503 -0.32723385  0.          0.          0.
#   0.          0.          0.          0.          0.          0.
#   0.          0.          0.          0.          0.        ]
# 
# u_bar,  A,  B
#     
6.652208635284676541e-01 -1.785651855959534962e-01 1.053958425624957063e-01
6.628038983148840657e-01 -1.775704906912738135e-01 1.057750578142655495e-01
6.603273247663625778e-01 -1.765811538810155568e-01 1.061400173262634500e-01
6.577928531942318635e-01 -1.755972327972507296e-01 1.064908375732661894e-01
6.552021812983389593e-01 -1.746187818836261452e-01 1.068276404090135329e-01
6.525569933871495643e-01 -1.736458524538254666e-01 1.071505528143175262e-01
6.498589596325000661e-01 -1.726784927507939438e-01 1.074597066470864282e-01
6.471097353589184697e-01 -1.717167480066324747e-01 1.077552383945859921e-01
6.443109603673579100e-01 -1.707606605030691227e-01 1.080372889282441157e-01
6.414642582931644466e-01 -1.698102696324194361e-01 1.083060032612880724e-01
6.385712359980442177e-01 -1.688656119589490856e-01 1.085615303094870088e-01
6.356334829956858945e-01 -1.679267212805543308e-01 1.088040226552559331e-01
6.326525709106923800e-01 -1.669936286906797407e-01 1.090336363153600885e-01
6.296300529704730309e-01 -1.660663626403941773e-01 1.092505305124423926e-01
6.265674635295522821e-01 -1.651449490005493237e-01 1.094548674505801261e-01
6.234663176259065409e-01 -1.642294111239479271e-01 1.096468120950607472e-01
6.203281105687159513e-01 -1.633197699074513953e-01 1.098265319565503578e-01
6.171543175570515238e-01 -1.624160438539597184e-01 1.099941968798130304e-01
6.139463933288189512e-01 -1.615182491341992377e-01 1.101499788371232830e-01
6.107057718394247603e-01 -1.606263996482565348e-01 1.102940517264992398e-01
6.074338659693935272e-01 -1.597405070867999877e-01 1.104265911748690820e-01
6.041320672603898156e-01 -1.588605809919332867e-01 1.105477743462688067e-01
6.008017456788489197e-01 -1.579866288176276223e-01 1.106577797551558662e-01
5.974442494065101972e-01 -1.571186559896827761e-01 1.107567870849093250e-01
5.940609046571925234e-01 -1.562566659651697387e-01 1.108449770115743360e-01
5.906530155189479991e-01 -1.554006602913101109e-01 1.109225310328962322e-01
5.872218638209176778e-01 -1.545506386637507390e-01 1.109896313026775549e-01
5.837687090240901711e-01 -1.537065989841941982e-01 1.110464604704795577e-01
5.802947881351474546e-01 -1.528685374173485712e-01 1.110932015266790224e-01
5.768013156426958776e-01 -1.520364484471629085e-01 1.111300376528803896e-01
5.732894834749964197e-01 -1.512103249323164811e-01 1.111571520776735572e-01
5.697604609784867602e-01 -1.503901581609332072e-01 1.111747279377181680e-01
5.662153949162340716e-01 -1.495759379044943327e-01 1.111829481441260759e-01
5.626554094856085486e-01 -1.487676524709254933e-01 1.111819952541055478e-01
5.590816063543073700e-01 -1.479652887568357056e-01 1.111720513478227645e-01
5.554950647140162179e-01 -1.471688322988887743e-01 1.111532979104288832e-01
5.518968413509058868e-01 -1.463782673242894072e-01 1.111259157191937796e-01
