# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 2500
# Delta: 0.009996001599360257
# Epsilon convergence tolerance: 1e-06
# Zeta_s: 0.5
# Zeta_s_array: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5 ]
# 
# u_bar,  A,  B
#     
-1.756741538195399910e-01 -1.110471695467428882e-01 2.482933133408439345e-03
-1.789729435079716047e-01 -1.109896683694531344e-01 2.578869184083002874e-03
-1.822633813291675564e-01 -1.109311092469591337e-01 2.676485052561930651e-03
-1.855453201465090407e-01 -1.108714954857459578e-01 2.775770498840523029e-03
-1.888186135770892060e-01 -1.108108304483887280e-01 2.876715117762467053e-03
-1.920831160043608432e-01 -1.107491175531741534e-01 2.979308340651478770e-03
-1.953386825907434676e-01 -1.106863602737161167e-01 3.083539436967785031e-03
-1.985851692901161869e-01 -1.106225621385653196e-01 3.189397515989165523e-03
-2.018224328602176154e-01 -1.105577267308130301e-01 3.296871528516221502e-03
-2.050503308749742903e-01 -1.104918576876890851e-01 3.405950268601552061e-03
-2.082687217367230337e-01 -1.104249587001540356e-01 3.516622375302533906e-03
-2.114774646883135489e-01 -1.103570335124856305e-01 3.628876334457340359e-03
-2.146764198251750466e-01 -1.102880859218597354e-01 3.742700480483876491e-03
-2.178654481072155036e-01 -1.102181197779256300e-01 3.858082998201301655e-03
-2.210444113706784008e-01 -1.101471389823758112e-01 3.975011924673778167e-03
-2.242131723398587406e-01 -1.100751474885103692e-01 4.093475151076106551e-03
-2.273715946387372955e-01 -1.100021493007960205e-01 4.213460424580883074e-03
-2.305195428024986448e-01 -1.099281484744198123e-01 4.334955350266819600e-03
-2.336568822889540376e-01 -1.098531491148376366e-01 4.457947393047867989e-03
-2.367834794898437956e-01 -1.097771553773175535e-01 4.582423879622769120e-03
-2.398992017420391587e-01 -1.097001714664780359e-01 4.708372000444649257e-03
-2.430039173386409068e-01 -1.096222016358212453e-01 4.835778811710302050e-03
-2.460974955399395370e-01 -1.095432501872612985e-01 4.964631237368760663e-03
-2.491798065842846521e-01 -1.094633214706477037e-01 5.094916071148766247e-03
-2.522507216988302825e-01 -1.093824198832839961e-01 5.226619978604733763e-03
-2.553101131101664922e-01 -1.093005498694416683e-01 5.359729499180830928e-03
-2.583578540548355229e-01 -1.092177159198694375e-01 5.494231048292779092e-03
-2.613938187897077436e-01 -1.091339225712979755e-01 5.630110919426942369e-03
-2.644178826022686724e-01 -1.090491744059401136e-01 5.767355286256310373e-03
-2.674299218207472073e-01 -1.089634760509866768e-01 5.905950204772952156e-03
-2.704298138241572058e-01 -1.088768321780979736e-01 6.045881615436528474e-03
-2.734174370521721964e-01 -1.087892475028909983e-01 6.187135345338444330e-03
-2.763926710149105515e-01 -1.087007267844225522e-01 6.329697110381197686e-03
-2.793553963025613984e-01 -1.086112748246681886e-01 6.473552517472504556e-03
-2.823054945949086680e-01 -1.085208964679972021e-01 6.618687066733778927e-03
-2.852428486706855004e-01 -1.084295966006436490e-01 6.765086153722503493e-03
-2.881673424168423869e-01 -1.083373801501736206e-01 6.912735071668064425e-03
-2.910788608376326247e-01 -1.082442520849486445e-01 7.061619013720602661e-03
-2.939772900636097308e-01 -1.081502174135854921e-01 7.211723075212435850e-03
-2.968625173604395595e-01 -1.080552811844123912e-01 7.363032255931598220e-03
-2.997344311376156645e-01 -1.079594484849216995e-01 7.515531462407046455e-03
-3.025929209569954703e-01 -1.078627244412192349e-01 7.669205510205055407e-03
-3.054378775412402436e-01 -1.077651142174702315e-01 7.824039126236356084e-03
-3.082691927820705446e-01 -1.076666230153420362e-01 7.980016951073577031e-03
-3.110867597483931157e-01 -1.075672560734437233e-01 8.137123541278476480e-03
-3.138904726942934875e-01 -1.074670186667626010e-01 8.295343371738511662e-03
-3.166802270668656605e-01 -1.073659161060977890e-01 8.454660838012292498e-03
