# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 2000
# Delta: 0.01249375312343828
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.74
# Zeta_s_array: [0.7   0.705 0.71  0.715 0.72  0.725 0.73  0.735 0.74 ]
# Epsilon array: [-0.27816207 -0.28175395 -0.28569237 -0.2900537  -0.29495958 -0.30059886
#  -0.30729174 -0.31565523 -0.32715863]
# 
# u_bar,  A,  B
#     
2.416935476227043966e-01 -2.858906918034202493e-01 6.564151772865628107e-03
2.493560656624171368e-01 -2.855634717068881723e-01 6.997313254832401505e-03
2.569805051334677626e-01 -2.852262102039302416e-01 7.443165697006376078e-03
2.645657451511986280e-01 -2.848789721988051471e-01 7.901566802115664312e-03
2.721106749606208575e-01 -2.845218244059855017e-01 8.372370379543978350e-03
2.796141942352424192e-01 -2.841548353272408955e-01 8.855426403642502678e-03
2.870752133739795098e-01 -2.837780752281015006e-01 9.350581073780997107e-03
2.944926537960141366e-01 -2.833916161137107204e-01 9.857676876127940274e-03
3.018654482335438871e-01 -2.829955317040749874e-01 1.037655264714847439e-02
3.091925410222502446e-01 -2.825898974087198701e-01 1.090704363880791623e-02
3.164728883894433187e-01 -2.821747903007616465e-01 1.144898158546731916e-02
3.237054587397295013e-01 -2.817502890904035606e-01 1.200219477245657515e-02
3.308892329380864750e-01 -2.813164740978669198e-01 1.256650810630930391e-02
3.380232045902329951e-01 -2.808734272257668030e-01 1.314174318664232746e-02
3.451063803201920299e-01 -2.804212319309429824e-01 1.372771837966141155e-02
3.521377800448695083e-01 -2.799599731957568283e-01 1.432424889327355705e-02
3.591164372455743492e-01 -2.794897374988652983e-01 1.493114685378461697e-02
3.660413992363166780e-01 -2.790106127854831142e-01 1.554822138415969460e-02
3.729117274287462869e-01 -2.785226884371452827e-01 1.617527868382220846e-02
3.797264975936269216e-01 -2.780260552409817842e-01 1.681212210996600731e-02
3.864848001186491633e-01 -2.775208053585169754e-01 1.745855226035328625e-02
3.931857402625282272e-01 -2.770070322940060836e-01 1.811436705756954216e-02
3.998284384051342677e-01 -2.764848308623223949e-01 1.877936183470529583e-02
4.064120302935788076e-01 -2.759542971564080127e-01 1.945332942243230279e-02
4.129356672841067999e-01 -2.754155285143021215e-01 2.013606023744051593e-02
4.193985165795927061e-01 -2.748686234857607436e-01 2.082734237220032134e-02
4.257997614625635419e-01 -2.743136817984827003e-01 2.152696168601275079e-02
4.321386015235174627e-01 -2.737508043239558764e-01 2.223470189730887211e-02
4.384142528844194864e-01 -2.731800930429389984e-01 2.295034467715742141e-02
4.446259484172339627e-01 -2.726016510105946367e-01 2.367366974393817630e-02
4.507729379572816275e-01 -2.720155823212885848e-01 2.440445495913685578e-02
4.568544885113113296e-01 -2.714219920730717162e-01 2.514247642421523973e-02
4.628698844601197848e-01 -2.708209863318607469e-01 2.588750857850873749e-02
4.688184277555125790e-01 -2.702126720953342831e-01 2.663932429810175057e-02
4.746994381115163253e-01 -2.695971572565609153e-01 2.739769499562925634e-02
4.805122531896139915e-01 -2.689745505673765691e-01 2.816239072095150925e-02
4.862562287778905423e-01 -2.683449616015287087e-01 2.893318026264681334e-02
4.919307389638967742e-01 -2.677085007176047693e-01 2.970983125026559202e-02
4.975351763011253703e-01 -2.670652790217628025e-01 3.049211025728754479e-02
5.030689519688336109e-01 -2.664154083302825993e-01 3.127978290472187284e-02
5.085314959251893141e-01 -2.657590011319557188e-01 3.207261396528868214e-02
5.139222570534848211e-01 -2.650961705503329657e-01 3.287036746811837495e-02
5.192407033013289874e-01 -2.644270303058483540e-01 3.367280680390439401e-02
5.244863218125983551e-01 -2.637516946778381555e-01 3.447969483044300426e-02
5.296586190520802262e-01 -2.630702784664750160e-01 3.529079397849211458e-02
5.347571209226185118e-01 -2.623828969546361245e-01 3.610586635788034376e-02
5.397813728745985973e-01 -2.616896658697249189e-01 3.692467386379598426e-02
5.447309400076834063e-01 -2.609907013454662583e-01 3.774697828318401144e-02
5.496054071646379047e-01 -2.602861198836953216e-01 3.857254140117840485e-02
5.544043790171159225e-01 -2.595760383161594409e-01 3.940112510749599339e-02
5.591274801432872810e-01 -2.588605737663537409e-01 4.023249150271687724e-02
5.637743550971772155e-01 -2.581398436114102912e-01 4.106640300437572333e-02
5.683446684696129569e-01 -2.574139654440611991e-01 4.190262245278723180e-02
5.728381049406597869e-01 -2.566830570346959606e-01 4.274091321652853659e-02
5.772543693234365447e-01 -2.559472362935334977e-01 4.358103929750050537e-02
5.815931865992439720e-01 -2.552066212329290318e-01 4.442276543548939055e-02
5.858543019438748889e-01 -2.544613299298363884e-01 4.526585721215022062e-02
5.900374807450203818e-01 -2.537114804884456065e-01 4.611008115433264803e-02
5.941425086107358089e-01 -2.529571910030167792e-01 4.695520483666951184e-02
5.981691913688842455e-01 -2.521985795209301107e-01 4.780099698334901170e-02
6.021173550574350219e-01 -2.514357640059716181e-01 4.864722756899117484e-02
6.059868459056387824e-01 -2.506688623018755169e-01 4.949366791854913766e-02
6.097775303059979057e-01 -2.498979920961426626e-01 5.034009080615622911e-02
6.134892947769854388e-01 -2.491232708841546184e-01 5.118627055284050847e-02
6.171220459164997729e-01 -2.483448159336032746e-01 5.203198312302859813e-02
6.206757103460249780e-01 -2.475627442492551178e-01 5.287700621976154647e-02
6.241502346454688155e-01 -2.467771725380693837e-01 5.372111937854610886e-02
6.275455852787165112e-01 -2.459882171746888280e-01 5.456410405976582639e-02
6.308617485098394484e-01 -2.451959941673219900e-01 5.540574373957728865e-02
6.340987303100513728e-01 -2.444006191240352122e-01 5.624582399921804893e-02
6.372565562553740293e-01 -2.436022072194723720e-01 5.708413261265427030e-02
6.403352714150646330e-01 -2.428008731620198979e-01 5.792045963249738139e-02
6.433349402308485843e-01 -2.419967311614349414e-01 5.875459747412031808e-02
6.462556463870551271e-01 -2.411898948969531942e-01 5.958634099790603711e-02
6.490974926716068794e-01 -2.403804774858931126e-01 6.041548758956287457e-02
6.518606008280510844e-01 -2.395685914527727056e-01 6.124183723844248833e-02
6.545451113986733294e-01 -2.387543486989550101e-01 6.206519261379879471e-02
6.571511835587560135e-01 -2.379378604728370206e-01 6.288535913892842610e-02
6.596789949421238974e-01 -2.371192373405971443e-01 6.370214506313519320e-02
6.621287414580775410e-01 -2.362985891575157815e-01 6.451536153146349151e-02
6.645006370998194356e-01 -2.354760250398824362e-01 6.532482265214814565e-02
6.667949137445315921e-01 -2.346516533375030411e-01 6.613034556173055800e-02
6.690118209452083908e-01 -2.338255816068202930e-01 6.693175048779376191e-02
6.711516257144705122e-01 -2.329979165846590705e-01 6.772886080927154051e-02
6.732146123003893701e-01 -2.321687641626086485e-01 6.852150311429025531e-02
6.752010819546192533e-01 -2.313382293620528107e-01 6.930950725550372171e-02
6.771113526929473103e-01 -2.305064163098584917e-01 7.009270640288532694e-02
