# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 2000
# Delta: 0.01249375312343828
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.7
# Zeta_s_array: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
#  0.7 ]
# Epsilon array: [-0.16340061 -0.16601414 -0.16950355 -0.17327381 -0.17737149 -0.18185462
#  -0.18679669 -0.19229811 -0.19849357 -0.20557617 -0.2138329  -0.22372475
#  -0.23607033 -0.25257336 -0.27807558]
# 
# u_bar,  A,  B
#     
5.343448609131009608e-01 -1.952461211315411616e-01 3.624796239189601726e-02
5.376154429328938722e-01 -1.947685724083087488e-01 3.682504809883047764e-02
5.408332186642966777e-01 -1.942885531043747338e-01 3.740254793474344364e-02
5.439980831082495971e-01 -1.938061179945264889e-01 3.798034461265304557e-02
5.471099413524573851e-01 -1.933213218199119898e-01 3.855832148810067750e-02
5.501687085538459199e-01 -1.928342192756785367e-01 3.913636259602198270e-02
5.531743099176952283e-01 -1.923448649987003767e-01 3.971435268717224409e-02
5.561266806733631274e-01 -1.918533135553994462e-01 4.029217726408601541e-02
5.590257660466926293e-01 -1.913596194296644237e-01 4.086972261655095334e-02
5.618715212290404937e-01 -1.908638370108725335e-01 4.144687585657637341e-02
5.646639113429566814e-01 -1.903660205820189022e-01 4.202352495283707967e-02
5.674029114045482380e-01 -1.898662243079579925e-01 4.259955876457353907e-02
5.700885062824840865e-01 -1.893645022237616382e-01 4.317486707492984577e-02
5.727206906537130049e-01 -1.888609082231981207e-01 4.374934062371115678e-02
5.752994689558729169e-01 -1.883554960473367290e-01 4.432287113954285623e-02
5.778248553364068174e-01 -1.878483192732819385e-01 4.489535137141403148e-02
5.802968735984533888e-01 -1.873394313030416758e-01 4.546667511958823321e-02
5.827155571434757819e-01 -1.868288853525336413e-01 4.603673726586511583e-02
5.850809489107002825e-01 -1.863167344407337112e-01 4.660543380317697798e-02
5.873931013133559809e-01 -1.858030313789705290e-01 4.717266186450472243e-02
5.896520761717813919e-01 -1.852878287603699214e-01 4.773831975109821268e-02
5.918579446433991365e-01 -1.847711789494531076e-01 4.830230695998666279e-02
5.940107871496176362e-01 -1.842531340718923383e-01 4.886452421076511315e-02
5.961106932997010110e-01 -1.837337460044275173e-01 4.942487347164378764e-02
5.981577618116097339e-01 -1.832130663649470803e-01 4.998325798474767545e-02
6.001521004298968620e-01 -1.826911465027368231e-01 5.053958229065421554e-02
6.020938258406799415e-01 -1.821680374888995646e-01 5.109375225215760652e-02
6.039830635837497574e-01 -1.816437901069490324e-01 5.164567507724892453e-02
6.058199479618403549e-01 -1.811184548435808561e-01 5.219525934130190420e-02
6.076046219471659127e-01 -1.805920818796236116e-01 5.274241500845480018e-02
6.093372370851871667e-01 -1.800647210811724963e-01 5.328705345217962797e-02
6.110179533957665887e-01 -1.795364219909086068e-01 5.382908747503047098e-02
6.126469392716815676e-01 -1.790072338196060653e-01 5.436843132756340180e-02
6.142243713746250444e-01 -1.784772054378295225e-01 5.490500072642131441e-02
6.157504345286870517e-01 -1.779463853678241725e-01 5.543871287157758204e-02
6.172253216114401697e-01 -1.774148217756006118e-01 5.596948646273310762e-02
6.186492334426590967e-01 -1.768825624632162918e-01 5.649724171486213836e-02
6.200223786707520501e-01 -1.763496548612557280e-01 5.702190037290292418e-02
6.213449736569696125e-01 -1.758161460215108829e-01 5.754338572559004883e-02
6.226172423574579673e-01 -1.752820826098636098e-01 5.806162261842585243e-02
6.238394162032451229e-01 -1.747475108993714055e-01 5.857653746578928705e-02
6.250117339781813275e-01 -1.742124767635578331e-01 5.908805826218113677e-02
6.261344416949933267e-01 -1.736770256699089743e-01 5.959611459260518579e-02
6.272077924694343665e-01 -1.731412026735769105e-01 6.010063764208570247e-02
6.282320463927144605e-01 -1.726050524112908990e-01 6.060156020432257151e-02
6.292074704021172193e-01 -1.720686190954772710e-01 6.109881668948591305e-02
6.301343381500952301e-01 -1.715319465085886064e-01 6.159234313115229120e-02
6.310129298717703783e-01 -1.709950779976429636e-01 6.208207719238607175e-02
