# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 20
# Zeta intervals: 1500
# Delta: 0.013324450366422385
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.742
# Zeta_s_array: [0.1   0.2   0.5   0.7   0.74  0.742]
# Epsilon array: [-0.16950924 -0.17737512 -0.21383332 -0.27816498 -0.32970297 -0.33972611]
# 
# u_bar,  A,  B
#     
4.511267942911936779e-01 -2.872998295877367547e-01 2.431483897422590662e-02
4.580922454700198099e-01 -2.866167151230236132e-01 2.515282471118913607e-02
4.649765847630584203e-01 -2.859238256622401719e-01 2.600015594860368220e-02
4.717788183594118778e-01 -2.852213128683156462e-01 2.685651787456926759e-02
4.784979789540153017e-01 -2.845093298961767769e-01 2.772159316579558830e-02
4.851331260739730200e-01 -2.837880313292351908e-01 2.859506215601013979e-02
4.916833463941724935e-01 -2.830575731153779917e-01 2.947660300612021944e-02
4.981477540418112748e-01 -2.823181125024991078e-01 3.036589187601897166e-02
5.045254908895370205e-01 -2.815698079736078663e-01 3.126260309792137926e-02
5.108157268368154202e-01 -2.808128191815535968e-01 3.216640935111190341e-02
5.170176600792639743e-01 -2.800473068834045121e-01 3.307698183798146729e-02
5.231305173655534935e-01 -2.792734328745202221e-01 3.399399046122752316e-02
5.291535542416327953e-01 -2.784913599223577951e-01 3.491710400208702936e-02
5.350860552818960114e-01 -2.777012517000515546e-01 3.584599029946879817e-02
5.409273343070035711e-01 -2.769032727198072474e-01 3.678031642984777583e-02
5.466767345880448881e-01 -2.760975882661519942e-01 3.771974888778044377e-02
5.523336290367375501e-01 -2.752843643290815989e-01 3.866395376689709534e-02
5.578974203814062172e-01 -2.744637675371474628e-01 3.961259694122378633e-02
5.633675413283800726e-01 -2.736359650905249574e-01 4.056534424668389871e-02
5.687434547086169800e-01 -2.728011246941066115e-01 4.152186166262614858e-02
5.740246536092309393e-01 -2.719594144906624655e-01 4.248181549322366246e-02
5.792106614896732619e-01 -2.711110029941110056e-01 4.344487254858619973e-02
5.843010322823704028e-01 -2.702560590229439175e-01 4.441070032542551033e-02
5.892953504775109153e-01 -2.693947516338482950e-01 4.537896718711204730e-02
5.941932311918456389e-01 -2.685272500555694331e-01 4.634934254295958178e-02
5.989943202212255624e-01 -2.676537236230582817e-01 4.732149702657306028e-02
6.036982940767229300e-01 -2.667743417119463056e-01 4.829510267309386484e-02
6.083048600041639498e-01 -2.658892736733919349e-01 4.926983309517578985e-02
6.128137559868893636e-01 -2.649986887693414062e-01 5.024536365752473727e-02
6.172247507316376280e-01 -2.641027561082474606e-01 5.122137164983484731e-02
6.215376436373869495e-01 -2.632016445812883076e-01 5.219753645795400382e-02
6.257522647470876720e-01 -2.622955227991299321e-01 5.317353973311202131e-02
6.298684746821666680e-01 -2.613845590292735999e-01 5.414906555904563240e-02
6.338861645597622108e-01 -2.604689211340304178e-01 5.512380061685542842e-02
6.378052558926389226e-01 -2.595487765091644694e-01 5.609743434743165447e-02
6.416257004716912071e-01 -2.586242920232448284e-01 5.706965911128723118e-02
6.453474802311573999e-01 -2.576956339577471944e-01 5.804017034563802024e-02
6.489706070964574858e-01 -2.567629679479447868e-01 5.900866671857380591e-02
6.524951228146922411e-01 -2.558264589246262988e-01 5.997485028016578956e-02
6.559210987679297000e-01 -2.548862710566807133e-01 6.093842661035885067e-02
6.592486357693178034e-01 -2.539425676945847310e-01 6.189910496350121971e-02
6.624778638420925070e-01 -2.529955113148298906e-01 6.285659840936753950e-02
6.656089419816927366e-01 -2.520452634653251311e-01 6.381062397053510749e-02
6.686420579010535770e-01 -2.510919847118088799e-01 6.476090275597787271e-02
6.715774277592806429e-01 -2.501358345853039733e-01 6.570716009074728525e-02
6.744152958739185744e-01 -2.491769715306487720e-01 6.664912564161386277e-02
6.771559344169819639e-01 -2.482155528561344748e-01 6.758653353854908452e-02
6.797996430950407065e-01 -2.472517346842797725e-01 6.851912249193217730e-02
6.823467488135812609e-01 -2.462856719037711528e-01 6.944663590537253350e-02
6.847976053259612339e-01 -2.453175181225966117e-01 7.036882198404442734e-02
